check,status,path,value
screener_setups_artifact,created,artifacts\tfg\trading_center_screener_unified_v1_2026-06-01\screener_setups.csv,
asset_matrix_artifact,created,artifacts\tfg\trading_center_screener_unified_v1_2026-06-01\screener_asset_matrix.csv,
chart_layers_artifact,created,artifacts\tfg\trading_center_screener_unified_v1_2026-06-01\screener_chart_layers.csv,
estrategias_absorbed_by_screener,dash_update_required,,True
