symbol,market_group,timeframe,layer_type,label,price,start_time,end_time,color,style,source,is_operational
AUDJPY.r,Forex Majors,H4,fibonacci_1_272,Fib ext 1.272,114.93532,2026-04-27 12:00:00,2026-06-08 08:00:00,#8f6bd1,dot,fibonacci_context_v1,False
AUDJPY.r,Forex Majors,H4,fibonacci_1_618,Fib ext 1.618,115.38858,2026-04-27 12:00:00,2026-06-08 08:00:00,#8f6bd1,dot,fibonacci_context_v1,False
AUDNZD.r,Forex Majors,H1,fibonacci_0_0,Fib 0,1.20801,2026-05-22 19:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
AUDNZD.r,Forex Majors,H1,fibonacci_1_0,Fib 100,1.22842,2026-05-22 19:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
AUDNZD.r,Forex Majors,H1,fibonacci_0_236,Fib 23.6,1.2128268,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDNZD.r,Forex Majors,H1,fibonacci_0_382,Fib 38.2,1.2158066,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDNZD.r,Forex Majors,H1,fibonacci_0_5,Fib 50,1.218215,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDNZD.r,Forex Majors,H1,fibonacci_0_618,Fib 61.8,1.2206234,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDNZD.r,Forex Majors,H1,fibonacci_0_786,Fib 78.6,1.2240523,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDNZD.r,Forex Majors,H1,fibonacci_1_272,Fib ext 1.272,1.2024585,2026-05-22 19:00:00,2026-06-08 14:00:00,#8f6bd1,dot,fibonacci_context_v1,False
AUDNZD.r,Forex Majors,H1,fibonacci_1_618,Fib ext 1.618,1.1953966,2026-05-22 19:00:00,2026-06-08 14:00:00,#8f6bd1,dot,fibonacci_context_v1,False
AUDNZD.r,Forex Majors,H4,fibonacci_0_0,Fib 0,1.21664,2026-04-27 12:00:00,2026-06-08 08:00:00,#d7a84b,solid,fibonacci_context_v1,False
AUDNZD.r,Forex Majors,H4,fibonacci_1_0,Fib 100,1.19712,2026-04-27 12:00:00,2026-06-08 08:00:00,#d7a84b,solid,fibonacci_context_v1,False
AUDNZD.r,Forex Majors,H4,fibonacci_0_236,Fib 23.6,1.2120333,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDNZD.r,Forex Majors,H4,fibonacci_0_382,Fib 38.2,1.2091834,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDNZD.r,Forex Majors,H4,fibonacci_0_5,Fib 50,1.20688,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDNZD.r,Forex Majors,H4,fibonacci_0_618,Fib 61.8,1.2045766,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDNZD.r,Forex Majors,H4,fibonacci_0_786,Fib 78.6,1.2012973,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDNZD.r,Forex Majors,H4,fibonacci_1_272,Fib ext 1.272,1.2219494,2026-04-27 12:00:00,2026-06-08 08:00:00,#8f6bd1,dot,fibonacci_context_v1,False
AUDNZD.r,Forex Majors,H4,fibonacci_1_618,Fib ext 1.618,1.2287034,2026-04-27 12:00:00,2026-06-08 08:00:00,#8f6bd1,dot,fibonacci_context_v1,False
AUDUSD.r,Forex Majors,H1,fibonacci_0_0,Fib 0,0.70058,2026-05-22 19:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
AUDUSD.r,Forex Majors,H1,fibonacci_1_0,Fib 100,0.71438,2026-05-22 19:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
AUDUSD.r,Forex Majors,H1,fibonacci_0_236,Fib 23.6,0.7038368,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDUSD.r,Forex Majors,H1,fibonacci_0_382,Fib 38.2,0.7058516,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDUSD.r,Forex Majors,H1,fibonacci_0_5,Fib 50,0.70748,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDUSD.r,Forex Majors,H1,fibonacci_0_618,Fib 61.8,0.7091084,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDUSD.r,Forex Majors,H1,fibonacci_0_786,Fib 78.6,0.7114268,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDUSD.r,Forex Majors,H1,fibonacci_1_272,Fib ext 1.272,0.6968264,2026-05-22 19:00:00,2026-06-08 14:00:00,#8f6bd1,dot,fibonacci_context_v1,False
AUDUSD.r,Forex Majors,H1,fibonacci_1_618,Fib ext 1.618,0.6920516,2026-05-22 19:00:00,2026-06-08 14:00:00,#8f6bd1,dot,fibonacci_context_v1,False
AUDUSD.r,Forex Majors,H4,fibonacci_0_0,Fib 0,0.70058,2026-04-27 12:00:00,2026-06-08 08:00:00,#d7a84b,solid,fibonacci_context_v1,False
AUDUSD.r,Forex Majors,H4,fibonacci_1_0,Fib 100,0.71487,2026-04-27 12:00:00,2026-06-08 08:00:00,#d7a84b,solid,fibonacci_context_v1,False
AUDUSD.r,Forex Majors,H4,fibonacci_0_236,Fib 23.6,0.70395244,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDUSD.r,Forex Majors,H4,fibonacci_0_382,Fib 38.2,0.70603878,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDUSD.r,Forex Majors,H4,fibonacci_0_5,Fib 50,0.707725,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDUSD.r,Forex Majors,H4,fibonacci_0_618,Fib 61.8,0.70941122,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDUSD.r,Forex Majors,H4,fibonacci_0_786,Fib 78.6,0.71181194,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDUSD.r,Forex Majors,H4,fibonacci_1_272,Fib ext 1.272,0.69669312,2026-04-27 12:00:00,2026-06-08 08:00:00,#8f6bd1,dot,fibonacci_context_v1,False
AUDUSD.r,Forex Majors,H4,fibonacci_1_618,Fib ext 1.618,0.69174878,2026-04-27 12:00:00,2026-06-08 08:00:00,#8f6bd1,dot,fibonacci_context_v1,False
AUS200,Index,H1,fibonacci_0_0,Fib 0,8563.45,2026-05-21 03:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
AUS200,Index,H1,fibonacci_1_0,Fib 100,8741.45,2026-05-21 03:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
AUS200,Index,H1,fibonacci_0_236,Fib 23.6,8605.458,2026-05-21 03:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUS200,Index,H1,fibonacci_0_382,Fib 38.2,8631.446,2026-05-21 03:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUS200,Index,H1,fibonacci_0_5,Fib 50,8652.45,2026-05-21 03:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUS200,Index,H1,fibonacci_0_618,Fib 61.8,8673.454,2026-05-21 03:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUS200,Index,H1,fibonacci_0_786,Fib 78.6,8703.358,2026-05-21 03:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUS200,Index,H1,fibonacci_1_272,Fib ext 1.272,8515.034,2026-05-21 03:00:00,2026-06-08 14:00:00,#8f6bd1,dot,fibonacci_context_v1,False
AUS200,Index,H1,fibonacci_1_618,Fib ext 1.618,8453.446,2026-05-21 03:00:00,2026-06-08 14:00:00,#8f6bd1,dot,fibonacci_context_v1,False
AUS200,Index,H4,fibonacci_0_0,Fib 0,8914.15,2026-04-24 20:00:00,2026-06-08 08:00:00,#d7a84b,solid,fibonacci_context_v1,False
AUS200,Index,H4,fibonacci_1_0,Fib 100,8602.25,2026-04-24 20:00:00,2026-06-08 08:00:00,#d7a84b,solid,fibonacci_context_v1,False
AUS200,Index,H4,fibonacci_0_236,Fib 23.6,8840.5416,2026-04-24 20:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
AUS200,Index,H4,fibonacci_0_382,Fib 38.2,8795.0042,2026-04-24 20:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
AUS200,Index,H4,fibonacci_0_5,Fib 50,8758.2,2026-04-24 20:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
AUS200,Index,H4,fibonacci_0_618,Fib 61.8,8721.3958,2026-04-24 20:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
AUS200,Index,H4,fibonacci_0_786,Fib 78.6,8668.9966,2026-04-24 20:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
AUS200,Index,H4,fibonacci_1_272,Fib ext 1.272,8998.9868,2026-04-24 20:00:00,2026-06-08 08:00:00,#8f6bd1,dot,fibonacci_context_v1,False
AUS200,Index,H4,fibonacci_1_618,Fib ext 1.618,9106.9042,2026-04-24 20:00:00,2026-06-08 08:00:00,#8f6bd1,dot,fibonacci_context_v1,False
CADCHF.r,Forex Majors,H1,fibonacci_0_0,Fib 0,0.5714,2026-05-22 19:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
CADCHF.r,Forex Majors,H1,fibonacci_1_0,Fib 100,0.56687,2026-05-22 19:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
CADCHF.r,Forex Majors,H1,fibonacci_0_236,Fib 23.6,0.57033092,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
CADCHF.r,Forex Majors,H1,fibonacci_0_382,Fib 38.2,0.56966954,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
CADCHF.r,Forex Majors,H1,fibonacci_0_5,Fib 50,0.569135,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
CADCHF.r,Forex Majors,H1,fibonacci_0_618,Fib 61.8,0.56860046,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
CADCHF.r,Forex Majors,H1,fibonacci_0_786,Fib 78.6,0.56783942,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
CADCHF.r,Forex Majors,H1,fibonacci_1_272,Fib ext 1.272,0.57263216,2026-05-22 19:00:00,2026-06-08 14:00:00,#8f6bd1,dot,fibonacci_context_v1,False
CADCHF.r,Forex Majors,H1,fibonacci_1_618,Fib ext 1.618,0.57419954,2026-05-22 19:00:00,2026-06-08 14:00:00,#8f6bd1,dot,fibonacci_context_v1,False
CADCHF.r,Forex Majors,H4,fibonacci_0_0,Fib 0,0.56547,2026-04-27 12:00:00,2026-06-08 08:00:00,#d7a84b,solid,fibonacci_context_v1,False
CADCHF.r,Forex Majors,H4,fibonacci_1_0,Fib 100,0.57458,2026-04-27 12:00:00,2026-06-08 08:00:00,#d7a84b,solid,fibonacci_context_v1,False
CADCHF.r,Forex Majors,H4,fibonacci_0_236,Fib 23.6,0.56761996,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
CADCHF.r,Forex Majors,H4,fibonacci_0_382,Fib 38.2,0.56895002,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
