symbol,market_group,timeframe,swing_direction,swing_start_time,swing_end_time,swing_start_price,swing_end_price,swing_range_pct,swing_bars,swing_tr_multiple,materiality_status,pivot_count,swing_quality,swing_reason,nearest_fib_level,nearest_fib_ratio,nearest_fib_distance_pct,fibonacci_context,fibonacci_status,source_ohlc,is_signal,is_study_only,can_execute_order,would_send_to_mt5,would_send_telegram_order
US500,Index,H4,bearish,2026-06-04 20:00:00,2026-06-08 00:00:00,7610.65,7357.17,3.3306,7,10.0130,passed,31,fuerte,"swing reciente mas material (3.33%, 7 velas, 10.01x TR, score 67.66)",Fib 23.6,0.236,0.0228,cerca Fib 23.6 (0.02%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
USDCAD.r,Forex Majors,H1,bullish,2026-06-03 00:00:00,2026-06-03 21:00:00,1.38236,1.38993,0.5476,21,9.0659,passed,36,media,"swing reciente mas material (0.55%, 21 velas, 9.07x TR, score 9.95)",Fib 23.6,0.236,0.4073,contexto Fib 23.6 (0.41%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
USDCAD.r,Forex Majors,H4,bullish,2026-06-02 16:00:00,2026-06-04 08:00:00,1.3815,1.39249,0.7955,10,5.5787,passed,36,media,"swing reciente mas material (0.80%, 10 velas, 5.58x TR, score 9.25)",Fib 23.6,0.236,0.3737,contexto Fib 23.6 (0.37%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
USDCHF.r,Forex Majors,H1,bullish,2026-06-05 10:00:00,2026-06-05 21:00:00,0.78719,0.79677,1.2170,11,12.2821,passed,44,media,"swing reciente mas material (1.22%, 11 velas, 12.28x TR, score 32.53)",Fib 23.6,0.236,0.2537,contexto Fib 23.6 (0.25%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
USDCHF.r,Forex Majors,H4,bullish,2026-05-14 00:00:00,2026-05-18 04:00:00,0.77604,0.78775,1.5089,13,6.1632,passed,39,media,"swing reciente mas material (1.51%, 13 velas, 6.16x TR, score 11.48)",Fib 23.6,0.236,1.6443,contexto Fib 23.6 (1.64%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
USDJPY,Forex Majors,H1,bullish,2026-03-06 15:00:00,2026-03-09 06:00:00,157.374,158.892,0.9646,15,6.9954,passed,45,media,"swing reciente mas material (0.96%, 15 velas, 7.00x TR, score 8.41)",Fib 23.6,0.236,0.5085,contexto Fib 23.6 (0.51%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
USDJPY,Forex Majors,H4,bearish,2026-02-10 00:00:00,2026-02-12 04:00:00,156.287,152.262,2.5754,13,8.9049,passed,38,media,"swing reciente mas material (2.58%, 13 velas, 8.90x TR, score 22.21)",Fib 78.6,0.786,2.3868,contexto Fib 78.6 (2.39%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
XAGEUR.r,Metals,H1,bearish,2026-06-05 15:00:00,2026-06-08 08:00:00,63.124,57.383,9.0948,16,12.8722,passed,44,media,"swing reciente mas material (9.09%, 16 velas, 12.87x TR, score 315.89)",Fib 38.2,0.382,0.4486,contexto Fib 38.2 (0.45%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
XAGEUR.r,Metals,H4,bearish,2026-05-13 16:00:00,2026-05-18 04:00:00,76.264,63.602,16.6029,15,11.9116,passed,35,media,"swing reciente mas material (16.60%, 15 velas, 11.91x TR, score 256.53)",Fib 23.6,0.236,14.3789,contexto Fib 23.6 (14.38%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
XAGUSD.r,Metals,H1,bearish,2026-06-05 15:00:00,2026-06-08 08:00:00,73.475,66.143,9.9789,16,13.7432,passed,42,media,"swing reciente mas material (9.98%, 16 velas, 13.74x TR, score 370.05)",Fib 38.2,0.382,0.7627,contexto Fib 38.2 (0.76%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
