symbol,market_group,timeframe,swing_direction,swing_start_time,swing_end_time,swing_start_price,swing_end_price,swing_range_pct,swing_bars,swing_tr_multiple,materiality_status,pivot_count,swing_quality,swing_reason,nearest_fib_level,nearest_fib_ratio,nearest_fib_distance_pct,fibonacci_context,fibonacci_status,source_ohlc,is_signal,is_study_only,can_execute_order,would_send_to_mt5,would_send_telegram_order
CADCHF.r,Forex Majors,H1,bullish,2026-06-05 10:00:00,2026-06-05 20:00:00,0.56687,0.5714,0.7991,10,9.1515,passed,38,media,"swing reciente mas material (0.80%, 10 velas, 9.15x TR, score 15.25)",Fib 23.6,0.236,0.2028,contexto Fib 23.6 (0.20%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
CADCHF.r,Forex Majors,H4,bearish,2026-05-20 16:00:00,2026-05-25 00:00:00,0.57458,0.56547,1.5855,14,7.6234,passed,31,media,"swing reciente mas material (1.59%, 14 velas, 7.62x TR, score 18.44)",Fib 78.6,0.786,0.0945,contexto Fib 78.6 (0.09%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
CADJPY.r,Forex Majors,H1,bullish,2026-06-05 00:00:00,2026-06-05 15:00:00,114.64,115.348,0.6176,15,9.5676,passed,45,media,"swing reciente mas material (0.62%, 15 velas, 9.57x TR, score 13.75)",Fib 78.6,0.786,0.0187,cerca Fib 78.6 (0.02%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
CADJPY.r,Forex Majors,H4,bearish,2026-05-20 20:00:00,2026-05-25 00:00:00,115.646,114.515,0.9780,13,5.6269,passed,44,media,"swing reciente mas material (0.98%, 13 velas, 5.63x TR, score 8.18)",Fib 23.6,0.236,0.0671,cerca Fib 23.6 (0.07%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
CHFJPY.r,Forex Majors,H1,bearish,2026-06-05 13:00:00,2026-06-05 23:00:00,203.129,200.814,1.1397,10,13.0056,passed,41,media,"swing reciente mas material (1.14%, 10 velas, 13.01x TR, score 31.59)",Fib 23.6,0.236,0.2691,contexto Fib 23.6 (0.27%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
CHFJPY.r,Forex Majors,H4,bullish,2026-05-28 12:00:00,2026-05-29 16:00:00,201.841,204.201,1.1692,7,5.5140,passed,37,media,"swing reciente mas material (1.17%, 7 velas, 5.51x TR, score 9.41)",Fib 78.6,0.786,0.9227,contexto Fib 78.6 (0.92%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
CHINA50,Index,H1,bearish,2026-06-05 05:00:00,2026-06-05 23:00:00,15872,15317,3.4967,18,20.5556,passed,39,media,"swing reciente mas material (3.50%, 18 velas, 20.56x TR, score 189.53)",Fib 23.6,0.236,1.2219,contexto Fib 23.6 (1.22%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
CHINA50,Index,H4,bullish,2026-05-22 12:00:00,2026-05-27 04:00:00,15242.5,15829.5,3.8511,14,10.0773,passed,40,media,"swing reciente mas material (3.85%, 14 velas, 10.08x TR, score 65.18)",Fib 78.6,0.786,0.7911,contexto Fib 78.6 (0.79%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
EURAUD.r,Forex Majors,H1,bullish,2026-05-27 00:00:00,2026-05-27 17:00:00,1.61879,1.63328,0.8951,17,10.6154,passed,41,media,"swing reciente mas material (0.90%, 17 velas, 10.62x TR, score 10.67)",Fib 23.6,0.236,0.1189,contexto Fib 23.6 (0.12%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
EURAUD.r,Forex Majors,H4,bearish,2026-05-12 08:00:00,2026-05-14 00:00:00,1.62943,1.60595,1.4410,10,6.9365,passed,48,media,"swing reciente mas material (1.44%, 10 velas, 6.94x TR, score 10.42)",Fib 78.6,0.786,0.5178,contexto Fib 78.6 (0.52%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
EURCAD.r,Forex Majors,H1,bullish,2026-06-04 00:00:00,2026-06-04 15:00:00,1.61018,1.61772,0.4683,15,7.4653,passed,36,media,"swing reciente mas material (0.47%, 15 velas, 7.47x TR, score 6.96)",Fib 78.6,0.786,0.2415,contexto Fib 78.6 (0.24%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
EURCAD.r,Forex Majors,H4,bullish,2026-05-06 00:00:00,2026-05-07 16:00:00,1.58742,1.60571,1.1522,10,7.0077,passed,45,media,"swing reciente mas material (1.15%, 10 velas, 7.01x TR, score 7.38)",Fib 23.6,0.236,0.2514,contexto Fib 23.6 (0.25%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
EURCHF.r,Forex Majors,H1,bullish,2026-06-03 00:00:00,2026-06-04 11:00:00,0.91397,0.91903,0.5536,35,9.4579,passed,40,media,"swing reciente mas material (0.55%, 35 velas, 9.46x TR, score 13.17)",Fib 23.6,0.236,0.1169,contexto Fib 23.6 (0.12%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
EURCHF.r,Forex Majors,H4,bearish,2026-05-28 12:00:00,2026-06-01 00:00:00,0.91695,0.90829,0.9444,9,7.4017,passed,43,media,"swing reciente mas material (0.94%, 9 velas, 7.40x TR, score 11.50)",Fib 78.6,0.786,0.3694,contexto Fib 78.6 (0.37%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
EURGBP.r,Forex Majors,H1,bearish,2026-06-01 10:00:00,2026-06-02 00:00:00,0.86609,0.862,0.4722,14,10.7632,passed,38,media,"swing reciente mas material (0.47%, 14 velas, 10.76x TR, score 7.18)",Fib 38.2,0.382,0.0061,cerca Fib 38.2 (0.01%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
EURGBP.r,Forex Majors,H4,bearish,2026-05-29 12:00:00,2026-06-02 00:00:00,0.86815,0.862,0.7084,9,5.9420,passed,47,media,"swing reciente mas material (0.71%, 9 velas, 5.94x TR, score 7.32)",Fib 23.6,0.236,0.0473,cerca Fib 23.6 (0.05%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
EURJPY.r,Forex Majors,H1,bearish,2026-06-04 17:00:00,2026-06-08 00:00:00,186.11,184.076,1.0929,31,18.8333,passed,39,fuerte,"swing reciente mas material (1.09%, 31 velas, 18.83x TR, score 63.88)",Fib 23.6,0.236,0.0054,cerca Fib 23.6 (0.01%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
EURJPY.r,Forex Majors,H4,bullish,2026-05-04 04:00:00,2026-05-06 04:00:00,182.787,185.037,1.2309,12,7.7453,passed,40,fuerte,"swing reciente mas material (1.23%, 12 velas, 7.75x TR, score 8.93)",Fib 38.2,0.382,0.0128,cerca Fib 38.2 (0.01%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
EURNZD.r,Forex Majors,H1,bearish,2026-05-28 07:00:00,2026-05-29 16:00:00,1.9766,1.94461,1.6184,33,16.7487,passed,35,media,"swing reciente mas material (1.62%, 33 velas, 16.75x TR, score 43.78)",Fib 78.6,0.786,0.5064,contexto Fib 78.6 (0.51%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
EURNZD.r,Forex Majors,H4,bearish,2026-05-26 20:00:00,2026-05-29 20:00:00,1.99331,1.94264,2.5420,18,11.5817,passed,42,fuerte,"swing reciente mas material (2.54%, 18 velas, 11.58x TR, score 61.37)",Fib 78.6,0.786,0.0380,cerca Fib 78.6 (0.04%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
EURO50,Index,H1,bearish,2026-06-05 12:00:00,2026-06-08 01:00:00,6118.3,5963.3,2.5334,12,9.8413,passed,36,fuerte,"swing reciente mas material (2.53%, 12 velas, 9.84x TR, score 57.70)",Fib 61.8,0.618,0.0365,cerca Fib 61.8 (0.04%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
EURO50,Index,H4,bullish,2026-05-04 16:00:00,2026-05-06 12:00:00,5724.85,6070.95,6.0456,11,9.9597,passed,32,media,"swing reciente mas material (6.05%, 11 velas, 9.96x TR, score 55.67)",Fib 23.6,0.236,0.4327,contexto Fib 23.6 (0.43%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
EURUSD.r,Forex Majors,H1,bearish,2026-06-05 12:00:00,2026-06-08 00:00:00,1.16443,1.15048,1.1980,12,16.4118,passed,32,fuerte,"swing reciente mas material (1.20%, 12 velas, 16.41x TR, score 45.16)",Fib 23.6,0.236,0.0106,cerca Fib 23.6 (0.01%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
EURUSD.r,Forex Majors,H4,bearish,2026-05-14 08:00:00,2026-05-18 00:00:00,1.17214,1.1604,1.0016,10,6.0360,passed,37,media,"swing reciente mas material (1.00%, 10 velas, 6.04x TR, score 6.74)",Fib 23.6,0.236,1.0732,contexto Fib 23.6 (1.07%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
FRA40,Index,H1,bearish,2026-05-29 12:00:00,2026-05-29 23:00:00,8284.9,8076.75,2.5124,11,9.8416,passed,42,fuerte,"swing reciente mas material (2.51%, 11 velas, 9.84x TR, score 29.61)",Fib 61.8,0.618,0.0230,cerca Fib 61.8 (0.02%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
FRA40,Index,H4,bullish,2026-05-05 00:00:00,2026-05-07 08:00:00,7900.79,8366.9,5.8995,14,9.7615,passed,36,media,"swing reciente mas material (5.90%, 14 velas, 9.76x TR, score 59.41)",Fib 50,0.5,0.2778,cerca Fib 50 (0.28%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
GBPAUD.r,Forex Majors,H1,bullish,2026-05-27 04:00:00,2026-05-27 17:00:00,1.87413,1.88577,0.6211,13,7.6078,passed,43,media,"swing reciente mas material (0.62%, 13 velas, 7.61x TR, score 4.84)",Fib 23.6,0.236,0.3502,contexto Fib 23.6 (0.35%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
GBPAUD.r,Forex Majors,H4,bullish,2026-05-18 00:00:00,2026-05-19 16:00:00,1.85541,1.89098,1.9171,10,9.4980,passed,42,media,"swing reciente mas material (1.92%, 10 velas, 9.50x TR, score 21.56)",Fib 23.6,0.236,0.3949,contexto Fib 23.6 (0.39%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
GBPCAD.r,Forex Majors,H1,bearish,2026-06-05 13:00:00,2026-06-08 00:00:00,1.87035,1.85393,0.8779,11,12.3925,passed,40,media,"swing reciente mas material (0.88%, 11 velas, 12.39x TR, score 24.21)",Fib 50,0.5,0.0075,cerca Fib 50 (0.01%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
GBPCAD.r,Forex Majors,H4,bullish,2026-05-21 16:00:00,2026-05-25 12:00:00,1.84603,1.86486,1.0200,11,5.5058,passed,47,fuerte,"swing reciente mas material (1.02%, 11 velas, 5.51x TR, score 8.03)",Fib 38.2,0.382,0.0373,cerca Fib 38.2 (0.04%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
GBPCHF.r,Forex Majors,H1,bullish,2026-05-29 23:00:00,2026-06-01 19:00:00,1.04857,1.05907,1.0014,20,14.2857,passed,43,media,"swing reciente mas material (1.00%, 20 velas, 14.29x TR, score 22.24)",Fib 23.6,0.236,0.7084,contexto Fib 23.6 (0.71%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
GBPCHF.r,Forex Majors,H4,bullish,2026-05-18 00:00:00,2026-05-19 16:00:00,1.04556,1.05871,1.2577,10,6.7263,passed,49,media,"swing reciente mas material (1.26%, 10 velas, 6.73x TR, score 10.02)",Fib 23.6,0.236,0.7133,contexto Fib 23.6 (0.71%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
GBPJPY.r,Forex Majors,H1,bearish,2026-06-05 13:00:00,2026-06-08 00:00:00,215.605,213.198,1.1164,11,16.1003,passed,40,fuerte,"swing reciente mas material (1.12%, 11 velas, 16.10x TR, score 40.00)",Fib 23.6,0.236,0.0253,cerca Fib 23.6 (0.03%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
GBPJPY.r,Forex Majors,H4,bearish,2026-05-14 04:00:00,2026-05-18 00:00:00,213.703,211.036,1.2480,11,6.2679,passed,38,fuerte,"swing reciente mas material (1.25%, 11 velas, 6.27x TR, score 9.04)",Fib 78.6,0.786,0.0191,cerca Fib 78.6 (0.02%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
GBPNZD.r,Forex Majors,H1,bearish,2026-05-28 07:00:00,2026-05-29 16:00:00,2.28091,2.24428,1.6059,33,17.2376,passed,30,media,"swing reciente mas material (1.61%, 33 velas, 17.24x TR, score 44.71)",Fib 78.6,0.786,0.8535,contexto Fib 78.6 (0.85%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
GBPNZD.r,Forex Majors,H4,bearish,2026-05-26 12:00:00,2026-05-29 20:00:00,2.30682,2.24148,2.8325,20,12.6874,passed,39,media,"swing reciente mas material (2.83%, 20 velas, 12.69x TR, score 77.46)",Fib 78.6,0.786,0.1273,contexto Fib 78.6 (0.13%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
GBPUSD.r,Forex Majors,H1,bearish,2026-06-05 13:00:00,2026-06-08 00:00:00,1.34825,1.33076,1.2972,11,16.6571,passed,40,fuerte,"swing reciente mas material (1.30%, 11 velas, 16.66x TR, score 48.08)",Fib 23.6,0.236,0.0788,cerca Fib 23.6 (0.08%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
GBPUSD.r,Forex Majors,H4,bearish,2026-05-14 04:00:00,2026-05-18 04:00:00,1.35323,1.33018,1.7033,12,8.2028,passed,37,media,"swing reciente mas material (1.70%, 12 velas, 8.20x TR, score 16.77)",Fib 23.6,0.236,0.2627,contexto Fib 23.6 (0.26%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
GER40,Index,H1,bearish,2026-06-05 12:00:00,2026-06-08 04:00:00,25035.55,24356.35,2.7129,15,10.2987,passed,42,fuerte,"swing reciente mas material (2.71%, 15 velas, 10.30x TR, score 71.51)",Fib 50,0.5,0.1070,cerca Fib 50 (0.11%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
GER40,Index,H4,bullish,2026-05-04 16:00:00,2026-05-06 12:00:00,23823.45,25146.55,5.5538,11,9.0376,passed,37,media,"swing reciente mas material (5.55%, 11 velas, 9.04x TR, score 46.41)",Fib 50,0.5,0.2243,cerca Fib 50 (0.22%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
HK50,Index,H1,bearish,2026-06-05 13:00:00,2026-06-08 01:00:00,25055.25,24354,2.7988,11,9.1071,passed,37,fuerte,"swing reciente mas material (2.80%, 11 velas, 9.11x TR, score 57.15)",Fib 50,0.5,0.0612,cerca Fib 50 (0.06%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
HK50,Index,H4,bearish,2026-05-14 04:00:00,2026-05-18 04:00:00,26940.75,25480.75,5.4193,12,9.6609,passed,34,media,"swing reciente mas material (5.42%, 12 velas, 9.66x TR, score 65.51)",Fib 23.6,0.236,5.0108,contexto Fib 23.6 (5.01%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
ITA40,Index,H1,bullish,2026-03-30 20:00:00,2026-04-01 15:00:00,42809.99,45202.49,5.5886,17,13.8696,passed,41,media,"swing reciente mas material (5.59%, 17 velas, 13.87x TR, score 80.25)",Fib 23.6,0.236,6.4784,contexto Fib 23.6 (6.48%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
ITA40,Index,H4,bullish,2026-03-27 12:00:00,2026-04-01 12:00:00,42262.49,45202.49,6.9565,12,7.9724,passed,40,media,"swing reciente mas material (6.96%, 12 velas, 7.97x TR, score 72.03)",Fib 23.6,0.236,6.7491,contexto Fib 23.6 (6.75%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
JP225,Index,H1,bearish,2026-06-05 12:00:00,2026-06-08 04:00:00,67215.25,63447.25,5.6059,15,13.5054,passed,40,fuerte,"swing reciente mas material (5.61%, 15 velas, 13.51x TR, score 193.76)",Fib 38.2,0.382,0.0933,cerca Fib 38.2 (0.09%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
JP225,Index,H4,bullish,2026-05-21 12:00:00,2026-05-25 16:00:00,61009.25,65687.25,7.6677,11,8.8851,passed,34,media,"swing reciente mas material (7.67%, 11 velas, 8.89x TR, score 98.86)",Fib 23.6,0.236,0.4448,contexto Fib 23.6 (0.44%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
NZDCAD.r,Forex Majors,H1,bearish,2026-06-05 13:00:00,2026-06-08 00:00:00,0.8163,0.804,1.5068,11,12.9474,passed,35,fuerte,"swing reciente mas material (1.51%, 11 velas, 12.95x TR, score 43.41)",Fib 61.8,0.618,0.0589,cerca Fib 61.8 (0.06%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
NZDCAD.r,Forex Majors,H4,bearish,2026-06-04 12:00:00,2026-06-08 00:00:00,0.8177,0.804,1.6754,9,5.9695,passed,37,fuerte,"swing reciente mas material (1.68%, 9 velas, 5.97x TR, score 22.47)",Fib 38.2,0.382,0.0243,cerca Fib 38.2 (0.02%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
NZDCHF.r,Forex Majors,H1,bullish,2026-05-27 00:00:00,2026-05-27 23:00:00,0.45811,0.46441,1.3752,23,12.9897,passed,43,media,"swing reciente mas material (1.38%, 23 velas, 12.99x TR, score 22.48)",Fib 23.6,0.236,0.2514,contexto Fib 23.6 (0.25%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
NZDCHF.r,Forex Majors,H4,bullish,2026-05-26 08:00:00,2026-05-28 04:00:00,0.45808,0.46562,1.6460,11,6.7928,passed,39,fuerte,"swing reciente mas material (1.65%, 11 velas, 6.79x TR, score 18.07)",Fib 38.2,0.382,0.0692,cerca Fib 38.2 (0.07%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
NZDJPY.r,Forex Majors,H1,bearish,2026-06-05 13:00:00,2026-06-08 00:00:00,94.099,92.46,1.7418,11,14.6339,passed,45,fuerte,"swing reciente mas material (1.74%, 11 velas, 14.63x TR, score 56.72)",Fib 50,0.5,0.0767,cerca Fib 50 (0.08%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
NZDJPY.r,Forex Majors,H4,bullish,2026-05-28 04:00:00,2026-05-29 16:00:00,93.569,95.415,1.9729,9,6.8118,passed,40,media,"swing reciente mas material (1.97%, 9 velas, 6.81x TR, score 21.72)",Fib 78.6,0.786,1.2009,contexto Fib 78.6 (1.20%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
