example_id,group,symbol,timeframe,example_type,raw_pivot_id,structure_state,pivot_type,pivot_extreme_time,pivot_detected_at,pivot_extreme_price,atr,structural_detected_at,reason,leg_move_abs,leg_move_pct,leg_move_atr,bars_from_previous,replacement_of_raw_pivot_id,structural_pivot_id,previous_structural_pivot_id
metals_ambiguous_xptusd_h1,Metals,XPTUSD,H1,ambiguous,12,structural_pivot,high,2026-03-06 10:00:00,2026-03-06 13:00:00,2173.51,24.37428571428573,2026-03-06 13:00:00,opposite-type pivot passes structural leg filter,80.39000000000033,0.03840678030882144,3.18985332672006,12.0,,6,5.0
metals_ambiguous_xptusd_h1,Metals,XPTUSD,H1,ambiguous,15,structural_pivot,low,2026-03-09 04:00:00,2026-03-09 07:00:00,2023.91,30.010714285714293,2026-03-09 07:00:00,more extreme same-type pivot replaces previous structural pivot,82.44000000000005,0.037929432116714464,3.4149271395813288,6.0,13.0,7,6.0
metals_ambiguous_xptusd_h1,Metals,XPTUSD,H1,ambiguous,20,structural_pivot,high,2026-03-10 12:00:00,2026-03-10 15:00:00,2245.21,27.34357142857139,2026-03-10 15:00:00,more extreme same-type pivot replaces previous structural pivot,164.49999999999977,0.08127831771175584,6.062759964197324,19.0,18.0,8,7.0
metals_ambiguous_xptusd_h1,Metals,XPTUSD,H1,ambiguous,26,structural_pivot,low,2026-03-12 03:00:00,2026-03-12 06:00:00,2135.22,24.324285714285743,2026-03-12 06:00:00,more extreme same-type pivot replaces previous structural pivot,81.2800000000002,0.036201513444176804,3.325841383039363,23.0,25.0,9,8.0
metals_ambiguous_xptusd_h1,Metals,XPTUSD,H1,ambiguous,28,structural_pivot,high,2026-03-12 14:00:00,2026-03-12 17:00:00,2202.54,21.836428571428574,2026-03-12 17:00:00,opposite-type pivot passes structural leg filter,67.32000000000016,0.03152836710034571,2.916765957446813,11.0,,10,9.0
metals_ambiguous_xptusd_h1,Metals,XPTUSD,H1,ambiguous,34,structural_pivot,low,2026-03-16 01:00:00,2026-03-16 04:00:00,2004.63,28.11071428571425,2026-03-16 04:00:00,more extreme same-type pivot replaces previous structural pivot,86.17000000000007,0.03912301252190656,3.724889616204037,11.0,32.0,11,10.0
metals_ambiguous_xptusd_h1,Metals,XPTUSD,H1,ambiguous,38,structural_pivot,high,2026-03-16 22:00:00,2026-03-17 02:00:00,2126.79,23.75642857142855,2026-03-17 02:00:00,more extreme same-type pivot replaces previous structural pivot,66.65999999999985,0.03325301926041207,2.50638520726745,8.0,37.0,12,11.0
metals_ambiguous_xptusd_h1,Metals,XPTUSD,H1,ambiguous,39,structural_pivot,low,2026-03-17 04:00:00,2026-03-17 07:00:00,2082.63,22.90428571428577,2026-03-17 07:00:00,opposite-type pivot passes structural leg filter,44.159999999999854,0.020763686118516568,1.8928128587830004,6.0,,13,12.0
index_gap_aus200_m30,Index,AUS200,M30,gap,3,structural_pivot,high,2026-03-09 22:30:00,2026-03-10 02:30:00,8793.8,35.13571428571413,2026-03-10 02:30:00,more extreme same-type pivot replaces previous structural pivot,,,,,1.0,1,
index_gap_aus200_m30,Index,AUS200,M30,gap,4,structural_pivot,low,2026-03-10 07:00:00,2026-03-10 09:00:00,8647.5,25.507142857142885,2026-03-10 09:00:00,opposite-type pivot passes structural leg filter,146.29999999999927,0.016636721326388965,4.824970553592448,17.0,,2,1.0
