example_id,group,symbol,timeframe,raw_confirmed_pivots,structural_pivots,discarded_minor_pivots,ambiguous_structure,compression_ratio,min_leg_atr_multiplier,min_leg_relative_move_pct,min_leg_bars
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,39,13,16,10,0.3333333333333333,3.0,0.003,6
metals_noisy_xauusd_m30,Metals,XAUUSD.r,M30,41,16,18,7,0.3902439024390244,3.0,0.003,6
index_gap_aus200_m30,Index,AUS200,M30,33,18,10,5,0.5454545454545454,3.0,0.003,6
metals_ambiguous_xptusd_h1,Metals,XPTUSD,H1,39,13,15,11,0.3333333333333333,3.0,0.003,6
