must_review,candidate_id,resolved_market_group,selection_reason,reason,chart_path
False,abc_exp257_forex_majors_audcadr_h4_minor_abc_005,Forex Majors,ema_htf_conflict_or_misleading,Optional review if using this chart as thesis example or changing prominence policy.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\forex_majors\006_abc_exp257_forex_majors_audcadr_h4_minor_abc_005.png
False,hard_invalid_exp257_index_aus200_h4_minor_impulse_001,Index,ema_htf_conflict_or_misleading,Optional review if using this chart as thesis example or changing prominence policy.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\index\012_hard_invalid_exp257_index_aus200_h4_minor_impulse_001.png
False,impulse_exp257_metals_xageurr_h4_intermediate_impulse_008,Metals,watchlist_low_prominence,Optional review if using this chart as thesis example or changing prominence policy.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\metals\015_impulse_exp257_metals_xageurr_h4_intermediate_impulse_008.png
False,impulse_exp257_metals_xageurr_h4_minor_impulse_012,Metals,excluded_near_threshold,Optional review if using this chart as thesis example or changing prominence policy.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\metals\017_impulse_exp257_metals_xageurr_h4_minor_impulse_012.png
False,hard_invalid_exp257_metals_xageurr_h4_minor_impulse_001,Metals,ema_htf_conflict_or_misleading,Optional review if using this chart as thesis example or changing prominence policy.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\metals\019_hard_invalid_exp257_metals_xageurr_h4_minor_impulse_001.png
False,impulse_exp252_metals_xagusd_h4_minor_impulse_004,Metals,low_prominence_case,Optional review if using this chart as thesis example or changing prominence policy.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\metals\020_impulse_exp252_metals_xagusd_h4_minor_impulse_004.png
