resolved_market_group,candidate_count,prominence_vs_window_count,prominence_vs_window_mean,prominence_vs_window_median,prominence_vs_window_p10,prominence_vs_window_p25,prominence_vs_window_p75,prominence_vs_window_p90,prominence_vs_window_min,prominence_vs_window_max,duration_vs_window_count,duration_vs_window_mean,duration_vs_window_median,duration_vs_window_p10,duration_vs_window_p25,duration_vs_window_p75,duration_vs_window_p90,duration_vs_window_min,duration_vs_window_max,low_prominence_count,too_small_for_timeframe_count
Forex Majors,72,72,0.202685,0.171621,0.089738,0.133362,0.244134,0.379902,0.071125,0.499105,72,0.072448,0.060909,0.028182,0.038889,0.088889,0.146636,0.018182,0.180909,10,6
Index,45,45,0.306339,0.281982,0.149947,0.240335,0.323457,0.448578,0.119974,0.868578,45,0.073475,0.073333,0.028,0.053333,0.09,0.123637,0.021818,0.155455,6,4
Metals,45,45,0.112957,0.046715,0.031887,0.038776,0.164607,0.265326,0.019648,0.553603,45,0.067966,0.055455,0.034949,0.044444,0.075556,0.100101,0.02,0.243333,6,4
