resolved_market_group,candidate_count,h4_d1_count,h1_h4_count,unique_symbols,high_quality_structure,high_quality_structure_pct,usable_provisional_structure,usable_provisional_structure_pct,visual_watchlist_low_prominence,visual_watchlist_low_prominence_pct,auxiliary_substructure,auxiliary_substructure_pct,auxiliary_low_prominence_substructure,auxiliary_low_prominence_substructure_pct,ambiguous_structure,ambiguous_structure_pct,experimental_only,experimental_only_pct,exclude_from_guided_search,exclude_from_guided_search_pct,minor_count,intermediate_count,major_count
Forex Majors,72,48,24,4,1,1.39,4,5.56,1,1.39,2,2.78,3,4.17,0,0.0,1,1.39,60,83.33,24,24,24
Index,45,30,15,1,0,0.0,2,4.44,0,0.0,1,2.22,2,4.44,0,0.0,0,0.0,40,88.89,15,15,15
Metals,45,30,15,2,0,0.0,2,4.44,2,4.44,1,2.22,2,4.44,0,0.0,0,0.0,38,84.44,15,15,15
