check,rows,policy,status
fibonacci_context_rows,95,context_can_add_visual_quality_only,passed
fibonacci_zone_candidate_rows,0,cap_score_3_without_strategy_base,passed
fib_limit_separate,22,historical_fib_limit_is_not_live_setup_by_default,passed
fib_limit_context_not_fibonacci_zone,0,fib_limit_kept_separate_from_fibonacci_zone_candidate_and_live_dashboard,passed
fib_limit_live_candidates,4,only_current_fib_0_618_near_price_can_create_live_candidate,passed
