layer_type,rows
macd_current_price_marker,188
macd_sl_study,188
macd_tp1_study,188
macd_tp2_study,188
macd_w1_leg,188
macd_breakout_level,142
macd_recent_breakout_marker,142
macd_w2_directrix,142
macd_cross_marker,117
macd_w2_retracement,98
