enrichment_id,symbol,timeframe,side,last_breakout_time,bars_since_breakout,breakout_level,breakout_level_type,reconstruction_status
macd_breakout_enrichment_v1|CADCHF.r|H1|BUY|563,CADCHF.r,H1,BUY,2026-06-05 11:00:00,27.0,0.567451304347826,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|CADCHF.r|H1|SELL|562,CADCHF.r,H1,SELL,2026-06-08 14:00:00,0.0,0.5720058102766797,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|CADJPY.r|H1|BUY|597,CADJPY.r,H1,BUY,2026-06-08 02:00:00,12.0,114.9416000000001,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|CADJPY.r|H1|SELL|595,CADJPY.r,H1,SELL,,,,,not_detected
macd_breakout_enrichment_v1|CHFJPY.r|H1|BUY|574,CHFJPY.r,H1,BUY,2026-06-08 14:00:00,0.0,200.68765612648218,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|CHFJPY.r|H1|SELL|572,CHFJPY.r,H1,SELL,2026-06-05 15:00:00,23.0,202.78394769230758,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|EURAUD.r|H1|BUY|1814,EURAUD.r,H1,BUY,2026-06-03 04:00:00,82.0,1.6193157936507934,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|EURAUD.r|H1|SELL|1813,EURAUD.r,H1,SELL,2026-06-08 10:00:00,4.0,1.634884284382284,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|EURCAD.r|H1|BUY|460,EURCAD.r,H1,BUY,2026-06-08 02:00:00,12.0,1.6065974461538464,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|EURCAD.r|H1|SELL|461,EURCAD.r,H1,SELL,2026-06-05 15:00:00,23.0,1.6147128627450973,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|EURCHF.r|H1|BUY|359,EURCHF.r,H1,BUY,2026-06-01 03:00:00,131.0,0.9112457419354835,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|EURCHF.r|H1|SELL|358,EURCHF.r,H1,SELL,2026-06-08 02:00:00,12.0,0.9177328812741312,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|EURGBP.r|H1|BUY|348,EURGBP.r,H1,BUY,2026-06-03 16:00:00,70.0,0.8636437280296029,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|EURGBP.r|H1|SELL|349,EURGBP.r,H1,SELL,2026-05-29 16:00:00,142.0,0.8670854433077585,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|EURJPY.r|H1|BUY|1664,EURJPY.r,H1,BUY,2026-06-08 14:00:00,0.0,184.48716883116876,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|EURJPY.r|H1|SELL|1664,EURJPY.r,H1,SELL,2026-06-05 15:00:00,23.0,185.8904347826086,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|EURNZD.r|H1|BUY|533,EURNZD.r,H1,BUY,,,,,not_detected
macd_breakout_enrichment_v1|EURNZD.r|H1|SELL|534,EURNZD.r,H1,SELL,2026-06-08 06:00:00,8.0,1.9874500913645743,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|EURUSD.r|H1|BUY|1689,EURUSD.r,H1,BUY,2026-06-08 12:00:00,2.0,1.1507200476190476,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|EURUSD.r|H1|SELL|1690,EURUSD.r,H1,SELL,2026-06-05 15:00:00,23.0,1.1620628999999987,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|GBPAUD.r|H1|BUY|547,GBPAUD.r,H1,BUY,2026-06-03 14:00:00,72.0,1.8764876244665711,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|GBPAUD.r|H1|SELL|546,GBPAUD.r,H1,SELL,2026-06-08 10:00:00,4.0,1.8910228018648017,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|GBPCAD.r|H1|BUY|465,GBPCAD.r,H1,BUY,2026-06-08 12:00:00,2.0,1.858245952380952,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|GBPCAD.r|H1|SELL|464,GBPCAD.r,H1,SELL,,,,,not_detected
macd_breakout_enrichment_v1|GBPCHF.r|H1|BUY|512,GBPCHF.r,H1,BUY,,,,,not_detected
macd_breakout_enrichment_v1|GBPCHF.r|H1|SELL|511,GBPCHF.r,H1,SELL,2026-06-08 05:00:00,9.0,1.0647710000000008,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|GBPJPY.r|H1|BUY|635,GBPJPY.r,H1,BUY,,,,,not_detected
macd_breakout_enrichment_v1|GBPJPY.r|H1|SELL|633,GBPJPY.r,H1,SELL,2026-06-08 08:00:00,6.0,213.8974,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|GBPNZD.r|H1|BUY|529,GBPNZD.r,H1,BUY,,,,,not_detected
macd_breakout_enrichment_v1|GBPNZD.r|H1|SELL|530,GBPNZD.r,H1,SELL,2026-06-08 06:00:00,8.0,2.2995483471074385,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|GBPUSD.r|H1|BUY|615,GBPUSD.r,H1,BUY,2026-06-05 21:00:00,17.0,1.3323193333333336,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|GBPUSD.r|H1|SELL|613,GBPUSD.r,H1,SELL,2026-06-05 15:00:00,23.0,1.3437039000000002,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|NZDCAD.r|H1|BUY|558,NZDCAD.r,H1,BUY,2026-06-08 02:00:00,12.0,0.8079849846153848,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|NZDCAD.r|H1|SELL|557,NZDCAD.r,H1,SELL,2026-06-08 08:00:00,6.0,0.8090569999999994,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|NZDCHF.r|H1|BUY|559,NZDCHF.r,H1,BUY,2026-06-08 04:00:00,10.0,0.46211001573564114,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|NZDCHF.r|H1|SELL|559,NZDCHF.r,H1,SELL,2026-06-08 07:00:00,7.0,0.4626050000000001,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|NZDJPY.r|H1|BUY|588,NZDJPY.r,H1,BUY,2026-06-08 14:00:00,0.0,93.07535997336001,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|NZDJPY.r|H1|SELL|587,NZDJPY.r,H1,SELL,2026-06-08 11:00:00,3.0,92.91975000000002,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|NZDUSD.r|H1|BUY|603,NZDUSD.r,H1,BUY,2026-06-08 02:00:00,12.0,0.5791983116883118,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|NZDUSD.r|H1|SELL|602,NZDUSD.r,H1,SELL,2026-06-08 08:00:00,6.0,0.5801580000000002,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|USDCAD.r|H1|BUY|423,USDCAD.r,H1,BUY,2026-05-28 21:00:00,161.0,1.3767699999999994,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|USDCAD.r|H1|SELL|423,USDCAD.r,H1,SELL,2026-06-05 04:00:00,34.0,1.390555749799518,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|USDCHF.r|H1|BUY|607,USDCHF.r,H1,BUY,,,,,not_detected
macd_breakout_enrichment_v1|USDCHF.r|H1|SELL|606,USDCHF.r,H1,SELL,2026-06-08 13:00:00,1.0,0.798013076923077,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|USDJPY|H1|BUY|1871,USDJPY,H1,BUY,2026-03-17 03:00:00,6.0,159.16476923076925,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|USDJPY|H1|SELL|1871,USDJPY,H1,SELL,2026-03-16 00:00:00,33.0,159.66654569497513,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|XAGEUR.r|H1|BUY|649,XAGEUR.r,H1,BUY,2026-06-08 14:00:00,0.0,58.19539999999994,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|XAGEUR.r|H1|SELL|651,XAGEUR.r,H1,SELL,,,,,not_detected
macd_breakout_enrichment_v1|XAGUSD.r|H1|BUY|926,XAGUSD.r,H1,BUY,2026-06-08 14:00:00,0.0,67.00526666666667,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|XAGUSD.r|H1|SELL|928,XAGUSD.r,H1,SELL,,,,,not_detected
macd_breakout_enrichment_v1|XAUEUR.r|H1|BUY|623,XAUEUR.r,H1,BUY,2026-06-08 13:00:00,1.0,3730.108617886179,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|XAUEUR.r|H1|SELL|625,XAUEUR.r,H1,SELL,2026-06-05 01:00:00,36.0,3851.5360000000023,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|XAUUSD.r|H1|BUY|757,XAUUSD.r,H1,BUY,2026-06-08 13:00:00,1.0,4292.41736353078,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|XAUUSD.r|H1|SELL|758,XAUUSD.r,H1,SELL,,,,,not_detected
macd_breakout_enrichment_v1|XCUUSD.r|H1|BUY|305,XCUUSD.r,H1,BUY,2026-06-08 09:00:00,5.0,13520.855731225298,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|XCUUSD.r|H1|SELL|307,XCUUSD.r,H1,SELL,,,,,not_detected
