estimate_id,generated_at,symbol,market_group,timeframe,higher_timeframe,as_of_bar_time,source,confirmed_wave_context,live_estimated_wave,next_wave_hypothesis,structure_family,direction,current_leg_direction,current_leg_status,last_persistent_pivot_type,last_persistent_pivot_price,last_persistent_pivot_time,latest_close,latest_close_time,move_from_last_pivot_pct,retracement_from_previous_leg_pct,activation_level,invalidation_level,distance_to_activation_pct,distance_to_invalidation_pct,confidence_bucket,freshness_status,display_policy,why_this_label,why_not_higher_confidence,requires_manual_review,lookahead_safe,is_read_only,can_generate_signal,can_filter_trade,can_execute_order,method_version,notes,payload_json
wavecount_live_estimate_v0_EURUSD_r_H4_20260317T040000,2026-05-27T17:43:19Z,EURUSD.r,Forex Majors,H4,D1,2026-03-17T04:00:00,wavecount_live_estimate_v0,invalidated,invalidated,not_available,unknown,long,down,failed_breakout,high,1.20816,2026-01-27T20:00:00,1.1497,2026-03-17T04:00:00,-4.8388,114.8301,1.15725,1.18079,0.652409,0.027042,low,manual_review_required,manual_review_only,latest close breached invalidation or state machine invalidated the cycle,invalidated contexts cannot receive higher confidence,True,True,True,False,False,False,wavecount_live_estimate_v0,live estimate from latest close; no_signal_no_filter_no_execution,"{""activation_crossed"": false, ""invalidated"": true, ""latest_close_safe"": true, ""operational_use"": ""forbidden"", ""state_machine_blockers"": ""invalid_cycle_start;invalidation_level_breached;late_cycle_context"", ""state_machine_display_policy"": ""manual_review_only"", ""state_machine_wave"": ""invalidated""}"
wavecount_live_estimate_v0_GBPUSD_r_H4_20260317T040000,2026-05-27T17:43:19Z,GBPUSD.r,Forex Majors,H4,D1,2026-03-17T04:00:00,wavecount_live_estimate_v0,invalidated,invalidated,not_available,unknown,long,down,failed_breakout,high,1.38661,2026-01-27T20:00:00,1.33114,2026-03-17T04:00:00,-4.0004,104.3061,1.33343,1.35675,0.171738,0.019239,low,manual_review_required,manual_review_only,latest close breached invalidation or state machine invalidated the cycle,invalidated contexts cannot receive higher confidence,True,True,True,False,False,False,wavecount_live_estimate_v0,live estimate from latest close; no_signal_no_filter_no_execution,"{""activation_crossed"": false, ""invalidated"": true, ""latest_close_safe"": true, ""operational_use"": ""forbidden"", ""state_machine_blockers"": ""invalid_cycle_start;invalidation_level_breached;late_cycle_context"", ""state_machine_display_policy"": ""manual_review_only"", ""state_machine_wave"": ""invalidated""}"
wavecount_live_estimate_v0_US500_H4_20260317T040000,2026-05-27T17:43:19Z,US500,Index,H4,D1,2026-03-17T04:00:00,wavecount_live_estimate_v0,possible_wave3_active_late,possible_wave3_active,possible_wave4,impulse,short,down,impulse_attempt,high,6995.45,2026-02-11T16:00:00,6691.47,2026-03-17T04:00:00,-4.3454,116.3649,6734.22,7017.68,0.634817,0.04875,medium,live_estimate_from_close,show_live_estimate_with_warning,latest close crossed activation in the inferred cycle direction,confirmed context is still late and this is not an operational signal,False,True,True,False,False,False,wavecount_live_estimate_v0,live estimate from latest close; no_signal_no_filter_no_execution,"{""activation_crossed"": true, ""invalidated"": false, ""latest_close_safe"": true, ""operational_use"": ""forbidden"", ""state_machine_blockers"": ""late_cycle_context"", ""state_machine_display_policy"": ""show_with_warning"", ""state_machine_wave"": ""possible_wave3_active""}"
wavecount_live_estimate_v0_XAUUSD_r_H4_20260317T040000,2026-05-27T17:43:19Z,XAUUSD.r,Metals,H4,D1,2026-03-17T04:00:00,wavecount_live_estimate_v0,possible_wave3_candidate_late,possible_wave3_candidate,possible_wave3_active,impulse,long,up,breakout_attempt,low,4840.27,2026-02-17T16:00:00,5037.85,2026-03-17T04:00:00,4.082,26.1135,5596.89,4022.51,9.988404,0.201542,low,live_estimate_from_close,show_live_estimate_with_warning,latest close has not crossed activation but keeps a plausible wave3 attempt alive,activation is not crossed; confidence remains low,False,True,True,False,False,False,wavecount_live_estimate_v0,live estimate from latest close; no_signal_no_filter_no_execution,"{""activation_crossed"": false, ""invalidated"": false, ""latest_close_safe"": true, ""operational_use"": ""forbidden"", ""state_machine_blockers"": ""late_cycle_context"", ""state_machine_display_policy"": ""show_with_warning"", ""state_machine_wave"": ""possible_wave3_candidate""}"
