symbol,timeframe,live_estimated_wave,confidence_bucket,freshness_status,display_policy,requires_manual_review,warning
EURUSD.r,H4,invalidated,low,manual_review_required,manual_review_only,True,invalidated contexts cannot receive higher confidence
GBPUSD.r,H4,invalidated,low,manual_review_required,manual_review_only,True,invalidated contexts cannot receive higher confidence
US500,H4,possible_wave3_active,medium,live_estimate_from_close,show_live_estimate_with_warning,False,confirmed context is still late and this is not an operational signal
XAUUSD.r,H4,possible_wave3_candidate,low,live_estimate_from_close,show_live_estimate_with_warning,False,activation is not crossed; confidence remains low
