symbol,timeframe,state_machine_wave,live_estimated_wave,state_machine_display_policy,live_display_policy,state_machine_confirmed_context,confirmed_wave_context,changed_label,comparison_note
EURUSD.r,H4,invalidated,invalidated,manual_review_only,manual_review_only,invalidated,invalidated,False,live_estimate_keeps_invalidation
GBPUSD.r,H4,invalidated,invalidated,manual_review_only,manual_review_only,invalidated,invalidated,False,live_estimate_keeps_invalidation
US500,H4,possible_wave3_active,possible_wave3_active,show_with_warning,show_live_estimate_with_warning,possible_wave3_active_late,possible_wave3_active_late,False,latest_close_adds_live_estimate
XAUUSD.r,H4,possible_wave3_candidate,possible_wave3_candidate,show_with_warning,show_live_estimate_with_warning,possible_wave3_candidate_late,possible_wave3_candidate_late,False,latest_close_adds_live_estimate
