symbol,timeframe,as_of_bar_time,current_leg_direction,current_leg_status,last_persistent_pivot_type,last_persistent_pivot_price,last_persistent_pivot_time,latest_close,latest_close_time,move_from_last_pivot_pct,retracement_from_previous_leg_pct,lookahead_safe
EURUSD.r,H4,2026-03-17T04:00:00,down,failed_breakout,high,1.20816,2026-01-27T20:00:00,1.1497,2026-03-17T04:00:00,-4.8388,114.8301,True
GBPUSD.r,H4,2026-03-17T04:00:00,down,failed_breakout,high,1.38661,2026-01-27T20:00:00,1.33114,2026-03-17T04:00:00,-4.0004,104.3061,True
US500,H4,2026-03-17T04:00:00,down,impulse_attempt,high,6995.45,2026-02-11T16:00:00,6691.47,2026-03-17T04:00:00,-4.3454,116.3649,True
XAUUSD.r,H4,2026-03-17T04:00:00,up,breakout_attempt,low,4840.27,2026-02-17T16:00:00,5037.85,2026-03-17T04:00:00,4.082,26.1135,True
