symbol,timeframe,current_wave_hypothesis_estimated,persistent_estimated_current_wave,current_display_policy,persistent_display_policy,current_confirmed_context,persistent_confirmed_context,comparison_note
EURUSD.r,H4,ambiguous,possible_wave5_active,manual_review_only,show_with_warning,ambiguous,possible_wave5_active,persistent_model_less_restrictive
GBPUSD.r,H4,ambiguous,possible_wave5_active,manual_review_only,show_with_warning,ambiguous,possible_wave5_active,persistent_model_less_restrictive
US500,H4,ambiguous,possible_wave5_active,manual_review_only,show_with_warning,ambiguous,possible_wave5_active,persistent_model_less_restrictive
XAUUSD.r,H4,ambiguous,possible_wave5_active,manual_review_only,show_with_warning,ambiguous,possible_wave5_active,persistent_model_less_restrictive
