pivot_uid,symbol,timeframe,cut_number,as_of_bar_time,event_type,pivot_type,pivot_detected_at,lookahead_safe
EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741,EURUSD.r,H4,8,2026-01-30T08:00:00,persistent_seen,low,2025-08-28T12:00:00,True
EURUSD_r_H4_low_2025_10_09T20_00_00_1_15421,EURUSD.r,H4,8,2026-01-30T08:00:00,persistent_seen,low,2025-10-10T20:00:00,True
EURUSD_r_H4_low_2025_11_05T16_00_00_1_1469,EURUSD.r,H4,8,2026-01-30T08:00:00,persistent_seen,low,2025-11-06T16:00:00,True
EURUSD_r_H4_low_2025_11_21T16_00_00_1_14911,EURUSD.r,H4,8,2026-01-30T08:00:00,persistent_seen,low,2025-11-24T16:00:00,True
EURUSD_r_H4_low_2026_01_19T00_00_00_1_15725,EURUSD.r,H4,8,2026-01-30T08:00:00,candidate_seen,low,2026-01-20T00:00:00,True
EURUSD_r_H4_high_2025_09_17T20_00_00_1_19185,EURUSD.r,H4,9,2026-02-23T08:00:00,persistent_seen,high,2025-09-18T20:00:00,True
EURUSD_r_H4_high_2025_10_17T08_00_00_1_17284,EURUSD.r,H4,9,2026-02-23T08:00:00,persistent_seen,high,2025-10-20T08:00:00,True
EURUSD_r_H4_high_2025_11_13T16_00_00_1_16558,EURUSD.r,H4,9,2026-02-23T08:00:00,persistent_seen,high,2025-11-14T16:00:00,True
EURUSD_r_H4_high_2025_12_24T04_00_00_1_18079,EURUSD.r,H4,9,2026-02-23T08:00:00,persistent_seen,high,2025-12-26T04:00:00,True
EURUSD_r_H4_high_2026_01_27T20_00_00_1_20816,EURUSD.r,H4,9,2026-02-23T08:00:00,persistent_accepted,high,2026-01-28T20:00:00,True
EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741,EURUSD.r,H4,9,2026-02-23T08:00:00,persistent_seen,low,2025-08-28T12:00:00,True
EURUSD_r_H4_low_2025_10_09T20_00_00_1_15421,EURUSD.r,H4,9,2026-02-23T08:00:00,persistent_seen,low,2025-10-10T20:00:00,True
EURUSD_r_H4_low_2025_11_05T16_00_00_1_1469,EURUSD.r,H4,9,2026-02-23T08:00:00,persistent_seen,low,2025-11-06T16:00:00,True
EURUSD_r_H4_low_2025_11_21T16_00_00_1_14911,EURUSD.r,H4,9,2026-02-23T08:00:00,persistent_seen,low,2025-11-24T16:00:00,True
EURUSD_r_H4_low_2026_01_19T00_00_00_1_15725,EURUSD.r,H4,9,2026-02-23T08:00:00,persistent_accepted,low,2026-01-20T00:00:00,True
EURUSD_r_H4_low_2026_02_19T16_00_00_1_1742,EURUSD.r,H4,9,2026-02-23T08:00:00,candidate_seen,low,2026-02-20T16:00:00,True
EURUSD_r_H4_high_2025_09_17T20_00_00_1_19185,EURUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,high,2025-09-18T20:00:00,True
EURUSD_r_H4_high_2025_10_17T08_00_00_1_17284,EURUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,high,2025-10-20T08:00:00,True
EURUSD_r_H4_high_2025_11_13T16_00_00_1_16558,EURUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,high,2025-11-14T16:00:00,True
EURUSD_r_H4_high_2025_12_24T04_00_00_1_18079,EURUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,high,2025-12-26T04:00:00,True
EURUSD_r_H4_high_2026_01_27T20_00_00_1_20816,EURUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,high,2026-01-28T20:00:00,True
EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741,EURUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,low,2025-08-28T12:00:00,True
EURUSD_r_H4_low_2025_10_09T20_00_00_1_15421,EURUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,low,2025-10-10T20:00:00,True
EURUSD_r_H4_low_2025_11_05T16_00_00_1_1469,EURUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,low,2025-11-06T16:00:00,True
EURUSD_r_H4_low_2025_11_21T16_00_00_1_14911,EURUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,low,2025-11-24T16:00:00,True
EURUSD_r_H4_low_2026_01_19T00_00_00_1_15725,EURUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,low,2026-01-20T00:00:00,True
EURUSD_r_H4_low_2026_03_13T20_00_00_1_14107,EURUSD.r,H4,10,2026-03-17T04:00:00,candidate_seen,low,2026-03-16T20:00:00,True
GBPUSD_r_H4_low_2025_08_22T08_00_00_1_33903,GBPUSD.r,H4,1,2025-08-26T00:00:00,candidate_seen,low,2025-08-25T08:00:00,True
GBPUSD_r_H4_high_2025_09_09T12_00_00_1_35903,GBPUSD.r,H4,2,2025-09-16T20:00:00,candidate_seen,high,2025-09-10T12:00:00,True
GBPUSD_r_H4_low_2025_09_03T08_00_00_1_33331,GBPUSD.r,H4,2,2025-09-16T20:00:00,candidate_seen,low,2025-09-04T08:00:00,True
