pivot_uid,symbol,timeframe,cut_number,as_of_bar_time,event_type,pivot_type,pivot_detected_at,lookahead_safe
US500_H4_low_2026_01_21T12_00_00_6785_65,US500,H4,9,2026-02-23T08:00:00,persistent_accepted,low,2026-01-22T12:00:00,True
US500_H4_low_2026_02_06T00_00_00_6734_22,US500,H4,9,2026-02-23T08:00:00,candidate_seen,low,2026-02-09T00:00:00,True
US500_H4_high_2025_10_03T16_00_00_6751_97,US500,H4,10,2026-03-17T04:00:00,persistent_seen,high,2025-10-06T16:00:00,True
US500_H4_high_2025_10_30T04_00_00_6924_99,US500,H4,10,2026-03-17T04:00:00,persistent_seen,high,2025-10-31T04:00:00,True
US500_H4_high_2025_12_05T16_00_00_6896_21,US500,H4,10,2026-03-17T04:00:00,persistent_seen,high,2025-12-08T16:00:00,True
US500_H4_high_2025_12_26T16_00_00_6949_95,US500,H4,10,2026-03-17T04:00:00,persistent_seen,high,2025-12-29T16:00:00,True
US500_H4_high_2026_01_13T12_00_00_7001_8,US500,H4,10,2026-03-17T04:00:00,persistent_seen,high,2026-01-14T12:00:00,True
US500_H4_high_2026_01_28T08_00_00_7017_68,US500,H4,10,2026-03-17T04:00:00,persistent_seen,high,2026-01-29T08:00:00,True
US500_H4_high_2026_02_11T16_00_00_6995_45,US500,H4,10,2026-03-17T04:00:00,persistent_accepted,high,2026-02-12T16:00:00,True
US500_H4_low_2025_08_20T16_00_00_6346_85,US500,H4,10,2026-03-17T04:00:00,persistent_seen,low,2025-08-21T16:00:00,True
US500_H4_low_2025_10_10T20_00_00_6496_43,US500,H4,10,2026-03-17T04:00:00,persistent_seen,low,2025-10-13T20:00:00,True
US500_H4_low_2025_11_18T16_00_00_6576_4,US500,H4,10,2026-03-17T04:00:00,persistent_seen,low,2025-11-19T16:00:00,True
US500_H4_low_2025_12_18T04_00_00_6722_12,US500,H4,10,2026-03-17T04:00:00,persistent_seen,low,2025-12-19T04:00:00,True
US500_H4_low_2026_01_02T20_00_00_6827_1,US500,H4,10,2026-03-17T04:00:00,persistent_seen,low,2026-01-05T20:00:00,True
US500_H4_low_2026_01_21T12_00_00_6785_65,US500,H4,10,2026-03-17T04:00:00,persistent_seen,low,2026-01-22T12:00:00,True
US500_H4_low_2026_02_06T00_00_00_6734_22,US500,H4,10,2026-03-17T04:00:00,persistent_accepted,low,2026-02-09T00:00:00,True
US500_H4_low_2026_03_09T04_00_00_6577_72,US500,H4,10,2026-03-17T04:00:00,candidate_seen,low,2026-03-10T04:00:00,True
XAUUSD_r_H4_low_2025_08_20T04_00_00_3311_58,XAUUSD.r,H4,1,2025-08-26T00:00:00,candidate_seen,low,2025-08-21T04:00:00,True
XAUUSD_r_H4_high_2025_09_09T16_00_00_3674_94,XAUUSD.r,H4,2,2025-09-16T20:00:00,candidate_seen,high,2025-09-10T16:00:00,True
XAUUSD_r_H4_low_2025_08_20T04_00_00_3311_58,XAUUSD.r,H4,2,2025-09-16T20:00:00,persistent_accepted,low,2025-08-21T04:00:00,True
XAUUSD_r_H4_high_2025_10_01T08_00_00_3895_36,XAUUSD.r,H4,3,2025-10-08T20:00:00,candidate_seen,high,2025-10-02T08:00:00,True
XAUUSD_r_H4_low_2025_08_20T04_00_00_3311_58,XAUUSD.r,H4,3,2025-10-08T20:00:00,persistent_seen,low,2025-08-21T04:00:00,True
XAUUSD_r_H4_high_2025_10_17T00_00_00_4379_62,XAUUSD.r,H4,4,2025-10-30T16:00:00,candidate_seen,high,2025-10-20T00:00:00,True
XAUUSD_r_H4_low_2025_08_20T04_00_00_3311_58,XAUUSD.r,H4,4,2025-10-30T16:00:00,persistent_seen,low,2025-08-21T04:00:00,True
XAUUSD_r_H4_low_2025_10_28T12_00_00_3886_53,XAUUSD.r,H4,4,2025-10-30T16:00:00,candidate_seen,low,2025-10-29T12:00:00,True
XAUUSD_r_H4_high_2025_10_17T00_00_00_4379_62,XAUUSD.r,H4,5,2025-11-21T16:00:00,persistent_accepted,high,2025-10-20T00:00:00,True
XAUUSD_r_H4_high_2025_11_13T12_00_00_4245_14,XAUUSD.r,H4,5,2025-11-21T16:00:00,candidate_seen,high,2025-11-14T12:00:00,True
XAUUSD_r_H4_low_2025_08_20T04_00_00_3311_58,XAUUSD.r,H4,5,2025-11-21T16:00:00,persistent_seen,low,2025-08-21T04:00:00,True
XAUUSD_r_H4_low_2025_10_28T12_00_00_3886_53,XAUUSD.r,H4,5,2025-11-21T16:00:00,persistent_accepted,low,2025-10-29T12:00:00,True
XAUUSD_r_H4_high_2025_10_17T00_00_00_4379_62,XAUUSD.r,H4,6,2025-12-15T12:00:00,persistent_seen,high,2025-10-20T00:00:00,True
XAUUSD_r_H4_high_2025_11_13T12_00_00_4245_14,XAUUSD.r,H4,6,2025-12-15T12:00:00,persistent_accepted,high,2025-11-14T12:00:00,True
XAUUSD_r_H4_high_2025_12_01T12_00_00_4264_53,XAUUSD.r,H4,6,2025-12-15T12:00:00,candidate_seen,high,2025-12-02T12:00:00,True
XAUUSD_r_H4_low_2025_08_20T04_00_00_3311_58,XAUUSD.r,H4,6,2025-12-15T12:00:00,persistent_seen,low,2025-08-21T04:00:00,True
XAUUSD_r_H4_low_2025_10_28T12_00_00_3886_53,XAUUSD.r,H4,6,2025-12-15T12:00:00,persistent_seen,low,2025-10-29T12:00:00,True
XAUUSD_r_H4_low_2025_11_21T08_00_00_4022_51,XAUUSD.r,H4,6,2025-12-15T12:00:00,candidate_seen,low,2025-11-24T08:00:00,True
XAUUSD_r_H4_high_2025_10_17T00_00_00_4379_62,XAUUSD.r,H4,7,2026-01-08T12:00:00,persistent_seen,high,2025-10-20T00:00:00,True
XAUUSD_r_H4_high_2025_11_13T12_00_00_4245_14,XAUUSD.r,H4,7,2026-01-08T12:00:00,persistent_seen,high,2025-11-14T12:00:00,True
XAUUSD_r_H4_high_2025_12_26T16_00_00_4549_84,XAUUSD.r,H4,7,2026-01-08T12:00:00,candidate_seen,high,2025-12-29T16:00:00,True
XAUUSD_r_H4_low_2025_08_20T04_00_00_3311_58,XAUUSD.r,H4,7,2026-01-08T12:00:00,persistent_seen,low,2025-08-21T04:00:00,True
XAUUSD_r_H4_low_2025_10_28T12_00_00_3886_53,XAUUSD.r,H4,7,2026-01-08T12:00:00,persistent_seen,low,2025-10-29T12:00:00,True
XAUUSD_r_H4_low_2025_11_21T08_00_00_4022_51,XAUUSD.r,H4,7,2026-01-08T12:00:00,persistent_accepted,low,2025-11-24T08:00:00,True
XAUUSD_r_H4_high_2025_10_17T00_00_00_4379_62,XAUUSD.r,H4,8,2026-01-30T08:00:00,persistent_seen,high,2025-10-20T00:00:00,True
XAUUSD_r_H4_high_2025_11_13T12_00_00_4245_14,XAUUSD.r,H4,8,2026-01-30T08:00:00,persistent_seen,high,2025-11-14T12:00:00,True
XAUUSD_r_H4_high_2026_01_29T00_00_00_5596_89,XAUUSD.r,H4,8,2026-01-30T08:00:00,candidate_seen,high,2026-01-30T00:00:00,True
XAUUSD_r_H4_low_2025_08_20T04_00_00_3311_58,XAUUSD.r,H4,8,2026-01-30T08:00:00,persistent_seen,low,2025-08-21T04:00:00,True
XAUUSD_r_H4_low_2025_10_28T12_00_00_3886_53,XAUUSD.r,H4,8,2026-01-30T08:00:00,persistent_seen,low,2025-10-29T12:00:00,True
XAUUSD_r_H4_low_2025_11_21T08_00_00_4022_51,XAUUSD.r,H4,8,2026-01-30T08:00:00,persistent_seen,low,2025-11-24T08:00:00,True
XAUUSD_r_H4_high_2025_10_17T00_00_00_4379_62,XAUUSD.r,H4,9,2026-02-23T08:00:00,persistent_seen,high,2025-10-20T00:00:00,True
XAUUSD_r_H4_high_2025_11_13T12_00_00_4245_14,XAUUSD.r,H4,9,2026-02-23T08:00:00,persistent_seen,high,2025-11-14T12:00:00,True
XAUUSD_r_H4_high_2026_01_29T00_00_00_5596_89,XAUUSD.r,H4,9,2026-02-23T08:00:00,persistent_accepted,high,2026-01-30T00:00:00,True
XAUUSD_r_H4_low_2025_08_20T04_00_00_3311_58,XAUUSD.r,H4,9,2026-02-23T08:00:00,persistent_seen,low,2025-08-21T04:00:00,True
XAUUSD_r_H4_low_2025_10_28T12_00_00_3886_53,XAUUSD.r,H4,9,2026-02-23T08:00:00,persistent_seen,low,2025-10-29T12:00:00,True
XAUUSD_r_H4_low_2025_11_21T08_00_00_4022_51,XAUUSD.r,H4,9,2026-02-23T08:00:00,persistent_seen,low,2025-11-24T08:00:00,True
XAUUSD_r_H4_low_2026_02_17T16_00_00_4840_27,XAUUSD.r,H4,9,2026-02-23T08:00:00,candidate_seen,low,2026-02-18T16:00:00,True
XAUUSD_r_H4_high_2025_10_17T00_00_00_4379_62,XAUUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,high,2025-10-20T00:00:00,True
XAUUSD_r_H4_high_2025_11_13T12_00_00_4245_14,XAUUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,high,2025-11-14T12:00:00,True
XAUUSD_r_H4_high_2026_01_29T00_00_00_5596_89,XAUUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,high,2026-01-30T00:00:00,True
XAUUSD_r_H4_high_2026_03_02T08_00_00_5419_29,XAUUSD.r,H4,10,2026-03-17T04:00:00,candidate_seen,high,2026-03-03T08:00:00,True
XAUUSD_r_H4_low_2025_08_20T04_00_00_3311_58,XAUUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,low,2025-08-21T04:00:00,True
XAUUSD_r_H4_low_2025_10_28T12_00_00_3886_53,XAUUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,low,2025-10-29T12:00:00,True
XAUUSD_r_H4_low_2025_11_21T08_00_00_4022_51,XAUUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,low,2025-11-24T08:00:00,True
XAUUSD_r_H4_low_2026_02_17T16_00_00_4840_27,XAUUSD.r,H4,10,2026-03-17T04:00:00,persistent_accepted,low,2026-02-18T16:00:00,True
XAUUSD_r_H4_low_2026_03_16T00_00_00_4967_94,XAUUSD.r,H4,10,2026-03-17T04:00:00,candidate_seen,low,2026-03-17T00:00:00,True
