Activo,Velas,Inicio,Fin,Dias,VelasVsMax%,VelasMenosQueMax,Variant
EURUSD.r,101654,2018-01-10 19:30:00,2026-03-17 09:30:00,2987.6,100.0,0,experimental_composite_x
EURJPY.r,101653,2018-01-10 23:00:00,2026-03-17 09:30:00,2987.4,100.0,1,experimental_composite_x
USDJPY,101653,2018-01-10 19:00:00,2026-03-17 09:30:00,2987.6,100.0,1,experimental_composite_x
AUDUSD.r,59821,2021-05-26 00:00:00,2026-03-17 09:30:00,1756.4,58.8,41833,experimental_composite_x
EURGBP.r,59821,2021-05-26 00:00:00,2026-03-17 09:30:00,1756.4,58.8,41833,experimental_composite_x
USDCAD.r,59820,2021-05-26 00:00:00,2026-03-17 09:30:00,1756.4,58.8,41834,experimental_composite_x
GBPUSD.r,59818,2021-05-26 00:00:00,2026-03-17 09:30:00,1756.4,58.8,41836,experimental_composite_x
NZDUSD.r,59818,2021-05-26 00:00:00,2026-03-17 09:30:00,1756.4,58.8,41836,experimental_composite_x
USDCHF.r,59817,2021-05-26 00:00:00,2026-03-17 09:30:00,1756.4,58.8,41837,experimental_composite_x
