Activo,BLOCK_REASON,Rows,Variant,VariantClass
USDCAD.r,RR_BELOW_MIN,19,experimental_composite_x,resultado_exploratorio
USDCAD.r,H4_NO_ATTRACTOR,8,experimental_composite_x,resultado_exploratorio
USDCHF.r,H4_BULLISH_FAN_MISSING,21303,experimental_composite_x,resultado_exploratorio
USDCHF.r,H4_BEARISH_FAN_MISSING,19585,experimental_composite_x,resultado_exploratorio
USDCHF.r,H4_SMA200_BULL_FILTER_MISSING,2946,experimental_composite_x,resultado_exploratorio
USDCHF.r,H4_SMA200_BEAR_FILTER_MISSING,1663,experimental_composite_x,resultado_exploratorio
USDCHF.r,RETRACE_TOO_DEEP,1496,experimental_composite_x,resultado_exploratorio
USDCHF.r,H4_SMA200_UNAVAILABLE,504,experimental_composite_x,resultado_exploratorio
USDCHF.r,MOMENTUM_CONFIRM_MISSING,307,experimental_composite_x,resultado_exploratorio
USDCHF.r,RETRACE_BELOW_MIN,261,experimental_composite_x,resultado_exploratorio
USDCHF.r,RR_BELOW_MIN,12,experimental_composite_x,resultado_exploratorio
USDCHF.r,H4_NO_ATTRACTOR,8,experimental_composite_x,resultado_exploratorio
USDJPY,H4_BULLISH_FAN_MISSING,35155,experimental_composite_x,resultado_exploratorio
USDJPY,H4_BEARISH_FAN_MISSING,33706,experimental_composite_x,resultado_exploratorio
USDJPY,H4_SMA200_BEAR_FILTER_MISSING,3726,experimental_composite_x,resultado_exploratorio
USDJPY,H4_SMA200_BULL_FILTER_MISSING,3438,experimental_composite_x,resultado_exploratorio
USDJPY,RETRACE_TOO_DEEP,2383,experimental_composite_x,resultado_exploratorio
USDJPY,RETRACE_BELOW_MIN,646,experimental_composite_x,resultado_exploratorio
USDJPY,MOMENTUM_CONFIRM_MISSING,502,experimental_composite_x,resultado_exploratorio
USDJPY,RR_BELOW_MIN,232,experimental_composite_x,resultado_exploratorio
USDJPY,TP_UNAVAILABLE,11,experimental_composite_x,resultado_exploratorio
TOTAL,H4_BEARISH_FAN_MISSING,226310,experimental_composite_x,resultado_exploratorio
TOTAL,H4_BULLISH_FAN_MISSING,228887,experimental_composite_x,resultado_exploratorio
TOTAL,H4_NO_ATTRACTOR,48,experimental_composite_x,resultado_exploratorio
TOTAL,H4_SMA200_BEAR_FILTER_MISSING,25132,experimental_composite_x,resultado_exploratorio
TOTAL,H4_SMA200_BULL_FILTER_MISSING,25801,experimental_composite_x,resultado_exploratorio
TOTAL,H4_SMA200_UNAVAILABLE,2822,experimental_composite_x,resultado_exploratorio
TOTAL,MOMENTUM_CONFIRM_MISSING,3508,experimental_composite_x,resultado_exploratorio
TOTAL,PRIMARY_TRIGGER_MISSING,1,experimental_composite_x,resultado_exploratorio
TOTAL,RETRACE_BELOW_MIN,3611,experimental_composite_x,resultado_exploratorio
TOTAL,RETRACE_TOO_DEEP,15424,experimental_composite_x,resultado_exploratorio
TOTAL,RR_BELOW_MIN,574,experimental_composite_x,resultado_exploratorio
TOTAL,TP_UNAVAILABLE,16,experimental_composite_x,resultado_exploratorio
