symbol,group,group_normalized,timeframe,expected_minutes,summary_status,summary_error,duplicate_check_mode,duplicate_count,rows_count,first_time,last_time,minutes_since_last,latest_closed_like,stale_for_live,null_ohlc,null_tick_volume,null_spread,null_real_volume,nonpositive_ohlc,bad_ohlc,nan_like_ohlc,negative_volume_spread,misaligned_time,gap_status,gap_error,gap_count,short_gap_count,session_gap_count,max_gap_minutes
CADCHF.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
CADCHF.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
CADJPY.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103306,2022-01-19 03:15:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,226,9,217,5775
CADJPY.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,59820,2021-05-26 00:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,259,8,251,5790
CADJPY.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,29913,2021-05-26 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,256,5,251,5820
CADJPY.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
CADJPY.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
CHFJPY.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103306,2022-01-18 17:30:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,247,30,217,5775
CHFJPY.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,59811,2021-05-26 00:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,266,15,251,5790
CHFJPY.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,29913,2021-05-26 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,257,6,251,5820
CHFJPY.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
CHFJPY.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
EURAUD.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103307,2022-01-19 01:15:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,226,9,217,5775
EURAUD.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,101653,2018-01-10 20:30:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,439,12,427,5790
EURAUD.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,102243,2009-09-23 13:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,883,23,860,5820
EURAUD.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,33749,2004-06-17 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,1164,29,1135,6000
EURAUD.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,5637,2004-06-17 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,1158,0,1158,7200
EURCAD.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103307,2022-01-18 23:30:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,229,12,217,5775
EURCAD.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,59817,2021-05-26 00:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,261,10,251,5790
EURCAD.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,29913,2021-05-26 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,256,5,251,5820
EURCAD.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
EURCAD.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
EURCHF.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103307,2022-01-18 22:45:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,232,15,217,5775
EURCHF.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,59816,2021-05-26 00:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,261,10,251,5790
EURCHF.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,29914,2021-05-26 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,256,5,251,5820
EURCHF.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
EURCHF.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
EURGBP.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103307,2022-01-19 03:00:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,226,9,217,5775
EURGBP.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,59821,2021-05-26 00:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,259,8,251,5790
EURGBP.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,29914,2021-05-26 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,256,5,251,5820
EURGBP.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
EURGBP.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
