resolved_market_group,case_count,prominence_vs_window_mean,prominence_vs_window_median,prominence_vs_window_p10,prominence_vs_window_p25,prominence_vs_window_p75,prominence_vs_window_p90,prominence_vs_window_min,prominence_vs_window_max,duration_vs_window_mean,duration_vs_window_median,duration_vs_window_p10,duration_vs_window_p25,duration_vs_window_p75,duration_vs_window_p90,duration_vs_window_min,duration_vs_window_max,too_small_for_timeframe_count,low_prominence_vs_window_count,better_as_lower_tf_substructure_count,should_downgrade_to_auxiliary_count
Forex Majors,48,0.186856,0.147978,0.087697,0.108566,0.214459,0.327589,0.071125,0.488448,0.073483,0.06798,0.028182,0.043409,0.088889,0.113333,0.028182,0.180909,2,2,4,6
Index,30,0.319733,0.281982,0.239794,0.240335,0.322165,0.448578,0.119974,0.868578,0.082364,0.081111,0.053333,0.057272,0.094091,0.129091,0.027273,0.155455,2,2,2,4
Metals,30,0.13343,0.130318,0.032295,0.045316,0.180173,0.272333,0.025501,0.361787,0.071162,0.057676,0.034363,0.037955,0.07,0.132,0.02,0.243333,2,2,2,4
