resolved_market_group,case_count,ewo_score_mean,ewo_policy_label_relative_wave_role_support,ewo_policy_label_ewo_unclear_or_unavailable,ewo_policy_label_momentum_context_only,ewo_soft_support_supports,ewo_soft_support_unclear,ewo_soft_support_partial,ewo_helpfulness_supports_wave_role,ewo_helpfulness_unclear,ewo_helpfulness_supports_momentum_only
Forex Majors,48,4.3125,24,18,6,24,18,6,24,18,6
Index,30,4.5333,16,12,2,16,12,2,16,12,2
Metals,30,4.3,15,12,3,15,12,3,15,12,3
