count_id,example_id,group,symbol,timeframe,example_type,swing_degree,pattern_type,count_state,direction,start_pivot_id,end_pivot_id,start_time,end_time,count_detected_at,max_structural_detected_at_used,lookahead_safe,reason,wave1_length,wave2_retrace_of_wave1,wave3_length,wave3_extension_of_wave1,wave4_retrace_of_wave3,wave5_length,wave5_extension_of_wave1,wave5_extension_of_wave3,abc_a_length,abc_b_retrace_of_a,abc_c_length,abc_c_vs_a,major_context_state,major_context_direction,major_context_alignment,major_context_last_pivot_id
forex_clean_eurusd_h1_abc_008,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,intermediate,abc,ambiguous_count,bearish,8,11,2026-03-10 20:00:00,2026-03-16 10:00:00,2026-03-16 13:00:00,2026-03-16 13:00:00,True,C leg does not exceed A extreme; ABC is too compressed: C leg is small versus A,,,,,,,,,0.025660000000000016,0.17848791893998542,0.004229999999999956,0.1648480124707698,available,bearish,aligned,7
forex_clean_eurusd_h1_impulse_006,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,intermediate,impulse,invalidated_count,bearish,6,11,2026-03-10 01:00:00,2026-03-16 10:00:00,2026-03-16 13:00:00,2026-03-16 13:00:00,True,wave 2 breaks wave 1 origin,0.0038599999999999746,1.5647668393782603,0.025660000000000016,6.647668393782431,0.17848791893998542,0.004229999999999956,1.0958549222797886,0.1648480124707698,,,,,available,bearish,aligned,7
forex_clean_eurusd_h1_abc_009,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,intermediate,abc,candidate_abc,bullish,9,12,2026-03-13 23:00:00,2026-03-16 22:00:00,2026-03-17 01:00:00,2026-03-17 01:00:00,True,basic ABC constraints satisfied,,,,,,,,,0.0045800000000000285,0.9235807860261855,0.011069999999999913,2.4170305676855555,available,bullish,aligned,8
forex_clean_eurusd_h1_impulse_007,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,intermediate,impulse,invalidated_count,bullish,7,12,2026-03-10 07:00:00,2026-03-16 22:00:00,2026-03-17 01:00:00,2026-03-17 01:00:00,True,wave 2 breaks wave 1 origin; wave 3 does not exceed wave 1 extreme; wave 4 overlaps wave 1 territory; wave 3 is shorter than both wave 1 and wave 5,0.006040000000000045,4.248344370860898,0.0045800000000000285,0.7582781456953632,0.9235807860261855,0.011069999999999913,1.8327814569536143,2.4170305676855555,,,,,available,bullish,aligned,8
forex_clean_eurusd_h1_abc_010,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,intermediate,abc,invalidated_count,bearish,10,13,2026-03-16 04:00:00,2026-03-17 04:00:00,2026-03-17 07:00:00,2026-03-17 07:00:00,True,B leg breaks ABC origin; C leg does not exceed A extreme; B retracement exceeds configured maximum,,,,,,,,,0.004229999999999956,2.6170212765957515,0.00383,0.9054373522458723,available,bullish,opposed,8
forex_clean_eurusd_h1_impulse_008,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,intermediate,impulse,invalidated_count,bearish,8,13,2026-03-10 20:00:00,2026-03-17 04:00:00,2026-03-17 07:00:00,2026-03-17 07:00:00,True,wave 3 does not exceed wave 1 extreme; wave 4 overlaps wave 1 territory,0.025660000000000016,0.17848791893998542,0.004229999999999956,0.1648480124707698,2.6170212765957515,0.00383,0.14925954793452836,0.9054373522458723,,,,,available,bullish,opposed,8
index_gap_aus200_m30_abc_001,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,abc,ambiguous_count,bearish,1,4,2026-03-09 22:30:00,2026-03-10 17:00:00,2026-03-10 18:30:00,2026-03-10 18:30:00,True,C leg does not exceed A extreme; ABC is too compressed: C leg is small versus A,,,,,,,,,146.29999999999927,0.6971975393028059,62.0,0.4237867395762154,available,bearish,aligned,4
index_gap_aus200_m30_abc_002,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,abc,candidate_abc,bullish,2,5,2026-03-10 07:00:00,2026-03-10 20:00:00,2026-03-10 21:30:00,2026-03-10 21:30:00,True,basic ABC constraints satisfied,,,,,,,,,102.0,0.6078431372549019,104.0,1.0196078431372548,available,bearish,opposed,4
index_gap_aus200_m30_abc_003,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,abc,invalidated_count,bearish,3,6,2026-03-10 12:00:00,2026-03-11 19:00:00,2026-03-11 20:30:00,2026-03-11 20:30:00,True,B leg breaks ABC origin; B retracement exceeds configured maximum,,,,,,,,,62.0,1.6774193548387097,162.70000000000073,2.6241935483871086,available,bullish,opposed,5
index_gap_aus200_m30_impulse_001,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,impulse,invalidated_count,bearish,1,6,2026-03-09 22:30:00,2026-03-11 19:00:00,2026-03-11 20:30:00,2026-03-11 20:30:00,True,wave 3 does not exceed wave 1 extreme; wave 4 overlaps wave 1 territory; wave 3 is shorter than both wave 1 and wave 5,146.29999999999927,0.6971975393028059,62.0,0.4237867395762154,1.6774193548387097,162.70000000000073,1.112098427887912,2.6241935483871086,,,,,available,bullish,opposed,5
