count_id,point_order,point_label,leg_label,example_id,symbol,timeframe,swing_degree,structural_pivot_id,pivot_type,pivot_extreme_time,pivot_detected_at,structural_detected_at,pivot_extreme_price,leg_start_price,leg_end_price,leg_length_abs,ratio_name,ratio_value
forex_clean_eurusd_h1_impulse_004,4,4,wave_4,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,8,high,2026-03-10 20:00:00,2026-03-10 23:00:00,2026-03-10 23:00:00,1.16673,1.16069,1.16673,0.006040000000000045,wave4_retrace_of_wave3,1.5647668393782603
forex_clean_eurusd_h1_impulse_004,5,5,wave_5,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,9,low,2026-03-13 23:00:00,2026-03-16 02:00:00,2026-03-16 02:00:00,1.14107,1.16673,1.14107,0.025660000000000016,wave5_extension_of_wave1,2.2489044697633824
forex_clean_eurusd_h1_impulse_005,0,0,,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,5,low,2026-03-09 04:00:00,2026-03-09 07:00:00,2026-03-09 07:00:00,1.15069,,1.15069,,,
forex_clean_eurusd_h1_impulse_005,1,1,wave_1,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,6,high,2026-03-10 01:00:00,2026-03-10 04:00:00,2026-03-10 04:00:00,1.16455,1.15069,1.16455,0.013859999999999983,,
forex_clean_eurusd_h1_impulse_005,2,2,wave_2,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,7,low,2026-03-10 07:00:00,2026-03-10 10:00:00,2026-03-10 10:00:00,1.16069,1.16455,1.16069,0.0038599999999999746,wave2_retrace_of_wave1,0.27849927849927697
forex_clean_eurusd_h1_impulse_005,3,3,wave_3,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,8,high,2026-03-10 20:00:00,2026-03-10 23:00:00,2026-03-10 23:00:00,1.16673,1.16069,1.16673,0.006040000000000045,wave3_extension_of_wave1,0.43578643578643955
forex_clean_eurusd_h1_impulse_005,4,4,wave_4,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,9,low,2026-03-13 23:00:00,2026-03-16 02:00:00,2026-03-16 02:00:00,1.14107,1.16673,1.14107,0.025660000000000016,wave4_retrace_of_wave3,4.248344370860898
forex_clean_eurusd_h1_impulse_005,5,5,wave_5,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,10,high,2026-03-16 04:00:00,2026-03-16 07:00:00,2026-03-16 07:00:00,1.14565,1.14107,1.14565,0.0045800000000000285,wave5_extension_of_wave1,0.3304473304473329
forex_clean_eurusd_h1_impulse_006,0,0,,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,6,high,2026-03-10 01:00:00,2026-03-10 04:00:00,2026-03-10 04:00:00,1.16455,,1.16455,,,
forex_clean_eurusd_h1_impulse_006,1,1,wave_1,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,7,low,2026-03-10 07:00:00,2026-03-10 10:00:00,2026-03-10 10:00:00,1.16069,1.16455,1.16069,0.0038599999999999746,,
forex_clean_eurusd_h1_impulse_006,2,2,wave_2,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,8,high,2026-03-10 20:00:00,2026-03-10 23:00:00,2026-03-10 23:00:00,1.16673,1.16069,1.16673,0.006040000000000045,wave2_retrace_of_wave1,1.5647668393782603
forex_clean_eurusd_h1_impulse_006,3,3,wave_3,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,9,low,2026-03-13 23:00:00,2026-03-16 02:00:00,2026-03-16 02:00:00,1.14107,1.16673,1.14107,0.025660000000000016,wave3_extension_of_wave1,6.647668393782431
forex_clean_eurusd_h1_impulse_006,4,4,wave_4,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,10,high,2026-03-16 04:00:00,2026-03-16 07:00:00,2026-03-16 07:00:00,1.14565,1.14107,1.14565,0.0045800000000000285,wave4_retrace_of_wave3,0.17848791893998542
forex_clean_eurusd_h1_impulse_006,5,5,wave_5,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,11,low,2026-03-16 10:00:00,2026-03-16 13:00:00,2026-03-16 13:00:00,1.14142,1.14565,1.14142,0.004229999999999956,wave5_extension_of_wave1,1.0958549222797886
forex_clean_eurusd_h1_impulse_007,0,0,,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,7,low,2026-03-10 07:00:00,2026-03-10 10:00:00,2026-03-10 10:00:00,1.16069,,1.16069,,,
forex_clean_eurusd_h1_impulse_007,1,1,wave_1,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,8,high,2026-03-10 20:00:00,2026-03-10 23:00:00,2026-03-10 23:00:00,1.16673,1.16069,1.16673,0.006040000000000045,,
forex_clean_eurusd_h1_impulse_007,2,2,wave_2,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,9,low,2026-03-13 23:00:00,2026-03-16 02:00:00,2026-03-16 02:00:00,1.14107,1.16673,1.14107,0.025660000000000016,wave2_retrace_of_wave1,4.248344370860898
forex_clean_eurusd_h1_impulse_007,3,3,wave_3,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,10,high,2026-03-16 04:00:00,2026-03-16 07:00:00,2026-03-16 07:00:00,1.14565,1.14107,1.14565,0.0045800000000000285,wave3_extension_of_wave1,0.7582781456953632
