shadow_decision_id,setup_id,symbol,market_group,timeframe,setup_type,strategy,direction,setup_status,timing_state,setup_quality_score,automation_scope,min_auto_quality,shadow_state,shadow_reason,hypothetical_entry_time,hypothetical_entry_price,hypothetical_sl,hypothetical_tp1,hypothetical_tp2,would_open_position,would_modify_position,order_sent,can_send_order,source_artifacts,is_shadow_only,is_signal,can_execute_order
5bb1c92e99d96f2d,trading_center_screener_unified_v1|USDSEK.r|M15|rsi_trend_reversal|M15,USDSEK.r,Forex Exotic,M15,rsi_trend_reversal,rsi_trend_reversal,long,ready_for_chart_review,entry_review,4,context_only,4,would_skip_context_only,setup_type_not_in_automatic_bot_scope,,,,,,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv,True,False,False
92aec6f054660918,trading_center_screener_unified_v1|EURO50|H1|fib_limit_live_candidate|H1,EURO50,Index,H1,fib_limit_live_candidate,fib_limit,short,ready_for_chart_review,entry_review,3,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,,,,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
f1bfff623923a390,trading_center_screener_unified_v1|FRA40|H1|fib_limit_live_candidate|H1,FRA40,Index,H1,fib_limit_live_candidate,fib_limit,short,ready_for_chart_review,entry_review,3,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,,,,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
b9d306c599e63d32,trading_center_screener_unified_v1|US30|H1|fib_limit_live_candidate|H1,US30,Index,H1,fib_limit_live_candidate,fib_limit,long,ready_for_chart_review,entry_review,3,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,,,,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
aee4365e95d9717d,trading_center_screener_unified_v1|NZDCAD.r|H1|fib_limit_live_candidate|H1,NZDCAD.r,Forex Majors,H1,fib_limit_live_candidate,fib_limit,short,ready_for_chart_review,entry_review,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,,,,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
258fcbd4ad33f6b7,trading_center_screener_unified_v1|GBPCAD.r|H4|macd_breakout|142,GBPCAD.r,Forex Majors,H4,macd_breakout,macd_breakout,long,context_monitor,watching,3,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,1.85145,1.8818200000000005,1.9022016400000004,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
e5cc525fea25fb31,trading_center_screener_unified_v1|USDCHF.r|H1|macd_breakout|607,USDCHF.r,Forex Majors,H1,macd_breakout,macd_breakout,long,context_monitor,watching,3,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,0.7931,0.80183,0.8075835800000001,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
576e9db6d33097ba,trading_center_screener_unified_v1|HK50|H1|macd_breakout|675,HK50,Index,H1,macd_breakout,macd_breakout,long,context_monitor,watching,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,24464.75,24804.5,25023.7355,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
18b71e08a155fdee,trading_center_screener_unified_v1|XPDUSD|H1|macd_breakout|1736,XPDUSD,Metals,H1,macd_breakout,macd_breakout,short,context_monitor,watching,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,1237.0,1135.07,1068.04172,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
799908a36514ed9d,trading_center_screener_unified_v1|XPDUSD|H4|macd_breakout|1078,XPDUSD,Metals,H4,macd_breakout,macd_breakout,short,context_monitor,watching,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,1237.0,1138.52,1073.62382,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
