Activo,BLOCK_REASON,Rows,Variant,VariantClass
USDCAD.r,RETRACE_BELOW_MIN,486,faithful_operable_sma200_primary,resultado_valido
USDCAD.r,MOMENTUM_CONFIRM_MISSING,403,faithful_operable_sma200_primary,resultado_valido
USDCAD.r,H4_NO_ATTRACTOR,8,faithful_operable_sma200_primary,resultado_valido
USDCAD.r,RR_BELOW_MIN,6,faithful_operable_sma200_primary,resultado_valido
USDCHF.r,H4_BULLISH_FAN_MISSING,21303,faithful_operable_sma200_primary,resultado_valido
USDCHF.r,H4_BEARISH_FAN_MISSING,19585,faithful_operable_sma200_primary,resultado_valido
USDCHF.r,H4_SMA200_BULL_FILTER_MISSING,2946,faithful_operable_sma200_primary,resultado_valido
USDCHF.r,H4_SMA200_BEAR_FILTER_MISSING,1663,faithful_operable_sma200_primary,resultado_valido
USDCHF.r,RETRACE_TOO_DEEP,1206,faithful_operable_sma200_primary,resultado_valido
USDCHF.r,H4_SMA200_UNAVAILABLE,504,faithful_operable_sma200_primary,resultado_valido
USDCHF.r,MOMENTUM_CONFIRM_MISSING,436,faithful_operable_sma200_primary,resultado_valido
USDCHF.r,RETRACE_BELOW_MIN,417,faithful_operable_sma200_primary,resultado_valido
USDCHF.r,RR_BELOW_MIN,11,faithful_operable_sma200_primary,resultado_valido
USDCHF.r,H4_NO_ATTRACTOR,8,faithful_operable_sma200_primary,resultado_valido
USDCHF.r,PRIMARY_TRIGGER_MISSING,1,faithful_operable_sma200_primary,resultado_valido
USDJPY,H4_BULLISH_FAN_MISSING,35155,faithful_operable_sma200_primary,resultado_valido
USDJPY,H4_BEARISH_FAN_MISSING,33706,faithful_operable_sma200_primary,resultado_valido
USDJPY,H4_SMA200_BEAR_FILTER_MISSING,3726,faithful_operable_sma200_primary,resultado_valido
USDJPY,H4_SMA200_BULL_FILTER_MISSING,3438,faithful_operable_sma200_primary,resultado_valido
USDJPY,RETRACE_TOO_DEEP,1999,faithful_operable_sma200_primary,resultado_valido
USDJPY,RETRACE_BELOW_MIN,879,faithful_operable_sma200_primary,resultado_valido
USDJPY,MOMENTUM_CONFIRM_MISSING,667,faithful_operable_sma200_primary,resultado_valido
USDJPY,RR_BELOW_MIN,222,faithful_operable_sma200_primary,resultado_valido
USDJPY,TP_UNAVAILABLE,2,faithful_operable_sma200_primary,resultado_valido
USDJPY,PRIMARY_TRIGGER_MISSING,1,faithful_operable_sma200_primary,resultado_valido
TOTAL,H4_BEARISH_FAN_MISSING,226310,faithful_operable_sma200_primary,resultado_valido
TOTAL,H4_BULLISH_FAN_MISSING,228887,faithful_operable_sma200_primary,resultado_valido
TOTAL,H4_NO_ATTRACTOR,48,faithful_operable_sma200_primary,resultado_valido
TOTAL,H4_SMA200_BEAR_FILTER_MISSING,25132,faithful_operable_sma200_primary,resultado_valido
TOTAL,H4_SMA200_BULL_FILTER_MISSING,25801,faithful_operable_sma200_primary,resultado_valido
TOTAL,H4_SMA200_UNAVAILABLE,2822,faithful_operable_sma200_primary,resultado_valido
TOTAL,MOMENTUM_CONFIRM_MISSING,4744,faithful_operable_sma200_primary,resultado_valido
TOTAL,PRIMARY_TRIGGER_MISSING,4,faithful_operable_sma200_primary,resultado_valido
TOTAL,RETRACE_BELOW_MIN,5162,faithful_operable_sma200_primary,resultado_valido
TOTAL,RETRACE_TOO_DEEP,12629,faithful_operable_sma200_primary,resultado_valido
TOTAL,RR_BELOW_MIN,547,faithful_operable_sma200_primary,resultado_valido
TOTAL,TP_UNAVAILABLE,2,faithful_operable_sma200_primary,resultado_valido
