chart_layer_id,setup_id,symbol,timeframe,layer_type,label,price,start_price,end_price,start_time,end_time,color,style,source,is_operational
trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,previous_high,Maximo dia previo,54626.25,,,2025-11-07 16:00:00,2026-03-17 09:00:00,#7bd88f,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,previous_low,Minimo dia previo,52812.75,,,2025-11-07 16:00:00,2026-03-17 09:00:00,#e36d64,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,round_level_1,Nivel redondo inferior,53600,,,2025-11-07 16:00:00,2026-03-17 09:00:00,#a56cff,solid,ohlc_nearby_round_levels,False
trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,round_level_2,Nivel redondo superior,53700,,,2025-11-07 16:00:00,2026-03-17 09:00:00,#a56cff,solid,ohlc_nearby_round_levels,False
trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,fibonacci_0_0,Fib 0,53614.25,,,2026-03-02 03:00:00,2026-03-17 09:00:00,#d7a84b,solid,fibonacci_context_v1,False
trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,fibonacci_1_0,Fib 100,57907.25,,,2026-03-02 03:00:00,2026-03-17 09:00:00,#d7a84b,solid,fibonacci_context_v1,False
trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,fibonacci_0_236,Fib 23.6,54627.398,,,2026-03-02 03:00:00,2026-03-17 09:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,fibonacci_0_382,Fib 38.2,55254.176,,,2026-03-02 03:00:00,2026-03-17 09:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,fibonacci_0_5,Fib 50,55760.75,,,2026-03-02 03:00:00,2026-03-17 09:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,fibonacci_0_618,Fib 61.8,56267.324,,,2026-03-02 03:00:00,2026-03-17 09:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,fibonacci_0_786,Fib 78.6,56988.548,,,2026-03-02 03:00:00,2026-03-17 09:00:00,#c793ff,dash,fibonacci_context_v1,False
