timeframe,asset_1,asset_2,pair,metric,window,latest_corr,previous_corr,delta_prev,mean_corr,latest_abs,obs,is_read_only,can_execute_order,signals_generated
M15,AUDCAD.r,CHFJPY.r,AUDCAD.r | CHFJPY.r,dcor,96,0.162554,0.284113,-0.121559,0.223333,0.162554,80,True,False,False
M15,AUDCAD.r,CHINA50,AUDCAD.r | CHINA50,pearson,96,0.230467,0.339718,-0.109252,0.285093,0.230467,96,True,False,False
M15,AUDCAD.r,CHINA50,AUDCAD.r | CHINA50,spearman,96,0.349758,0.524375,-0.174617,0.437067,0.349758,96,True,False,False
M15,AUDCAD.r,CHINA50,AUDCAD.r | CHINA50,kendall,96,0.226365,0.369801,-0.143436,0.298083,0.226365,96,True,False,False
M15,AUDCAD.r,CHINA50,AUDCAD.r | CHINA50,dcor,96,0.379729,0.491583,-0.111853,0.435656,0.379729,80,True,False,False
M15,AUDCAD.r,COFFEE,AUDCAD.r | COFFEE,pearson,96,0.133912,-0.033627,0.167539,0.050143,0.133912,96,True,False,False
M15,AUDCAD.r,COFFEE,AUDCAD.r | COFFEE,spearman,96,0.191549,-0.110784,0.302334,0.040382,0.191549,96,True,False,False
M15,AUDCAD.r,COFFEE,AUDCAD.r | COFFEE,kendall,96,0.12807,-0.078298,0.206368,0.024886,0.12807,96,True,False,False
M15,AUDCAD.r,COFFEE,AUDCAD.r | COFFEE,dcor,96,0.285557,0.177027,0.108529,0.231292,0.285557,80,True,False,False
M15,AUDCAD.r,ETHUSD,AUDCAD.r | ETHUSD,pearson,96,0.24875,0.226235,0.022515,0.237493,0.24875,96,True,False,False
M15,AUDCAD.r,ETHUSD,AUDCAD.r | ETHUSD,spearman,96,0.13512,0.311897,-0.176778,0.223509,0.13512,96,True,False,False
M15,AUDCAD.r,ETHUSD,AUDCAD.r | ETHUSD,kendall,96,0.088387,0.224805,-0.136418,0.156596,0.088387,96,True,False,False
M15,AUDCAD.r,ETHUSD,AUDCAD.r | ETHUSD,dcor,96,0.211452,0.39854,-0.187088,0.304996,0.211452,80,True,False,False
M15,AUDCAD.r,EURAUD.r,AUDCAD.r | EURAUD.r,pearson,96,-0.85153,-0.630789,-0.220742,-0.741159,0.85153,96,True,False,False
M15,AUDCAD.r,EURAUD.r,AUDCAD.r | EURAUD.r,spearman,96,-0.691239,-0.714935,0.023695,-0.703087,0.691239,96,True,False,False
M15,AUDCAD.r,EURAUD.r,AUDCAD.r | EURAUD.r,kendall,96,-0.523961,-0.545175,0.021214,-0.534568,0.523961,96,True,False,False
M15,AUDCAD.r,EURAUD.r,AUDCAD.r | EURAUD.r,dcor,96,0.777387,0.714775,0.062612,0.746081,0.777387,80,True,False,False
M15,AUDCAD.r,EURCAD.r,AUDCAD.r | EURCAD.r,pearson,96,0.389253,0.713431,-0.324178,0.551342,0.389253,96,True,False,False
M15,AUDCAD.r,EURCAD.r,AUDCAD.r | EURCAD.r,spearman,96,0.466666,0.575565,-0.108899,0.521115,0.466666,96,True,False,False
M15,AUDCAD.r,EURCAD.r,AUDCAD.r | EURCAD.r,kendall,96,0.341046,0.428336,-0.08729,0.384691,0.341046,96,True,False,False
M15,AUDCAD.r,EURCAD.r,AUDCAD.r | EURCAD.r,dcor,96,0.454022,0.616229,-0.162206,0.535126,0.454022,80,True,False,False
M15,AUDCAD.r,EURCHF.r,AUDCAD.r | EURCHF.r,pearson,96,0.34385,-0.028837,0.372687,0.157506,0.34385,96,True,False,False
M15,AUDCAD.r,EURCHF.r,AUDCAD.r | EURCHF.r,spearman,96,0.355044,-0.011476,0.36652,0.171784,0.355044,96,True,False,False
M15,AUDCAD.r,EURCHF.r,AUDCAD.r | EURCHF.r,kendall,96,0.241001,-0.005706,0.246706,0.117648,0.241001,96,True,False,False
M15,AUDCAD.r,EURCHF.r,AUDCAD.r | EURCHF.r,dcor,96,0.346244,0.261016,0.085229,0.30363,0.346244,80,True,False,False
M15,AUDCAD.r,EURGBP.r,AUDCAD.r | EURGBP.r,pearson,96,-0.002253,0.066835,-0.069088,0.032291,0.002253,96,True,False,False
M15,AUDCAD.r,EURGBP.r,AUDCAD.r | EURGBP.r,spearman,96,-0.024926,0.027279,-0.052205,0.001176,0.024926,96,True,False,False
M15,AUDCAD.r,EURGBP.r,AUDCAD.r | EURGBP.r,kendall,96,-0.015586,0.017982,-0.033568,0.001198,0.015586,96,True,False,False
M15,AUDCAD.r,EURGBP.r,AUDCAD.r | EURGBP.r,dcor,96,0.171142,0.204773,-0.033631,0.187958,0.171142,80,True,False,False
M15,AUDCAD.r,EURJPY.r,AUDCAD.r | EURJPY.r,pearson,96,0.317859,0.241002,0.076857,0.279431,0.317859,96,True,False,False
M15,AUDCAD.r,EURJPY.r,AUDCAD.r | EURJPY.r,spearman,96,0.291964,0.256498,0.035466,0.274231,0.291964,96,True,False,False
M15,AUDCAD.r,EURJPY.r,AUDCAD.r | EURJPY.r,kendall,96,0.20068,0.174561,0.026118,0.187621,0.20068,96,True,False,False
M15,AUDCAD.r,EURJPY.r,AUDCAD.r | EURJPY.r,dcor,96,0.317441,0.247047,0.070394,0.282244,0.317441,80,True,False,False
M15,AUDCAD.r,EURNZD.r,AUDCAD.r | EURNZD.r,pearson,96,-0.376569,-0.383626,0.007057,-0.380097,0.376569,96,True,False,False
M15,AUDCAD.r,EURNZD.r,AUDCAD.r | EURNZD.r,spearman,96,-0.430597,-0.403359,-0.027238,-0.416978,0.430597,96,True,False,False
M15,AUDCAD.r,EURNZD.r,AUDCAD.r | EURNZD.r,kendall,96,-0.296304,-0.299814,0.003509,-0.298059,0.296304,96,True,False,False
M15,AUDCAD.r,EURNZD.r,AUDCAD.r | EURNZD.r,dcor,96,0.480443,0.493315,-0.012872,0.486879,0.480443,80,True,False,False
M15,AUDCAD.r,EURO50,AUDCAD.r | EURO50,pearson,96,0.510442,0.532948,-0.022506,0.521695,0.510442,96,True,False,False
M15,AUDCAD.r,EURO50,AUDCAD.r | EURO50,spearman,96,0.601841,0.568674,0.033167,0.585258,0.601841,96,True,False,False
M15,AUDCAD.r,EURO50,AUDCAD.r | EURO50,kendall,96,0.4197,0.39807,0.02163,0.408885,0.4197,96,True,False,False
