phase,candidate_id,source_id,example_id,symbol,timeframe,swing_degree,diagnostic_status,suggested_initial_label,reason,point_count,labels,orders,pivot_extreme_time_strictly_increasing,structural_detected_at_non_decreasing,first_pivot_extreme_time,last_pivot_extreme_time,last_structural_detected_at,plot_ready,change_type
phase2_3_h1_fixed,abc_metals_xagusd_h1_intermediate_abc_003,metals_xagusd_h1_intermediate_abc_003,metals_xagusd_h1,XAGUSD.r,H1,intermediate,candidate_abc,ambiguous_but_interesting,basic ABC constraints satisfied,4,0|A|B|C,0|1|2|3,True,True,2026-03-02 01:00:00,2026-03-03 13:00:00,2026-03-03 16:00:00,True,abc_label_downgraded_from_visually_good_to_manual_review
phase2_3_h1_fixed,abc_index_aus200_h1_intermediate_abc_004,index_aus200_h1_intermediate_abc_004,index_aus200_h1,AUS200,H1,intermediate,candidate_abc,ambiguous_but_interesting,basic ABC constraints satisfied,4,0|A|B|C,0|1|2|3,True,True,2026-02-27 11:00:00,2026-03-03 17:00:00,2026-03-03 20:00:00,True,abc_label_downgraded_from_visually_good_to_manual_review
phase2_3_h1_fixed,abc_forex_audjpy_h1_intermediate_abc_011,forex_audjpy_h1_intermediate_abc_011,forex_audjpy_h1,AUDJPY.r,H1,intermediate,candidate_abc,ambiguous_but_interesting,basic ABC constraints satisfied,4,0|A|B|C,0|1|2|3,True,True,2026-03-09 02:00:00,2026-03-11 18:00:00,2026-03-11 21:00:00,True,abc_label_downgraded_from_visually_good_to_manual_review
phase2_3_h1_fixed,abc_forex_audjpy_h1_minor_abc_007,forex_audjpy_h1_minor_abc_007,forex_audjpy_h1,AUDJPY.r,H1,minor,candidate_abc,ambiguous_but_interesting,basic ABC constraints satisfied,4,0|A|B|C,0|1|2|3,True,True,2026-03-03 17:00:00,2026-03-04 22:00:00,2026-03-05 01:00:00,True,abc_label_downgraded_from_visually_good_to_manual_review
phase2_3_h1_fixed,abc_metals_xagusd_h1_minor_abc_002,metals_xagusd_h1_minor_abc_002,metals_xagusd_h1,XAGUSD.r,H1,minor,candidate_abc,ambiguous_but_interesting,basic ABC constraints satisfied,4,0|A|B|C,0|1|2|3,True,True,2026-02-26 01:00:00,2026-03-02 01:00:00,2026-03-02 04:00:00,True,abc_label_downgraded_from_visually_good_to_manual_review
phase2_3_h1_fixed,abc_index_aus200_h1_minor_abc_006,index_aus200_h1_minor_abc_006,index_aus200_h1,AUS200,H1,minor,candidate_abc,ambiguous_but_interesting,basic ABC constraints satisfied,4,0|A|B|C,0|1|2|3,True,True,2026-03-02 07:00:00,2026-03-03 17:00:00,2026-03-03 20:00:00,True,abc_label_downgraded_from_visually_good_to_manual_review
phase2_3_h1_fixed,abc_forex_audjpy_h1_minor_abc_013,forex_audjpy_h1_minor_abc_013,forex_audjpy_h1,AUDJPY.r,H1,minor,candidate_abc,ambiguous_but_interesting,basic ABC constraints satisfied,4,0|A|B|C,0|1|2|3,True,True,2026-03-06 16:00:00,2026-03-09 22:00:00,2026-03-10 01:00:00,True,abc_label_downgraded_from_visually_good_to_manual_review
phase2_3_h1_fixed,abc_forex_audjpy_h1_major_abc_007,forex_audjpy_h1_major_abc_007,forex_audjpy_h1,AUDJPY.r,H1,major,candidate_abc,ambiguous_but_interesting,basic ABC constraints satisfied,4,0|A|B|C,0|1|2|3,True,True,2026-03-05 19:00:00,2026-03-11 18:00:00,2026-03-11 21:00:00,True,abc_label_downgraded_from_visually_good_to_manual_review
phase2_3_h1_fixed,abc_metals_xagusd_h1_major_abc_006,metals_xagusd_h1_major_abc_006,metals_xagusd_h1,XAGUSD.r,H1,major,candidate_abc,ambiguous_but_interesting,basic ABC constraints satisfied,4,0|A|B|C,0|1|2|3,True,True,2026-03-06 01:00:00,2026-03-10 05:00:00,2026-03-10 08:00:00,True,abc_label_downgraded_from_visually_good_to_manual_review
phase2_3_h1_fixed,abc_index_aus200_h1_major_abc_002,index_aus200_h1_major_abc_002,index_aus200_h1,AUS200,H1,major,candidate_abc,ambiguous_but_interesting,basic ABC constraints satisfied,4,0|A|B|C,0|1|2|3,True,True,2026-02-27 11:00:00,2026-03-03 17:00:00,2026-03-03 20:00:00,True,abc_label_downgraded_from_visually_good_to_manual_review
phase2_3_h1_fixed,abc_forex_eurusd_h1_major_abc_002,forex_eurusd_h1_major_abc_002,forex_eurusd_h1,EURUSD.r,H1,major,candidate_abc,ambiguous_but_interesting,basic ABC constraints satisfied,4,0|A|B|C,0|1|2|3,True,True,2026-03-04 13:00:00,2026-03-09 04:00:00,2026-03-09 07:00:00,True,abc_label_downgraded_from_visually_good_to_manual_review
