Group,strategy,symbol,timeframe_ltf,timeframe_htf,timestamp,latest_closed_bar,direction,side,setup_id,setup_active,setup_age,raw_condition_ready,fresh_signal,already_seen,entry_ready,signal_state,reason,event_key,entry,sl,tp1,tp2,risk_pct,risk_amount,w2_swing,target_1_0,target_1_618,riskguard_accepted,riskguard_reason,riskguard_detail,riskguard_message
Index,enbolsa:macd_breakout,US500,H1,H4,2026-06-08 14:00:00,True,-1,SELL,716,True,11,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,7222.500000000001,7076.157600000001,False,,,
Forex Majors,enbolsa:macd_breakout,AUDCAD.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,559,True,94,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,0.97875,0.9842500000000001,0.98858836,False,,,
Forex Majors,enbolsa:macd_breakout,AUDCAD.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,560,True,11,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,0.96979,0.95982166,False,,,
Forex Majors,enbolsa:macd_breakout,AUDJPY.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,638,True,75,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,112.539,113.129,113.667896,False,,,
Forex Majors,enbolsa:macd_breakout,AUDJPY.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,637,True,11,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,110.87400000000001,109.43467800000002,False,,,
Forex Majors,enbolsa:macd_breakout,AUDNZD.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,297,True,201,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,1.19875,1.21176,1.22080752,False,,,
Forex Majors,enbolsa:macd_breakout,AUDNZD.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,299,True,129,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,1.18722,1.16903844,False,,,
Forex Majors,enbolsa:macd_breakout,AUDUSD.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,641,True,77,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,0.7025,0.7053499999999999,0.7082978599999998,False,,,
Forex Majors,enbolsa:macd_breakout,AUDUSD.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,640,True,11,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,0.6918300000000001,0.6819481800000001,False,,,
Forex Majors,enbolsa:macd_breakout,CADCHF.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,563,True,51,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,0.56653,0.56958,0.57158232,False,,,
Forex Majors,enbolsa:macd_breakout,CADCHF.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,562,True,23,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,0.5686699999999999,0.5663710399999998,False,,,
Forex Majors,enbolsa:macd_breakout,CADJPY.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,597,True,75,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,115.28999999999999,115.72877999999999,False,,,
Forex Majors,enbolsa:macd_breakout,CADJPY.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,595,True,213,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,115.657,114.882,114.39439800000001,False,,,
Forex Majors,enbolsa:macd_breakout,CHFJPY.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,574,True,23,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,201.526,202.265746,False,,,
Forex Majors,enbolsa:macd_breakout,CHFJPY.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,572,True,49,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,203.034,201.43099999999998,200.381636,False,,,
Forex Majors,enbolsa:macd_breakout,EURAUD.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,1814,True,110,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,1.61902,1.6241299999999999,1.6280481199999999,False,,,
Forex Majors,enbolsa:macd_breakout,EURAUD.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,1813,True,70,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,1.6299899999999998,1.6252066799999998,False,,,
Forex Majors,enbolsa:macd_breakout,EURCAD.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,460,True,38,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,1.61042,1.6182809599999999,False,,,
