label,status,elapsed_seconds,error,rows_returned
gap_examples_session_HK50_D1,ok,0.0536,,3
pair_summary_ITA40_M15,ok,1.524,,1
gap_stats_ITA40_M15,ok,0.9767,,1
gap_examples_short_ITA40_M15,ok,1.2359,,3
gap_examples_session_ITA40_M15,ok,1.0255,,3
pair_summary_ITA40_M30,ok,0.7889,,1
gap_stats_ITA40_M30,ok,0.4433,,1
gap_examples_short_ITA40_M30,ok,0.5443,,3
gap_examples_session_ITA40_M30,ok,0.5647,,3
pair_summary_ITA40_H1,ok,0.5092,,1
gap_stats_ITA40_H1,ok,0.2819,,1
gap_examples_short_ITA40_H1,ok,0.34,,3
gap_examples_session_ITA40_H1,ok,0.3251,,3
pair_summary_ITA40_H4,ok,0.1403,,1
gap_stats_ITA40_H4,ok,0.0741,,1
gap_examples_short_ITA40_H4,ok,0.0662,,3
gap_examples_session_ITA40_H4,ok,0.0741,,3
pair_summary_ITA40_D1,ok,0.0441,,1
gap_stats_ITA40_D1,ok,0.0213,,1
gap_examples_short_ITA40_D1,ok,0.0243,,0
gap_examples_session_ITA40_D1,ok,0.0397,,3
pair_summary_JP225_M15,ok,4.1743,,1
gap_stats_JP225_M15,ok,2.5179,,1
gap_examples_short_JP225_M15,ok,2.8148,,3
gap_examples_session_JP225_M15,ok,2.6118,,3
pair_summary_JP225_M30,ok,2.9368,,1
gap_stats_JP225_M30,ok,1.6428,,1
gap_examples_short_JP225_M30,ok,1.9644,,3
gap_examples_session_JP225_M30,ok,1.9888,,3
pair_summary_JP225_H1,ok,1.4002,,1
gap_stats_JP225_H1,ok,0.949,,1
gap_examples_short_JP225_H1,ok,1.0393,,3
gap_examples_session_JP225_H1,ok,0.9545,,3
pair_summary_JP225_H4,ok,0.4477,,1
gap_stats_JP225_H4,ok,0.2723,,1
gap_examples_short_JP225_H4,ok,0.3052,,3
gap_examples_session_JP225_H4,ok,0.2574,,3
pair_summary_JP225_D1,ok,0.0593,,1
gap_stats_JP225_D1,ok,0.0373,,1
gap_examples_short_JP225_D1,ok,0.038,,0
gap_examples_session_JP225_D1,ok,0.0425,,3
pair_summary_SPA35_M15,ok,2.3272,,1
gap_stats_SPA35_M15,ok,1.5706,,1
gap_examples_short_SPA35_M15,ok,1.3335,,3
gap_examples_session_SPA35_M15,ok,1.2909,,3
pair_summary_SPA35_M30,ok,1.3298,,1
gap_stats_SPA35_M30,ok,0.9353,,1
gap_examples_short_SPA35_M30,ok,0.6986,,3
gap_examples_session_SPA35_M30,ok,0.6868,,3
pair_summary_SPA35_H1,ok,0.583,,1
gap_stats_SPA35_H1,ok,0.3663,,1
gap_examples_short_SPA35_H1,ok,0.4168,,3
gap_examples_session_SPA35_H1,ok,0.3895,,3
