symbol,group,group_normalized,timeframe,expected_minutes,summary_status,summary_error,duplicate_check_mode,duplicate_count,rows_count,first_time,last_time,minutes_since_last,latest_closed_like,stale_for_live,null_ohlc,null_tick_volume,null_spread,null_real_volume,nonpositive_ohlc,bad_ohlc,nan_like_ohlc,negative_volume_spread,misaligned_time,gap_status,gap_error,gap_count,short_gap_count,session_gap_count,max_gap_minutes
HK50,Index,Index,M15,15,ok,,unique_index,0,102633,2021-06-08 16:15:00,2026-03-17 10:00:00,87944.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1399,1148,251,9780
HK50,Index,Index,M30,30,ok,,unique_index,0,61741,2020-02-28 03:00:00,2026-03-17 09:30:00,87974.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,2338,2020,318,9780
HK50,Index,Index,H1,60,ok,,unique_index,0,31100,2020-02-28 03:00:00,2026-03-17 09:00:00,88004.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1917,1599,318,9780
HK50,Index,Index,H4,240,ok,,unique_index,0,8494,2020-02-28 00:00:00,2026-03-17 04:00:00,88304.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,603,285,318,9840
HK50,Index,Index,D1,1440,ok,,unique_index,0,1494,2020-02-28 00:00:00,2026-03-16 00:00:00,89984.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,339,0,339,10080
ITA40,Index,Index,M15,15,ok,,unique_index,0,37784,2022-10-07 19:30:00,2026-03-16 22:00:00,88664.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,885,702,183,8025
ITA40,Index,Index,M30,30,ok,,unique_index,0,18905,2022-10-07 19:30:00,2026-03-16 21:30:00,88694.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,876,693,183,8040
ITA40,Index,Index,H1,60,ok,,unique_index,0,9888,2022-10-07 19:00:00,2026-03-16 21:00:00,88724.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,873,690,183,8040
ITA40,Index,Index,H4,240,ok,,unique_index,0,3279,2022-10-07 16:00:00,2026-03-16 16:00:00,89024.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,873,690,183,7920
ITA40,Index,Index,D1,1440,ok,,unique_index,0,873,2022-10-07 00:00:00,2026-03-13 00:00:00,94304.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,185,0,185,8640
JP225,Index,Index,M15,15,ok,,unique_index,0,103149,2021-10-27 05:45:00,2026-03-17 10:00:00,87944.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1146,917,229,7275
JP225,Index,Index,M30,30,ok,,unique_index,0,71253,2020-02-28 01:00:00,2026-03-17 09:30:00,87974.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1569,1253,316,7290
JP225,Index,Index,H1,60,ok,,unique_index,0,35642,2020-02-28 01:00:00,2026-03-17 09:00:00,88004.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1562,1246,316,7320
