example_id,group,symbol,timeframe,timestamp,open,high,low,close,ema_50,ema_150,ema_alignment,trend_state,transition_state,price_vs_ema_band,ema50_slope,ema150_slope,ema50_slope_pct,ema150_slope_pct,ema_separation_pct,ema_band_width_pct,ema_band_state,ewo_5_35,ewo_5_35_slope,ewo_5_35_direction,ewo_5_35_expanding,possible_momentum_confirmation,possible_momentum_loss,htf_ema_alignment,htf_trend_state,htf_transition_state,htf_price_vs_ema_band,htf_ema50_slope_pct,htf_ema150_slope_pct,htf_ema_separation_pct,htf_ema_band_width_pct,htf_ema_band_state,htf_ewo_5_35,htf_ewo_5_35_slope,htf_ewo_5_35_direction,htf_ewo_5_35_expanding,htf_possible_momentum_confirmation,htf_possible_momentum_loss,htf_context_source_time,htf_timeframe,htf_lookahead_safe
forex_eurusd_h4,Forex Majors,EURUSD.r,H4,2025-12-05 08:00:00,1.16591,1.16717,1.16483,1.16544,1.16544,1.16544,mixed_or_unclear,mixed_or_unclear,no_transition,inside_band,,,,,0.0,0.0,flat_or_unclear,,,flat_or_unknown,False,False,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.0004150440919099604,0.00039932127918664815,0.006547557689131354,0.006547557689131354,flat_or_unclear,0.0036234285714284997,0.0038557142857142956,positive,True,True,False,2025-12-04,D1,True
forex_eurusd_h4,Forex Majors,EURUSD.r,H4,2025-12-05 12:00:00,1.16546,1.16568,1.16416,1.16516,1.1654290196078432,1.1654362913907286,mixed_or_unclear,mixed_or_unclear,no_transition,below_band,,,,,-6.241016586047012e-06,6.241016586047012e-06,flat_or_unclear,,,flat_or_unknown,False,False,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.0004150440919099604,0.00039932127918664815,0.006547557689131354,0.006547557689131354,flat_or_unclear,0.0036234285714284997,0.0038557142857142956,positive,True,True,False,2025-12-04,D1,True
forex_eurusd_h4,Forex Majors,EURUSD.r,H4,2025-12-05 16:00:00,1.16517,1.16601,1.16281,1.16442,1.1653894502114572,1.1654228305776064,mixed_or_unclear,mixed_or_unclear,no_transition,below_band,,,,,-2.8666946762503065e-05,2.8666946762503065e-05,flat_or_unclear,,,flat_or_unknown,False,False,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.0004150440919099604,0.00039932127918664815,0.006547557689131354,0.006547557689131354,flat_or_unclear,0.0036234285714284997,0.0038557142857142956,positive,True,True,False,2025-12-04,D1,True
forex_eurusd_h4,Forex Majors,EURUSD.r,H4,2025-12-05 20:00:00,1.16441,1.16486,1.16398,1.16421,1.1653431972619883,1.165406766596446,bearish_alignment,bearish_alignment,no_transition,below_band,-9.680273801171424e-05,-3.3233403553989405e-05,-8.314886318766738e-05,-2.8545883950480933e-05,-5.460297923718645e-05,5.460297923718645e-05,expanding,,,flat_or_unknown,False,False,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.0004150440919099604,0.00039932127918664815,0.006547557689131354,0.006547557689131354,flat_or_unclear,0.0036234285714284997,0.0038557142857142956,positive,True,True,False,2025-12-04,D1,True
forex_eurusd_h4,Forex Majors,EURUSD.r,H4,2025-12-08 00:00:00,1.16338,1.16532,1.16328,1.16517,1.1653364052124986,1.1654036306150362,bearish_alignment,bearish_alignment,no_transition,below_band,-9.261439534458127e-05,-3.266077569241688e-05,-7.948573628275811e-05,-2.8030910246931243e-05,-5.769578905873214e-05,5.769578905873214e-05,expanding,,,flat_or_unknown,False,False,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.0004729454077939649,0.0004191323832799564,0.006539376139520109,0.006539376139520109,flat_or_unclear,0.0051191428571431,0.004241142857143165,positive,True,True,False,2025-12-05,D1,True
forex_eurusd_h4,Forex Majors,EURUSD.r,H4,2025-12-08 04:00:00,1.16521,1.16563,1.16487,1.16561,1.1653471344198516,1.1654063639843735,bearish_alignment,bearish_alignment,no_transition,above_band,-4.231579160562937e-05,-1.6466593232955518e-05,-3.6303559171274585e-05,-1.412701781295246e-05,-5.081422132777487e-05,5.081422132777487e-05,flat_or_unclear,,,flat_or_unknown,False,False,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.0004729454077939649,0.0004191323832799564,0.006539376139520109,0.006539376139520109,flat_or_unclear,0.0051191428571431,0.004241142857143165,positive,True,True,False,2025-12-05,D1,True
forex_eurusd_h4,Forex Majors,EURUSD.r,H4,2025-12-08 08:00:00,1.1656,1.16719,1.16479,1.16487,1.165328423266132,1.1653992598256402,bearish_alignment,bearish_alignment,no_transition,below_band,-1.4773995856254274e-05,-7.506770805854046e-06,-1.2682956773077059e-05,-6.444299197210028e-06,-6.0810699484169956e-05,6.0810699484169956e-05,flat_or_unclear,,,flat_or_unknown,False,False,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.0004729454077939649,0.0004191323832799564,0.006539376139520109,0.006539376139520109,flat_or_unclear,0.0051191428571431,0.004241142857143165,positive,True,True,False,2025-12-05,D1,True
forex_eurusd_h4,Forex Majors,EURUSD.r,H4,2025-12-08 12:00:00,1.16486,1.16573,1.1645699999999999,1.1648399999999999,1.1653092694125582,1.1653918524107312,bearish_alignment,bearish_alignment,no_transition,below_band,-2.713579994040316e-05,-1.1778204304979667e-05,-2.3295731551460427e-05,-1.0111435308694471e-05,-7.089643055955018e-05,7.089643055955018e-05,flat_or_unclear,,,flat_or_unknown,False,False,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.0004729454077939649,0.0004191323832799564,0.006539376139520109,0.006539376139520109,flat_or_unclear,0.0051191428571431,0.004241142857143165,positive,True,True,False,2025-12-05,D1,True
forex_eurusd_h4,Forex Majors,EURUSD.r,H4,2025-12-08 16:00:00,1.1649,1.16548,1.16164,1.1639,1.1652540039453991,1.165372092776152,bearish_alignment,bearish_alignment,no_transition,below_band,-9.313047445247413e-05,-3.427120822152574e-05,-8.001587288639413e-05,-2.944514839893955e-05,-0.0001014596019871261,0.0001014596019871261,expanding,,,flat_or_unknown,False,False,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.0004729454077939649,0.0004191323832799564,0.006539376139520109,0.006539376139520109,flat_or_unclear,0.0051191428571431,0.004241142857143165,positive,True,True,False,2025-12-05,D1,True
forex_eurusd_h4,Forex Majors,EURUSD.r,H4,2025-12-08 20:00:00,1.16392,1.16418,1.16343,1.16368,1.1651922783004816,1.1653496809513022,bearish_alignment,bearish_alignment,no_transition,below_band,-0.0001361449656505087,-4.957887433798547e-05,-0.00011699519253618581,-4.2605247437427355e-05,-0.00013526283069284365,0.00013526283069284365,expanding,,,flat_or_unknown,False,False,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.0004729454077939649,0.0004191323832799564,0.006539376139520109,0.006539376139520109,flat_or_unclear,0.0051191428571431,0.004241142857143165,positive,True,True,False,2025-12-05,D1,True
forex_eurusd_h4,Forex Majors,EURUSD.r,H4,2025-12-09 00:00:00,1.16338,1.16475,1.16319,1.16472,1.1651737575828156,1.1653413408062518,bearish_alignment,bearish_alignment,no_transition,below_band,-0.00013551182974258502,-5.0511604479330785e-05,-0.00011634713041983054,-4.336802362742186e-05,-0.00014388284174414508,0.00014388284174414508,expanding,,,flat_or_unknown,False,False,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.0003403634461730134,0.0003751842674417849,0.00651824761339322,0.00651824761339322,flat_or_unclear,0.005641571428571579,0.003362714285714441,positive,True,True,False,2025-12-08,D1,True
