candidate_id,review_category,source_table,source_id,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,start_pivot_id,end_pivot_id,start_time,end_time,failure_reasons,suggested_initial_label,review_options,chart_path,candidate_order
impulse_index_hk50_m30_major_impulse_003,impulse,impulse_diagnostics,index_hk50_m30_major_impulse_003,index_hk50_m30,Index,HK50,M30,major,bearish,strict_candidate_impulse,full_impulse_12345,3.0,8.0,2026-03-10 20:00:00,2026-03-13 03:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\012_impulse_index_hk50_m30_major_impulse_003.png,12
partial_123_forex_audjpy_h1_intermediate_partial123_009,partial_123,partial_impulses,forex_audjpy_h1_intermediate_partial123_009,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,bullish,partial_123_candidate,partial_impulse_123,9.0,12.0,2026-03-06 16:00:00,2026-03-09 22:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\013_partial_123_forex_audjpy_h1_intermediate_partial123_009.png,13
partial_123_metals_xagusd_h1_intermediate_partial123_003,partial_123,partial_impulses,metals_xagusd_h1_intermediate_partial123_003,metals_xagusd_h1,Metals,XAGUSD.r,H1,intermediate,bearish,partial_123_candidate,partial_impulse_123,3.0,6.0,2026-03-02 01:00:00,2026-03-03 13:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\014_partial_123_metals_xagusd_h1_intermediate_partial123_003.png,14
partial_123_index_aus200_h1_intermediate_partial123_001,partial_123,partial_impulses,index_aus200_h1_intermediate_partial123_001,index_aus200_h1,Index,AUS200,H1,intermediate,bullish,partial_123_candidate,partial_impulse_123,1.0,4.0,2026-02-25 02:00:00,2026-02-27 11:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\015_partial_123_index_aus200_h1_intermediate_partial123_001.png,15
partial_123_forex_audjpy_h1_intermediate_partial123_011,partial_123,partial_impulses,forex_audjpy_h1_intermediate_partial123_011,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,bullish,partial_123_candidate,partial_impulse_123,11.0,14.0,2026-03-09 02:00:00,2026-03-11 18:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\016_partial_123_forex_audjpy_h1_intermediate_partial123_011.png,16
partial_123_forex_audjpy_h1_minor_partial123_007,partial_123,partial_impulses,forex_audjpy_h1_minor_partial123_007,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bullish,partial_123_candidate,partial_impulse_123,7.0,10.0,2026-03-03 17:00:00,2026-03-04 22:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\017_partial_123_forex_audjpy_h1_minor_partial123_007.png,17
partial_123_metals_xagusd_h1_minor_partial123_002,partial_123,partial_impulses,metals_xagusd_h1_minor_partial123_002,metals_xagusd_h1,Metals,XAGUSD.r,H1,minor,bullish,partial_123_candidate,partial_impulse_123,2.0,5.0,2026-02-26 01:00:00,2026-03-02 01:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\018_partial_123_metals_xagusd_h1_minor_partial123_002.png,18
partial_123_index_aus200_h1_minor_partial123_001,partial_123,partial_impulses,index_aus200_h1_minor_partial123_001,index_aus200_h1,Index,AUS200,H1,minor,bullish,partial_123_candidate,partial_impulse_123,1.0,4.0,2026-02-25 02:00:00,2026-02-27 11:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\019_partial_123_index_aus200_h1_minor_partial123_001.png,19
partial_123_forex_audjpy_h1_minor_partial123_013,partial_123,partial_impulses,forex_audjpy_h1_minor_partial123_013,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bullish,partial_123_candidate,partial_impulse_123,13.0,16.0,2026-03-06 16:00:00,2026-03-09 22:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\020_partial_123_forex_audjpy_h1_minor_partial123_013.png,20
partial_123_forex_audjpy_h1_major_partial123_007,partial_123,partial_impulses,forex_audjpy_h1_major_partial123_007,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,major,bullish,partial_123_candidate,partial_impulse_123,7.0,10.0,2026-03-05 19:00:00,2026-03-11 18:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\021_partial_123_forex_audjpy_h1_major_partial123_007.png,21
partial_123_metals_xagusd_h1_major_partial123_006,partial_123,partial_impulses,metals_xagusd_h1_major_partial123_006,metals_xagusd_h1,Metals,XAGUSD.r,H1,major,bullish,partial_123_candidate,partial_impulse_123,6.0,9.0,2026-03-06 01:00:00,2026-03-10 05:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\022_partial_123_metals_xagusd_h1_major_partial123_006.png,22
partial_123_index_aus200_h1_major_partial123_002,partial_123,partial_impulses,index_aus200_h1_major_partial123_002,index_aus200_h1,Index,AUS200,H1,major,bearish,partial_123_candidate,partial_impulse_123,2.0,5.0,2026-02-27 11:00:00,2026-03-03 17:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\023_partial_123_index_aus200_h1_major_partial123_002.png,23
partial_123_forex_eurusd_h1_major_partial123_002,partial_123,partial_impulses,forex_eurusd_h1_major_partial123_002,forex_eurusd_h1,Forex Majors,EURUSD.r,H1,major,bearish,partial_123_candidate,partial_impulse_123,2.0,5.0,2026-03-04 13:00:00,2026-03-09 04:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\024_partial_123_forex_eurusd_h1_major_partial123_002.png,24
abc_forex_audjpy_h1_abc_009,abc,candidate_counts,forex_audjpy_h1_abc_009,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,bullish,candidate_abc,abc,9.0,12.0,2026-03-06 16:00:00,2026-03-09 22:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\025_abc_forex_audjpy_h1_abc_009.png,25
abc_metals_xagusd_h1_abc_003,abc,candidate_counts,metals_xagusd_h1_abc_003,metals_xagusd_h1,Metals,XAGUSD.r,H1,intermediate,bearish,candidate_abc,abc,3.0,6.0,2026-03-02 01:00:00,2026-03-03 13:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\026_abc_metals_xagusd_h1_abc_003.png,26
abc_index_aus200_h1_abc_004,abc,candidate_counts,index_aus200_h1_abc_004,index_aus200_h1,Index,AUS200,H1,intermediate,bearish,candidate_abc,abc,4.0,7.0,2026-02-27 11:00:00,2026-03-03 17:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\027_abc_index_aus200_h1_abc_004.png,27
abc_forex_audjpy_h1_abc_011,abc,candidate_counts,forex_audjpy_h1_abc_011,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,bullish,candidate_abc,abc,11.0,14.0,2026-03-09 02:00:00,2026-03-11 18:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\028_abc_forex_audjpy_h1_abc_011.png,28
abc_forex_audjpy_h1_abc_007,abc,candidate_counts,forex_audjpy_h1_abc_007,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bullish,candidate_abc,abc,7.0,10.0,2026-03-03 17:00:00,2026-03-04 22:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\029_abc_forex_audjpy_h1_abc_007.png,29
abc_metals_xagusd_h1_abc_002,abc,candidate_counts,metals_xagusd_h1_abc_002,metals_xagusd_h1,Metals,XAGUSD.r,H1,minor,bullish,candidate_abc,abc,2.0,5.0,2026-02-26 01:00:00,2026-03-02 01:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\030_abc_metals_xagusd_h1_abc_002.png,30
abc_index_aus200_h1_abc_006,abc,candidate_counts,index_aus200_h1_abc_006,index_aus200_h1,Index,AUS200,H1,minor,bearish,candidate_abc,abc,6.0,9.0,2026-03-02 07:00:00,2026-03-03 17:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\031_abc_index_aus200_h1_abc_006.png,31
abc_forex_audjpy_h1_abc_013,abc,candidate_counts,forex_audjpy_h1_abc_013,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bullish,candidate_abc,abc,13.0,16.0,2026-03-06 16:00:00,2026-03-09 22:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\032_abc_forex_audjpy_h1_abc_013.png,32
abc_metals_xagusd_h1_abc_006,abc,candidate_counts,metals_xagusd_h1_abc_006,metals_xagusd_h1,Metals,XAGUSD.r,H1,major,bullish,candidate_abc,abc,6.0,9.0,2026-03-06 01:00:00,2026-03-10 05:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\033_abc_metals_xagusd_h1_abc_006.png,33
abc_index_aus200_h1_abc_002,abc,candidate_counts,index_aus200_h1_abc_002,index_aus200_h1,Index,AUS200,H1,major,bearish,candidate_abc,abc,2.0,5.0,2026-02-27 11:00:00,2026-03-03 17:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\034_abc_index_aus200_h1_abc_002.png,34
abc_forex_eurusd_h1_abc_002,abc,candidate_counts,forex_eurusd_h1_abc_002,forex_eurusd_h1,Forex Majors,EURUSD.r,H1,major,bearish,candidate_abc,abc,2.0,5.0,2026-03-04 13:00:00,2026-03-09 04:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\035_abc_forex_eurusd_h1_abc_002.png,35
