chart_layer_id,setup_id,symbol,timeframe,layer_type,label,price,start_price,end_price,start_time,end_time,color,style,source,is_operational
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,macd_breakout_level,Ruptura estudio,0.9828750000000002,0.9828750000000002,0.9828750000000002,2026-06-08 03:00:00,2026-06-08 12:08:22.499286+00:00,#ffd166,dash,breakout_level,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,macd_sl_study,SL estudio,0.99488,0.99488,0.99488,2026-06-08 03:00:00,2026-06-08 12:08:22.499286+00:00,#ff6b6b,dot,sl_study,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,macd_tp1_study,TP1 estudio,0.96979,0.96979,0.96979,2026-06-08 03:00:00,2026-06-08 12:08:22.499286+00:00,#75d7ff,dot,tp1_study,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,macd_tp2_study,TP2 estudio,0.95982166,0.95982166,0.95982166,2026-06-08 03:00:00,2026-06-08 12:08:22.499286+00:00,#75d7ff,dot,tp2_study,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,macd_recent_breakout_marker,Ruptura reciente,0.9828750000000002,,,,,#f7f7f7,marker,last_breakout_time|breakout_level,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,macd_current_price_marker,Precio actual,0.98529,,,,,#f7f7f7,marker,close,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,r2,R2 previo,0.99638667,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#80d8ff,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,r3,R3 previo,1.0005033,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#5ce0ca,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,s2,S2 previo,0.97182667,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#80d8ff,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,s3,S3 previo,0.96366333,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#5ce0ca,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,previous_high,Maximo dia previo,0.99227,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#7bd88f,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,previous_low,Minimo dia previo,0.97999,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#e36d64,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,round_level_1,Nivel redondo inferior,0.985,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#a56cff,solid,ohlc_nearby_round_levels,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,round_level_2,Nivel redondo superior,0.99,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#a56cff,solid,ohlc_nearby_round_levels,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,fibonacci_0_0,Fib 0,0.99074,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,fibonacci_1_0,Fib 100,0.98367,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,fibonacci_0_236,Fib 23.6,0.98907148,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,fibonacci_0_382,Fib 38.2,0.98803926,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,fibonacci_0_5,Fib 50,0.987205,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,fibonacci_0_618,Fib 61.8,0.98637074,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,fibonacci_0_786,Fib 78.6,0.98518298,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,fibonacci_1_272,Fib ext 1.272,0.99266304,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#8f6bd1,dot,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,fibonacci_1_618,Fib ext 1.618,0.99510926,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#8f6bd1,dot,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,macd_w1_leg,W1 estudio,,0.97566,0.99408,2026-05-20 16:00:00,2026-06-05 12:00:00,#58e6d3,solid,w1_start_price|w1_end_price,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,macd_w2_directrix,Reg W2 highs estudio,,0.9900200000000003,0.9806899999999997,2026-06-05 12:00:00,2026-06-08 08:00:00,#5ce0ca,dash,w2_high_regression_projected,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,macd_breakout_level,Ruptura estudio,0.9806899999999997,0.9806899999999997,0.9806899999999997,2026-06-05 12:00:00,2026-06-08 12:08:22.499286+00:00,#ffd166,dash,breakout_level,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,macd_sl_study,SL estudio,0.97566,0.97566,0.97566,2026-06-05 12:00:00,2026-06-08 12:08:22.499286+00:00,#ff6b6b,dot,sl_study,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,macd_tp1_study,TP1 estudio,0.99565,0.99565,0.99565,2026-06-05 12:00:00,2026-06-08 12:08:22.499286+00:00,#75d7ff,dot,tp1_study,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,macd_tp2_study,TP2 estudio,1.00703356,1.00703356,1.00703356,2026-06-05 12:00:00,2026-06-08 12:08:22.499286+00:00,#75d7ff,dot,tp2_study,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,macd_recent_breakout_marker,Ruptura reciente,0.9806899999999997,,,,,#f7f7f7,marker,last_breakout_time|breakout_level,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,macd_current_price_marker,Precio actual,0.98314,,,,,#f7f7f7,marker,close,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,r2,R2 previo,114.757,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#80d8ff,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,r3,R3 previo,115.289,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#5ce0ca,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,s2,S2 previo,111.611,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#80d8ff,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,s3,S3 previo,110.57,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#5ce0ca,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,previous_high,Maximo dia previo,114.225,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#7bd88f,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,previous_low,Minimo dia previo,112.652,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#e36d64,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,round_level_1,Nivel redondo inferior,110,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#a56cff,solid,ohlc_nearby_round_levels,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,round_level_2,Nivel redondo superior,115,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#a56cff,solid,ohlc_nearby_round_levels,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,fibonacci_0_0,Fib 0,112.257,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,fibonacci_1_0,Fib 100,114.225,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,fibonacci_0_236,Fib 23.6,112.72145,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,fibonacci_0_382,Fib 38.2,113.00878,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,fibonacci_0_5,Fib 50,113.241,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,fibonacci_0_618,Fib 61.8,113.47322,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,fibonacci_0_786,Fib 78.6,113.80385,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
