cycle_id,symbol,timeframe,cycle_status,cycle_family,cycle_start_pivot_uid,cycle_end_pivot_uid,cycle_pivot_count,cycle_start_time,cycle_last_pivot_time,cycle_reset_reason,previous_cycle_id
cycle_EURUSD_r_H4_previous_2025_08_27T12_00_00_2025_11_21T16_00_00,EURUSD.r,H4,completed_candidate,impulse,EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741,EURUSD_r_H4_low_2025_11_21T16_00_00_1_14911,7,2025-08-27T12:00:00,2025-11-21T16:00:00,,
cycle_EURUSD_r_H4_current_2025_12_24T04_00_00_2026_01_27T20_00_00,EURUSD.r,H4,reset_candidate,impulse,EURUSD_r_H4_high_2025_12_24T04_00_00_1_18079,EURUSD_r_H4_high_2026_01_27T20_00_00_1_20816,3,2025-12-24T04:00:00,2026-01-27T20:00:00,total_persistent_pivots_gt_6;cycle_tail_re_evaluated;old_pivots_moved_to_previous_cycle,cycle_EURUSD_r_H4_previous_2025_08_27T12_00_00_2025_11_21T16_00_00
cycle_GBPUSD_r_H4_previous_2025_09_03T08_00_00_2025_11_20T04_00_00,GBPUSD.r,H4,completed_candidate,impulse,GBPUSD_r_H4_low_2025_09_03T08_00_00_1_33331,GBPUSD_r_H4_low_2025_11_20T04_00_00_1_30375,5,2025-09-03T08:00:00,2025-11-20T04:00:00,,
cycle_GBPUSD_r_H4_current_2026_01_06T08_00_00_2026_01_27T20_00_00,GBPUSD.r,H4,reset_candidate,impulse,GBPUSD_r_H4_high_2026_01_06T08_00_00_1_35675,GBPUSD_r_H4_high_2026_01_27T20_00_00_1_38661,3,2026-01-06T08:00:00,2026-01-27T20:00:00,total_persistent_pivots_gt_6;cycle_tail_re_evaluated;old_pivots_moved_to_previous_cycle,cycle_GBPUSD_r_H4_previous_2025_09_03T08_00_00_2025_11_20T04_00_00
cycle_US500_H4_previous_2025_08_20T16_00_00_2026_01_21T12_00_00,US500,H4,completed_candidate,impulse,US500_H4_low_2025_08_20T16_00_00_6346_85,US500_H4_low_2026_01_21T12_00_00_6785_65,11,2025-08-20T16:00:00,2026-01-21T12:00:00,,
cycle_US500_H4_current_2026_01_28T08_00_00_2026_02_11T16_00_00,US500,H4,reset_candidate,impulse,US500_H4_high_2026_01_28T08_00_00_7017_68,US500_H4_high_2026_02_11T16_00_00_6995_45,3,2026-01-28T08:00:00,2026-02-11T16:00:00,total_persistent_pivots_gt_6;cycle_tail_re_evaluated;old_pivots_moved_to_previous_cycle,cycle_US500_H4_previous_2025_08_20T16_00_00_2026_01_21T12_00_00
cycle_XAUUSD_r_H4_previous_2025_08_20T04_00_00_2025_11_13T12_00_00,XAUUSD.r,H4,completed_candidate,impulse,XAUUSD_r_H4_low_2025_08_20T04_00_00_3311_58,XAUUSD_r_H4_high_2025_11_13T12_00_00_4245_14,4,2025-08-20T04:00:00,2025-11-13T12:00:00,,
cycle_XAUUSD_r_H4_current_2025_11_21T08_00_00_2026_02_17T16_00_00,XAUUSD.r,H4,reset_candidate,impulse,XAUUSD_r_H4_low_2025_11_21T08_00_00_4022_51,XAUUSD_r_H4_low_2026_02_17T16_00_00_4840_27,3,2025-11-21T08:00:00,2026-02-17T16:00:00,total_persistent_pivots_gt_6;cycle_tail_re_evaluated;old_pivots_moved_to_previous_cycle,cycle_XAUUSD_r_H4_previous_2025_08_20T04_00_00_2025_11_13T12_00_00
