example_id,group,symbol,timeframe,timestamp,open,high,low,close,ema_50,ema_150,ema_alignment,trend_state,transition_state,price_vs_ema_band,ema50_slope,ema150_slope,ema50_slope_pct,ema150_slope_pct,ema_separation_pct,ema_band_width_pct,ema_band_state,ewo_5_35,ewo_5_35_slope,ewo_5_35_direction,ewo_5_35_expanding,possible_momentum_confirmation,possible_momentum_loss,htf_ema_alignment,htf_trend_state,htf_transition_state,htf_price_vs_ema_band,htf_ema50_slope_pct,htf_ema150_slope_pct,htf_ema_separation_pct,htf_ema_band_width_pct,htf_ema_band_state,htf_ewo_5_35,htf_ewo_5_35_slope,htf_ewo_5_35_direction,htf_ewo_5_35_expanding,htf_possible_momentum_confirmation,htf_possible_momentum_loss,htf_context_source_time,htf_timeframe,htf_lookahead_safe
forex_eurusd_h1,Forex Majors,EURUSD.r,H1,2026-02-26 02:00:00,1.18149,1.18191,1.18118,1.1819,1.1819,1.1819,mixed_or_unclear,mixed_or_unclear,no_transition,inside_band,,,,,0.0,0.0,flat_or_unclear,,,flat_or_unknown,False,False,False,bearish_alignment,bearish_alignment,no_transition,above_band,-9.089763844692777e-05,-3.983786667413964e-05,-0.00023612497240194522,0.00023612497240194522,expanding,0.0003364285714286819,0.001407428571428726,positive,False,True,False,2026-02-25 20:00:00,H4,True
forex_eurusd_h1,Forex Majors,EURUSD.r,H1,2026-02-26 03:00:00,1.1819,1.18288,1.18179,1.18273,1.1819325490196078,1.1819109933774834,mixed_or_unclear,mixed_or_unclear,no_transition,above_band,,,,,1.822532794835687e-05,1.822532794835687e-05,flat_or_unclear,,,flat_or_unknown,False,False,False,bearish_alignment,bearish_alignment,no_transition,above_band,-9.089763844692777e-05,-3.983786667413964e-05,-0.00023612497240194522,0.00023612497240194522,expanding,0.0003364285714286819,0.001407428571428726,positive,False,True,False,2026-02-25 20:00:00,H4,True
forex_eurusd_h1,Forex Majors,EURUSD.r,H1,2026-02-26 04:00:00,1.18272,1.18289,1.18131,1.1817199999999999,1.1819242137639367,1.1819084636638744,mixed_or_unclear,mixed_or_unclear,no_transition,below_band,,,,,1.3328115003878979e-05,1.3328115003878979e-05,flat_or_unclear,,,flat_or_unknown,False,False,False,bearish_alignment,mixed_or_unclear,no_transition,above_band,9.084738914452032e-05,2.0884281691374503e-05,-0.00018574170858804236,0.00018574170858804236,compressing,0.000895571428571218,0.0017935714285710613,positive,False,True,False,2026-02-26 00:00:00,H4,True
forex_eurusd_h1,Forex Majors,EURUSD.r,H1,2026-02-26 05:00:00,1.18174,1.18222,1.18158,1.1817,1.181915421067312,1.1819057025557436,mixed_or_unclear,mixed_or_unclear,no_transition,below_band,1.5421067312004766e-05,5.702555743614113e-06,1.3049900407890976e-05,4.825722047570545e-06,8.224178360320431e-06,8.224178360320431e-06,flat_or_unclear,,,flat_or_unknown,False,False,False,bearish_alignment,mixed_or_unclear,no_transition,above_band,9.084738914452032e-05,2.0884281691374503e-05,-0.00018574170858804236,0.00018574170858804236,compressing,0.000895571428571218,0.0017935714285710613,positive,False,True,False,2026-02-26 00:00:00,H4,True
forex_eurusd_h1,Forex Majors,EURUSD.r,H1,2026-02-26 06:00:00,1.1817,1.18185,1.18126,1.18183,1.1819120712215352,1.1819046998728862,mixed_or_unclear,mixed_or_unclear,no_transition,below_band,-2.047779807257122e-05,-6.293504597243427e-06,-1.7327194327924675e-05,-5.3252198685457526e-06,6.2372326383932785e-06,6.2372326383932785e-06,flat_or_unclear,,,flat_or_unknown,False,False,False,bearish_alignment,mixed_or_unclear,no_transition,above_band,9.084738914452032e-05,2.0884281691374503e-05,-0.00018574170858804236,0.00018574170858804236,compressing,0.000895571428571218,0.0017935714285710613,positive,False,True,False,2026-02-26 00:00:00,H4,True
forex_eurusd_h1,Forex Majors,EURUSD.r,H1,2026-02-26 07:00:00,1.18183,1.18226,1.18159,1.18197,1.1819143429383379,1.181905564775232,mixed_or_unclear,mixed_or_unclear,no_transition,above_band,-9.870825598889965e-06,-2.8988886424663463e-06,-8.351164241808139e-06,-2.4525907108186726e-06,7.426722426085473e-06,7.426722426085473e-06,flat_or_unclear,,,flat_or_unknown,False,False,False,bearish_alignment,mixed_or_unclear,no_transition,above_band,9.084738914452032e-05,2.0884281691374503e-05,-0.00018574170858804236,0.00018574170858804236,compressing,0.000895571428571218,0.0017935714285710613,positive,False,True,False,2026-02-26 00:00:00,H4,True
forex_eurusd_h1,Forex Majors,EURUSD.r,H1,2026-02-26 08:00:00,1.18197,1.18222,1.18149,1.18188,1.1819129961564423,1.1819052261689373,mixed_or_unclear,mixed_or_unclear,no_transition,below_band,-2.4249108696583477e-06,-4.7638680622519303e-07,-2.0517403371394283e-06,-4.0307544439807173e-07,6.574260927469369e-06,6.574260927469369e-06,flat_or_unclear,,,flat_or_unknown,False,False,False,bearish_alignment,mixed_or_unclear,no_transition,above_band,0.00012781832483367277,3.42921126472139e-05,-0.0001549942335644715,0.0001549942335644715,compressing,0.001423142857142734,0.0018780000000000463,positive,True,True,False,2026-02-26 04:00:00,H4,True
forex_eurusd_h1,Forex Majors,EURUSD.r,H1,2026-02-26 09:00:00,1.18181,1.18184,1.18087,1.18157,1.181899545326778,1.1819007860872295,mixed_or_unclear,mixed_or_unclear,no_transition,below_band,-1.252589475719823e-05,-3.913785656672886e-06,-1.0601060247973654e-05,-3.3123603820957587e-06,-1.0500947480834966e-06,1.0500947480834966e-06,flat_or_unclear,,,flat_or_unknown,False,False,False,bearish_alignment,mixed_or_unclear,no_transition,above_band,0.00012781832483367277,3.42921126472139e-05,-0.0001549942335644715,0.0001549942335644715,compressing,0.001423142857142734,0.0018780000000000463,positive,True,True,False,2026-02-26 04:00:00,H4,True
forex_eurusd_h1,Forex Majors,EURUSD.r,H1,2026-02-26 10:00:00,1.18159,1.18159,1.18023,1.18025,1.1818348572747475,1.1818789213708423,mixed_or_unclear,mixed_or_unclear,no_transition,below_band,-7.94856635903951e-05,-2.6643404389625758e-05,-6.73464635377209e-05,-2.257437355613282e-05,-3.733454445652116e-05,3.733454445652116e-05,flat_or_unclear,,,flat_or_unknown,False,False,False,bearish_alignment,mixed_or_unclear,no_transition,above_band,0.00012781832483367277,3.42921126472139e-05,-0.0001549942335644715,0.0001549942335644715,compressing,0.001423142857142734,0.0018780000000000463,positive,True,True,False,2026-02-26 04:00:00,H4,True
forex_eurusd_h1,Forex Majors,EURUSD.r,H1,2026-02-26 11:00:00,1.18024,1.18059,1.17967,1.17973,1.1817523138522084,1.1818504588361292,bearish_alignment,bearish_alignment,no_transition,below_band,-0.00016068230423393892,-5.4767332808181024e-05,-0.00013620260926986593,-4.642361625811078e-05,-8.31927508165431e-05,8.31927508165431e-05,expanding,,,flat_or_unknown,False,False,False,bearish_alignment,mixed_or_unclear,no_transition,above_band,0.00012781832483367277,3.42921126472139e-05,-0.0001549942335644715,0.0001549942335644715,compressing,0.001423142857142734,0.0018780000000000463,positive,True,True,False,2026-02-26 04:00:00,H4,True
