selection_order,candidate_id,source_scope,group,symbol,timeframe,swing_degree,direction,review_category,matches_guided_impulse_profile,matches_h1_h4_aux_profile,visual_expansion_status,visual_aux_status,near_miss_reason,scale_fit_label,ewo_helpfulness,ema_htf_helpfulness,chart_path,prominence_policy_label,prominence_score_delta,prominence_warning,should_downgrade_to_auxiliary,should_exclude_for_low_prominence,prominence_policy_reason,ewo_policy_label,ewo_soft_support,ewo_score_delta,ewo_warning,ewo_role_reason,ewo_svm_future_feature_candidate,ema_htf_policy_label,ema_htf_soft_support,ema_htf_score_delta,ema_band_warning,htf_conflict_warning,context_must_not_rescue_bad_count,ema_htf_policy_reason,structural_quality_policy,final_soft_quality_score,final_soft_quality_bucket,policy_reasons,policy_warnings,ready_for_next_expansion,selection_reasons,reviewed_chart_path,chart_exists
11,impulse_exp252_index_aus200_h4_minor_impulse_028,h4_d1,Index,AUS200,H4,minor,bearish,impulse,near_miss,,near_miss_useful,,minor_substructure,too_small_for_timeframe,supports_wave_role,explains_correction,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\003_impulse_exp252_index_aus200_h4_minor_impulse_028.png,low_prominence_vs_window,-20,count is too small or short relative to visible window,True,True,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=negative; end_ewo_slope=-10.15,True,ema_htf_correction_context,contextual,-2,,htf_conflict_warning,False,input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning,exclude_from_guided_search,44,exclude_from_guided_search,structure=impulse; H4/D1 primary scope; visual_status=near_miss_useful; too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=negative; end_ewo_slope=-10.15; input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning,minor is substructure; H4/D1 near_miss stays provisional; count is too small or short relative to visible window; htf_conflict_warning,no,top_scoring_excluded_near_threshold; excluded_low_prominence_vs_window; excluded_even_though_ewo_supports_or_partially_supports,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\011_003_impulse_exp252_index_aus200_h4_minor_impulse_028.png,True
12,impulse_aux252b_forex_audjpy_h1_minor_impulse_007,h1_h4,Forex Majors,AUDJPY.r,H1,minor,bearish,impulse,,near_miss_aux,,useful_lower_tf_substructure,minor_substructure,better_as_lower_tf_substructure,supports_wave_role,explains_correction,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_near_misses\001_impulse_aux252b_forex_audjpy_h1_minor_impulse_007.png,better_as_lower_tf_substructure,-18,better handled as lower-timeframe substructure,True,False,diagnostic suggests lower timeframe / substructure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=negative; end_ewo_slope=-0.06173,True,ema_htf_correction_context,contextual,-2,,htf_conflict_warning,False,input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning,exclude_from_guided_search,27,exclude_from_guided_search,structure=impulse; visual_status=useful_lower_tf_substructure; diagnostic suggests lower timeframe / substructure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=negative; end_ewo_slope=-0.06173; input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning,"H1/H4 is auxiliary, not primary; minor is substructure; H1/H4 near_miss_aux; better handled as lower-timeframe substructure; htf_conflict_warning",no,top_scoring_excluded_near_threshold; excluded_even_though_ewo_supports_or_partially_supports,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\012_001_impulse_aux252b_forex_audjpy_h1_minor_impulse_007.png,True
13,impulse_exp252_index_aus200_h4_intermediate_impulse_020,h4_d1,Index,AUS200,H4,intermediate,bearish,impulse,near_miss,,false_positive_risk,,context_conflict,too_small_for_timeframe,supports_wave_role,explains_correction,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\007_impulse_exp252_index_aus200_h4_intermediate_impulse_020.png,low_prominence_vs_window,-20,count is too small or short relative to visible window,True,True,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=negative; end_ewo_slope=-10.15,True,ema_htf_correction_context,contextual,-10,,htf_conflict_warning,True,input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning; context_must_not_rescue_bad_count,exclude_from_guided_search,24,exclude_from_guided_search,structure=impulse; H4/D1 primary scope; degree=intermediate; too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=negative; end_ewo_slope=-10.15; input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning; context_must_not_rescue_bad_count,H4/D1 near_miss stays provisional; visual_status=false_positive_risk; count is too small or short relative to visible window; htf_conflict_warning; context_must_not_rescue_bad_count,no,required_aus200_h4_low_prominence_case; top_scoring_excluded_near_threshold; excluded_low_prominence_vs_window; excluded_context_must_not_rescue_bad_count; excluded_even_though_ewo_supports_or_partially_supports,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\013_007_impulse_exp252_index_aus200_h4_intermediate_impulse_020.png,True
14,hard_invalid_aux252b_index_aus200_h1_intermediate_impulse_001,h1_h4,Index,AUS200,H1,intermediate,bullish,hard_invalid,,no,,good_negative_example,,not_applicable,supports_wave_role,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\048_hard_invalid_aux252b_index_aus200_h1_intermediate_impulse_001.png,prominence_not_applicable,0,,False,False,no prominence penalty available for this structure; relative_structure_size=medium_small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=23.39,True,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_support_on_no_profile_is_not_validation,exclude_from_guided_search,9,exclude_from_guided_search,degree=intermediate; no prominence penalty available for this structure; relative_structure_size=medium_small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=23.39; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_support_on_no_profile_is_not_validation,"hard_invalid_not_primary_profile; H1/H4 is auxiliary, not primary; H1/H4 profile match=no; visual_status=good_negative_example",no,top_scoring_excluded_near_threshold; excluded_even_though_ewo_supports_or_partially_supports,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\014_048_hard_invalid_aux252b_index_aus200_h1_intermediate_impulse_001.png,True
15,hard_invalid_aux252b_metals_xagusd_h1_intermediate_impulse_001,h1_h4,Metals,XAGUSD.r,H1,intermediate,bullish,hard_invalid,,no,,good_negative_example,,not_applicable,supports_wave_role,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\047_hard_invalid_aux252b_metals_xagusd_h1_intermediate_impulse_001.png,prominence_not_applicable,0,,False,False,no prominence penalty available for this structure; relative_structure_size=medium_small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.4272,True,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_support_on_no_profile_is_not_validation,exclude_from_guided_search,9,exclude_from_guided_search,degree=intermediate; no prominence penalty available for this structure; relative_structure_size=medium_small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.4272; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_support_on_no_profile_is_not_validation,"hard_invalid_not_primary_profile; H1/H4 is auxiliary, not primary; H1/H4 profile match=no; visual_status=good_negative_example",no,top_scoring_excluded_near_threshold; excluded_even_though_ewo_supports_or_partially_supports,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\015_047_hard_invalid_aux252b_metals_xagusd_h1_intermediate_impulse_001.png,True
16,hard_invalid_exp252_forex_audjpy_h4_intermediate_impulse_001,h4_d1,Forex Majors,AUDJPY.r,H4,intermediate,bearish,hard_invalid,no,,good_negative_example,,,not_applicable,unclear,misleading,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\046_hard_invalid_exp252_forex_audjpy_h4_intermediate_impulse_001.png,prominence_not_applicable,-4,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; relative_structure_size=medium_small,ewo_unclear_or_unavailable,unclear,0,EWO context is unclear or unavailable,input_label=unclear; end_ewo_direction=positive; end_ewo_slope=-0.04829,False,ema_htf_misleading_warning,misleading,-18,,htf_conflict_warning,False,input_label=misleading; trend_context_label=conflict_with_htf; ema_band=above_band; htf_match=False; ltf_match=False; htf_conflict_warning,exclude_from_guided_search,0,exclude_from_guided_search,H4/D1 primary scope; degree=intermediate; no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; relative_structure_size=medium_small; input_label=unclear; end_ewo_direction=positive; end_ewo_slope=-0.04829; input_label=misleading; trend_context_label=conflict_with_htf; ema_band=above_band; htf_match=False; ltf_match=False; htf_conflict_warning,hard_invalid_not_primary_profile; H4/D1 profile match=no; visual_status=good_negative_example; EWO context is unclear or unavailable; htf_conflict_warning,no,excluded_ema_htf_misleading_warning,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\016_046_hard_invalid_exp252_forex_audjpy_h4_intermediate_impulse_001.png,True
17,hard_invalid_exp252_forex_audjpy_h4_minor_impulse_001,h4_d1,Forex Majors,AUDJPY.r,H4,minor,bearish,hard_invalid,no,,good_negative_example,,,not_applicable,unclear,misleading,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\049_hard_invalid_exp252_forex_audjpy_h4_minor_impulse_001.png,prominence_not_applicable,-8,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,ewo_unclear_or_unavailable,unclear,0,EWO context is unclear or unavailable,input_label=unclear; end_ewo_direction=positive; end_ewo_slope=-0.0908,False,ema_htf_misleading_warning,misleading,-18,,htf_conflict_warning,False,input_label=misleading; trend_context_label=conflict_with_htf; ema_band=above_band; htf_match=False; ltf_match=False; htf_conflict_warning,exclude_from_guided_search,0,exclude_from_guided_search,H4/D1 primary scope; no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=unclear; end_ewo_direction=positive; end_ewo_slope=-0.0908; input_label=misleading; trend_context_label=conflict_with_htf; ema_band=above_band; htf_match=False; ltf_match=False; htf_conflict_warning,hard_invalid_not_primary_profile; minor is substructure; H4/D1 profile match=no; visual_status=good_negative_example; EWO context is unclear or unavailable; htf_conflict_warning,no,excluded_ema_htf_misleading_warning,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\017_049_hard_invalid_exp252_forex_audjpy_h4_minor_impulse_001.png,True
18,hard_invalid_exp252_metals_xagusd_h4_intermediate_impulse_001,h4_d1,Metals,XAGUSD.r,H4,intermediate,bearish,hard_invalid,no,,good_negative_example,,,not_applicable,unclear,misleading,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\047_hard_invalid_exp252_metals_xagusd_h4_intermediate_impulse_001.png,prominence_not_applicable,-8,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,ewo_unclear_or_unavailable,unclear,0,EWO context is unclear or unavailable,input_label=unclear; end_ewo_direction=positive; end_ewo_slope=-0.2396,False,ema_htf_misleading_warning,misleading,-18,,htf_conflict_warning,False,input_label=misleading; trend_context_label=conflict_with_htf; ema_band=above_band; htf_match=False; ltf_match=False; htf_conflict_warning,exclude_from_guided_search,0,exclude_from_guided_search,H4/D1 primary scope; degree=intermediate; no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=unclear; end_ewo_direction=positive; end_ewo_slope=-0.2396; input_label=misleading; trend_context_label=conflict_with_htf; ema_band=above_band; htf_match=False; ltf_match=False; htf_conflict_warning,hard_invalid_not_primary_profile; H4/D1 profile match=no; visual_status=good_negative_example; EWO context is unclear or unavailable; htf_conflict_warning,no,excluded_ema_htf_misleading_warning,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\018_047_hard_invalid_exp252_metals_xagusd_h4_intermediate_impulse_001.png,True
19,hard_invalid_exp252_metals_xagusd_h4_major_impulse_001,h4_d1,Metals,XAGUSD.r,H4,major,bearish,hard_invalid,no,,good_negative_example,,,not_applicable,unclear,misleading,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\053_hard_invalid_exp252_metals_xagusd_h4_major_impulse_001.png,prominence_not_applicable,-4,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; relative_structure_size=small,ewo_unclear_or_unavailable,unclear,0,EWO context is unclear or unavailable,input_label=unclear; end_ewo_direction=positive; end_ewo_slope=-0.09997,False,ema_htf_misleading_warning,misleading,-18,,htf_conflict_warning,False,input_label=misleading; trend_context_label=conflict_with_htf; ema_band=above_band; htf_match=False; ltf_match=False; htf_conflict_warning,exclude_from_guided_search,0,exclude_from_guided_search,H4/D1 primary scope; no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; relative_structure_size=small; input_label=unclear; end_ewo_direction=positive; end_ewo_slope=-0.09997; input_label=misleading; trend_context_label=conflict_with_htf; ema_band=above_band; htf_match=False; ltf_match=False; htf_conflict_warning,hard_invalid_not_primary_profile; major is higher-degree context; H4/D1 profile match=no; visual_status=good_negative_example; EWO context is unclear or unavailable; htf_conflict_warning,no,excluded_ema_htf_misleading_warning,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\019_053_hard_invalid_exp252_metals_xagusd_h4_major_impulse_001.png,True
20,hard_invalid_exp252_metals_xagusd_h4_minor_impulse_001,h4_d1,Metals,XAGUSD.r,H4,minor,bearish,hard_invalid,no,,good_negative_example,,,not_applicable,unclear,misleading,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\050_hard_invalid_exp252_metals_xagusd_h4_minor_impulse_001.png,prominence_not_applicable,-8,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,ewo_unclear_or_unavailable,unclear,0,EWO context is unclear or unavailable,input_label=unclear; end_ewo_direction=positive; end_ewo_slope=-0.09709,False,ema_htf_misleading_warning,misleading,-18,,htf_conflict_warning,False,input_label=misleading; trend_context_label=conflict_with_htf; ema_band=above_band; htf_match=False; ltf_match=False; htf_conflict_warning,exclude_from_guided_search,0,exclude_from_guided_search,H4/D1 primary scope; no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=unclear; end_ewo_direction=positive; end_ewo_slope=-0.09709; input_label=misleading; trend_context_label=conflict_with_htf; ema_band=above_band; htf_match=False; ltf_match=False; htf_conflict_warning,hard_invalid_not_primary_profile; minor is substructure; H4/D1 profile match=no; visual_status=good_negative_example; EWO context is unclear or unavailable; htf_conflict_warning,no,excluded_ema_htf_misleading_warning,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\020_050_hard_invalid_exp252_metals_xagusd_h4_minor_impulse_001.png,True
21,near_miss_aux252b_forex_audjpy_h1_intermediate_impulse_005,h1_h4,Forex Majors,AUDJPY.r,H1,intermediate,bearish,near_miss,,no,,not_usable,,not_applicable,supports_momentum_only,misleading,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\037_near_miss_aux252b_forex_audjpy_h1_intermediate_impulse_005.png,prominence_not_applicable,0,,False,False,no prominence penalty available for this structure; relative_structure_size=medium_small,momentum_context_only,partial,4,EWO supports momentum but not full wave role,input_label=supports_momentum_only; end_ewo_direction=positive; end_ewo_slope=-0.3061,True,ema_htf_misleading_warning,misleading,-18,,htf_conflict_warning,False,input_label=misleading; trend_context_label=conflict_with_htf; ema_band=above_band; htf_match=False; ltf_match=False; htf_conflict_warning,exclude_from_guided_search,0,exclude_from_guided_search,degree=intermediate; no prominence penalty available for this structure; relative_structure_size=medium_small; input_label=supports_momentum_only; end_ewo_direction=positive; end_ewo_slope=-0.3061; input_label=misleading; trend_context_label=conflict_with_htf; ema_band=above_band; htf_match=False; ltf_match=False; htf_conflict_warning,"near_miss_not_primary_profile; H1/H4 is auxiliary, not primary; H1/H4 profile match=no; visual_status=not_usable; EWO supports momentum but not full wave role; htf_conflict_warning",no,excluded_ema_htf_misleading_warning,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\021_037_near_miss_aux252b_forex_audjpy_h1_intermediate_impulse_005.png,True
22,near_miss_aux252b_metals_xagusd_h1_major_impulse_002,h1_h4,Metals,XAGUSD.r,H1,major,bearish,near_miss,,no,,not_usable,,not_applicable,supports_momentum_only,misleading,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\044_near_miss_aux252b_metals_xagusd_h1_major_impulse_002.png,prominence_not_applicable,-8,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small,momentum_context_only,partial,4,EWO supports momentum but not full wave role,input_label=supports_momentum_only; end_ewo_direction=positive; end_ewo_slope=-0.9911,True,ema_htf_misleading_warning,misleading,-18,,htf_conflict_warning,False,input_label=misleading; trend_context_label=conflict_with_htf; ema_band=above_band; htf_match=False; ltf_match=False; htf_conflict_warning,exclude_from_guided_search,0,exclude_from_guided_search,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small; input_label=supports_momentum_only; end_ewo_direction=positive; end_ewo_slope=-0.9911; input_label=misleading; trend_context_label=conflict_with_htf; ema_band=above_band; htf_match=False; ltf_match=False; htf_conflict_warning,"near_miss_not_primary_profile; H1/H4 is auxiliary, not primary; major is higher-degree context; H1/H4 profile match=no; visual_status=not_usable; EWO supports momentum but not full wave role; htf_conflict_warning",no,excluded_ema_htf_misleading_warning,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\022_044_near_miss_aux252b_metals_xagusd_h1_major_impulse_002.png,True
23,near_miss_aux252b_metals_xagusd_h1_minor_impulse_012,h1_h4,Metals,XAGUSD.r,H1,minor,bearish,near_miss,,no,,not_usable,,not_applicable,supports_momentum_only,misleading,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\041_near_miss_aux252b_metals_xagusd_h1_minor_impulse_012.png,prominence_not_applicable,-8,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,momentum_context_only,partial,4,EWO supports momentum but not full wave role,input_label=supports_momentum_only; end_ewo_direction=positive; end_ewo_slope=-0.03389,True,ema_htf_misleading_warning,misleading,-18,,htf_conflict_warning,False,input_label=misleading; trend_context_label=conflict_with_htf; ema_band=above_band; htf_match=False; ltf_match=False; htf_conflict_warning,exclude_from_guided_search,0,exclude_from_guided_search,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=supports_momentum_only; end_ewo_direction=positive; end_ewo_slope=-0.03389; input_label=misleading; trend_context_label=conflict_with_htf; ema_band=above_band; htf_match=False; ltf_match=False; htf_conflict_warning,"near_miss_not_primary_profile; H1/H4 is auxiliary, not primary; minor is substructure; H1/H4 profile match=no; visual_status=not_usable; EWO supports momentum but not full wave role; htf_conflict_warning",no,excluded_ema_htf_misleading_warning,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\023_041_near_miss_aux252b_metals_xagusd_h1_minor_impulse_012.png,True
24,partial_123_exp252_forex_audjpy_h4_intermediate_partial123_002,h4_d1,Forex Majors,AUDJPY.r,H4,intermediate,bullish,partial_123,no,,not_usable,,,not_applicable,unclear,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\013_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_002.png,prominence_not_applicable,-8,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small,ewo_unclear_or_unavailable,unclear,0,EWO context is unclear or unavailable,input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.1117,False,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,exclude_from_guided_search,0,exclude_from_guided_search,H4/D1 primary scope; degree=intermediate; no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small; input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.1117; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,partial_123_is_provisional_context_only; H4/D1 profile match=no; visual_status=not_usable; EWO context is unclear or unavailable; context_must_not_rescue_bad_count,no,excluded_context_must_not_rescue_bad_count; clear_negative_low_score_control,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\024_013_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_002.png,True
25,partial_123_exp252_forex_audjpy_h4_intermediate_partial123_004,h4_d1,Forex Majors,AUDJPY.r,H4,intermediate,bullish,partial_123,no,,not_usable,,,not_applicable,unclear,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\016_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_004.png,prominence_not_applicable,-4,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; relative_structure_size=medium_small,ewo_unclear_or_unavailable,unclear,0,EWO context is unclear or unavailable,input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.1939,False,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,exclude_from_guided_search,0,exclude_from_guided_search,H4/D1 primary scope; degree=intermediate; no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; relative_structure_size=medium_small; input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.1939; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,partial_123_is_provisional_context_only; H4/D1 profile match=no; visual_status=not_usable; EWO context is unclear or unavailable; context_must_not_rescue_bad_count,no,excluded_context_must_not_rescue_bad_count,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\025_016_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_004.png,True
26,partial_123_exp252_forex_audjpy_h4_minor_partial123_002,h4_d1,Forex Majors,AUDJPY.r,H4,minor,bullish,partial_123,no,,not_usable,,,not_applicable,unclear,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\017_partial_123_exp252_forex_audjpy_h4_minor_partial123_002.png,prominence_not_applicable,-8,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,ewo_unclear_or_unavailable,unclear,0,EWO context is unclear or unavailable,input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.01996,False,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,exclude_from_guided_search,0,exclude_from_guided_search,H4/D1 primary scope; no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.01996; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,partial_123_is_provisional_context_only; minor is substructure; H4/D1 profile match=no; visual_status=not_usable; EWO context is unclear or unavailable; context_must_not_rescue_bad_count,no,excluded_context_must_not_rescue_bad_count,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\026_017_partial_123_exp252_forex_audjpy_h4_minor_partial123_002.png,True
