candidate_id,symbol,timeframe,swing_degree,abc_visual_status,abc_quality_score,phase25_abc_policy_previous,scope,parent_context_status,parent_candidate_id,parent_wave_context,parent_direction,parent_gap_bars,abc_direction,abc_vs_parent_direction,correction_role,correction_type_simple,alternation_quality,alternation_notes,contextual_correction_quality,contextual_policy,should_enter_phase25_as_context,should_user_review,trend_context_label,context_score,htf_timeframe,htf_trend_state,htf_lookahead_safe,notes,source_chart_path,previous_reviewed_chart_path,reviewed_chart_path
abc_forex_audjpy_h4_intermediate_abc_002,AUDJPY.r,H4,intermediate,clean_abc,4,usable_as_soft_context,phase2_3_fixed,htf_regime_context_only,,htf_regime_context,bullish,,bearish,counter_parent,standalone_countertrend_correction,zigzag_like,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,strong,usable_contextual_correction,yes,yes,correction_against_htf,35,D1,bullish_alignment,yes,"Previous=usable_as_soft_context; visual=clean_abc; Uses HTF regime only; trend_context_label=correction_against_htf; htf_trend_state=bullish_alignment. Role is hypothesis, not signal.",artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_025_abc_forex_audjpy_h4_intermediate_abc_002.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_025_abc_forex_audjpy_h4_intermediate_abc_002.png,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h4_025_abc_forex_audjpy_h4_intermediate_abc_002.png
abc_metals_xagusd_h1_intermediate_abc_003,XAGUSD.r,H1,intermediate,clean_abc,4,usable_as_soft_context,phase2_3_fixed,direct_parent_candidate,partial_123_metals_xagusd_h1_minor_partial123_002,prior_partial_123,bullish,0.0,bearish,counter_parent,possible_wave4_correction,zigzag_like,unknown,"Possible wave-4 context, but current artifacts do not expose a comparable confirmed wave-2 correction for alternation.",strong,usable_contextual_correction,yes,yes,,,,,,"Previous=usable_as_soft_context; visual=clean_abc; Parent from aux_context_quality; category=partial_123; decision=no_context_only. Role is hypothesis, not signal.",artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h1_026_abc_metals_xagusd_h1_intermediate_abc_003.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h1_h1_026_abc_metals_xagusd_h1_intermediate_abc_003.png,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h1_026_abc_metals_xagusd_h1_intermediate_abc_003.png
abc_metals_xagusd_h1_major_abc_006,XAGUSD.r,H1,major,clean_abc,4,usable_as_soft_context,phase2_3_fixed,distant_parent_candidate,partial_123_metals_xagusd_h1_intermediate_partial123_003,prior_partial_123,bearish,60.0,bullish,counter_parent,possible_wave4_correction,zigzag_like,unknown,"Possible wave-4 context, but current artifacts do not expose a comparable confirmed wave-2 correction for alternation.",strong,usable_contextual_correction,yes,yes,,,,,,"Previous=usable_as_soft_context; visual=clean_abc; Parent from aux_context_quality; category=partial_123; decision=yes_but_needs_manual_validation. Role is hypothesis, not signal.",artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h1_034_abc_metals_xagusd_h1_major_abc_006.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h1_h1_034_abc_metals_xagusd_h1_major_abc_006.png,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h1_034_abc_metals_xagusd_h1_major_abc_006.png
abc_index_aus200_h1_major_abc_002,AUS200,H1,major,clean_abc,4,usable_as_soft_context,phase2_3_fixed,direct_parent_candidate,partial_123_index_aus200_h1_intermediate_partial123_001,prior_partial_123,bullish,0.0,bearish,counter_parent,possible_wave4_correction,zigzag_like,unknown,"Possible wave-4 context, but current artifacts do not expose a comparable confirmed wave-2 correction for alternation.",strong,usable_contextual_correction,yes,yes,,,,,,"Previous=usable_as_soft_context; visual=clean_abc; Parent from aux_context_quality; category=partial_123; decision=no_misleading. Role is hypothesis, not signal.",artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h1_035_abc_index_aus200_h1_major_abc_002.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h1_h1_035_abc_index_aus200_h1_major_abc_002.png,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h1_035_abc_index_aus200_h1_major_abc_002.png
