market_group,timeframe,symbols_available,symbols_evaluated,status,symbols
Forex Majors,H1,27,27,pass,AUDCAD.r|AUDJPY.r|AUDNZD.r|AUDUSD.r|CADCHF.r|CADJPY.r|CHFJPY.r|EURAUD.r|EURCAD.r|EURCHF.r|EURGBP.r|EURJPY.r|EURNZD.r|EURUSD.r|GBPAUD.r|GBPCAD.r|GBPCHF.r|GBPJPY.r|GBPNZD.r|GBPUSD.r|NZDCAD.r|NZDCHF.r|NZDJPY.r|NZDUSD.r|USDCAD.r|USDCHF.r|USDJPY
Forex Majors,H4,27,27,pass,AUDCAD.r|AUDJPY.r|AUDNZD.r|AUDUSD.r|CADCHF.r|CADJPY.r|CHFJPY.r|EURAUD.r|EURCAD.r|EURCHF.r|EURGBP.r|EURJPY.r|EURNZD.r|EURUSD.r|GBPAUD.r|GBPCAD.r|GBPCHF.r|GBPJPY.r|GBPNZD.r|GBPUSD.r|NZDCAD.r|NZDCHF.r|NZDJPY.r|NZDUSD.r|USDCAD.r|USDCHF.r|USDJPY
Metals,H1,7,7,pass,XAGEUR.r|XAGUSD.r|XAUEUR.r|XAUUSD.r|XCUUSD.r|XPDUSD|XPTUSD
Metals,H4,7,7,pass,XAGEUR.r|XAGUSD.r|XAUEUR.r|XAUUSD.r|XCUUSD.r|XPDUSD|XPTUSD
Index,H1,13,13,pass,AUS200|CHINA50|EURO50|FRA40|GER40|HK50|ITA40|JP225|SPA35|UK100|US100|US30|US500
Index,H4,13,13,pass,AUS200|CHINA50|EURO50|FRA40|GER40|HK50|ITA40|JP225|SPA35|UK100|US100|US30|US500
