metric,value
diagnosed_partial_candidates,24
manual_partial_cases,3
reclassified_cases,17
partial123_status_invalidated_after_3,10
partial123_status_valid_partial_123,5
partial123_status_partial_123_too_lax,4
partial123_status_belongs_to_prior_wave_45,3
partial123_status_partial_123_provisional,2
scenario_h1_m30,12
scenario_h4_d1,12
