candidate_id,source_id,review_category,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,start_pivot_id,end_pivot_id,partial_detected_at,post_partial_diagnostic_detected_at,partial123_status,live_state,origin_break,wave3_too_weak,post_3_invalidates,post_3_confirms,post_3_pivots_checked,post_3_event_pivot_id,post_3_event_time,post_3_event_detected_at,post_3_event_price,possible_prior_wave_45_context,prior_more_extreme_origin_pivot_id,wave1_length,wave2_retrace_of_wave1,wave3_length,wave3_extension_of_wave1,wave3_breakout_vs_wave1,causal_note,scenario,candidate_order,chart_path,chart_path_absolute,manual_interpretation,manual_final_label
partial_123_index_aus200_h1_major_partial123_002,index_aus200_h1_major_partial123_002,partial_123,index_aus200_h1,Index,AUS200,H1,major,bearish,partial_123_candidate,2,5,2026-03-03 20:00:00,2026-03-06 10:00:00,valid_partial_123,partial_123_provisional,False,False,False,True,3,7.0,2026-03-05 21:00:00,2026-03-06 02:00:00,8745.5,False,,129.09999999999854,0.7157242447715002,335.5,2.5987606506584338,1.8830364058869333,"Post-3 structure confirms continuation, but this remains context only, not a signal.",h1_m30,23,charts\partials\023_partial_123_index_aus200_h1_major_partial123_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\023_partial_123_index_aus200_h1_major_partial123_002.png,,
partial_123_forex_eurusd_h1_major_partial123_002,forex_eurusd_h1_major_partial123_002,partial_123,forex_eurusd_h1,Forex Majors,EURUSD.r,H1,major,bearish,partial_123_candidate,2,5,2026-03-09 07:00:00,2026-03-17 01:00:00,invalidated_after_3,partial_123_provisional_then_invalidated,False,False,True,True,3,6.0,2026-03-10 20:00:00,2026-03-10 23:00:00,1.16673,False,,0.009589999999999987,0.6485922836287696,0.01140999999999992,1.1897810218978035,0.5411887382690339,Post-3 structural pivot breaks wave 2; use only as retrospective diagnostic.,h1_m30,24,charts\partials\024_partial_123_forex_eurusd_h1_major_partial123_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\024_partial_123_forex_eurusd_h1_major_partial123_002.png,,
partial_123_forex_audjpy_h4_intermediate_partial123_002,forex_audjpy_h4_intermediate_partial123_002,partial_123,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bearish,partial_123_candidate,2,5,2025-12-17 12:00:00,2026-01-07 16:00:00,invalidated_after_3,partial_123_provisional_then_invalidated,False,False,True,False,3,6.0,2025-12-29 04:00:00,2025-12-29 16:00:00,105.21,False,,1.1280000000000001,0.7668439716312011,1.7280000000000086,1.5319148936170288,0.7650709219858277,Post-3 structural pivot breaks wave 2; use only as retrospective diagnostic.,h4_d1,13,charts\partials\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png,,
partial_123_metals_xagusd_h4_intermediate_partial123_001,metals_xagusd_h4_intermediate_partial123_001,partial_123,metals_xagusd_h4,Metals,XAGUSD.r,H4,intermediate,bullish,partial_123_candidate,1,4,2025-12-22 16:00:00,2026-01-02 08:00:00,partial_123_too_lax,ambiguous_partial,False,True,False,True,3,6.0,2025-12-29 00:00:00,2025-12-29 12:00:00,83.864,False,,10.430999999999997,0.23161729460262653,4.965000000000003,0.4759850445786602,0.24436774997603367,Wave 3 displacement or breakout is too weak for a useful partial 1-2-3.,h4_d1,14,charts\partials\014_partial_123_metals_xagusd_h4_intermediate_partial123_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\014_partial_123_metals_xagusd_h4_intermediate_partial123_001.png,,
partial_123_index_aus200_h4_intermediate_partial123_006,index_aus200_h4_intermediate_partial123_006,partial_123,index_aus200_h4,Index,AUS200,H4,intermediate,bearish,partial_123_candidate,6,9,2026-01-08 04:00:00,2026-01-28 08:00:00,invalidated_after_3,partial_123_provisional_then_invalidated,False,True,True,False,3,10.0,2026-01-16 16:00:00,2026-01-19 04:00:00,8917.9,False,,136.1999999999989,0.7386196769456768,104.70000000000073,0.768722466960364,0.0301027900146872,Post-3 structural pivot breaks wave 2; use only as retrospective diagnostic.,h4_d1,15,charts\partials\015_partial_123_index_aus200_h4_intermediate_partial123_006.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\015_partial_123_index_aus200_h4_intermediate_partial123_006.png,,
partial_123_forex_audjpy_h4_intermediate_partial123_005,forex_audjpy_h4_intermediate_partial123_005,partial_123,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bullish,partial_123_candidate,5,8,2026-01-07 16:00:00,2026-01-19 12:00:00,partial_123_too_lax,ambiguous_partial,False,True,False,True,3,10.0,2026-01-14 04:00:00,2026-01-14 16:00:00,106.714,False,,2.8900000000000006,0.2951557093425586,1.5790000000000077,0.546366782006923,0.25121107266436443,Wave 3 displacement or breakout is too weak for a useful partial 1-2-3.,h4_d1,16,charts\partials\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,,
partial_123_forex_audjpy_h4_minor_partial123_002,forex_audjpy_h4_minor_partial123_002,partial_123,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bearish,partial_123_candidate,2,5,2025-12-17 12:00:00,2025-12-22 20:00:00,invalidated_after_3,partial_123_provisional_then_invalidated,False,False,True,False,3,8.0,2025-12-22 08:00:00,2025-12-22 20:00:00,104.617,False,,1.1280000000000001,0.7668439716312011,1.7280000000000086,1.5319148936170288,0.7650709219858277,Post-3 structural pivot breaks wave 2; use only as retrospective diagnostic.,h4_d1,17,charts\partials\017_partial_123_forex_audjpy_h4_minor_partial123_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\017_partial_123_forex_audjpy_h4_minor_partial123_002.png,,
partial_123_metals_xagusd_h4_minor_partial123_001,metals_xagusd_h4_minor_partial123_001,partial_123,metals_xagusd_h4,Metals,XAGUSD.r,H4,minor,bullish,partial_123_candidate,1,4,2025-12-22 16:00:00,2025-12-26 04:00:00,partial_123_too_lax,ambiguous_partial,False,True,False,True,3,6.0,2025-12-24 00:00:00,2025-12-24 12:00:00,72.69,False,,10.430999999999997,0.23161729460262653,4.965000000000003,0.4759850445786602,0.24436774997603367,Wave 3 displacement or breakout is too weak for a useful partial 1-2-3.,h4_d1,18,charts\partials\018_partial_123_metals_xagusd_h4_minor_partial123_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\018_partial_123_metals_xagusd_h4_minor_partial123_001.png,,
partial_123_index_aus200_h4_minor_partial123_005,index_aus200_h4_minor_partial123_005,partial_123,index_aus200_h4,Index,AUS200,H4,minor,bullish,partial_123_candidate,5,8,2025-12-24 00:00:00,2026-01-08 04:00:00,partial_123_provisional,partial_123_provisional,False,False,False,False,3,,,,,False,,128.0,0.46875,203.89999999999964,1.5929687499999972,1.1242187499999972,No immediate post-3 invalidation; keep as provisional context only.,h4_d1,19,charts\partials\019_partial_123_index_aus200_h4_minor_partial123_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\019_partial_123_index_aus200_h4_minor_partial123_005.png,,
partial_123_forex_audjpy_h4_minor_partial123_005,forex_audjpy_h4_minor_partial123_005,partial_123,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bullish,partial_123_candidate,5,8,2025-12-22 20:00:00,2025-12-26 04:00:00,valid_partial_123,partial_123_provisional,False,False,False,True,3,10.0,2025-12-23 20:00:00,2025-12-24 08:00:00,104.713,False,,0.7820000000000107,0.521739130434777,1.9230000000000018,2.4590792838874367,1.9373401534526598,"Post-3 structure confirms continuation, but this remains context only, not a signal.",h4_d1,20,charts\partials\020_partial_123_forex_audjpy_h4_minor_partial123_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\020_partial_123_forex_audjpy_h4_minor_partial123_005.png,,
partial_123_forex_audjpy_h4_major_partial123_003,forex_audjpy_h4_major_partial123_003,partial_123,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,major,bullish,partial_123_candidate,3,6,2026-01-14 16:00:00,2026-01-27 00:00:00,valid_partial_123,partial_123_provisional,False,False,False,True,3,8.0,2026-01-23 08:00:00,2026-01-23 20:00:00,108.999,False,,2.8900000000000006,0.2951557093425586,2.3569999999999993,0.815570934256055,0.5204152249134963,"Post-3 structure confirms continuation, but this remains context only, not a signal.",h4_d1,21,charts\partials\021_partial_123_forex_audjpy_h4_major_partial123_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\021_partial_123_forex_audjpy_h4_major_partial123_003.png,,
partial_123_metals_xagusd_h4_major_partial123_003,metals_xagusd_h4_major_partial123_003,partial_123,metals_xagusd_h4,Metals,XAGUSD.r,H4,major,bullish,partial_123_candidate,3,6,2026-01-21 00:00:00,2026-02-18 04:00:00,invalidated_after_3,partial_123_provisional_then_invalidated,False,False,True,False,3,7.0,2026-02-02 08:00:00,2026-02-02 20:00:00,71.312,True,1.0,12.683999999999997,0.7023021128981396,22.033,1.7370703248186696,1.03476821192053,Post-3 structural pivot breaks wave 2; use only as retrospective diagnostic.,h4_d1,22,charts\partials\022_partial_123_metals_xagusd_h4_major_partial123_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\022_partial_123_metals_xagusd_h4_major_partial123_003.png,,
partial_123_index_aus200_h4_major_partial123_006,index_aus200_h4_major_partial123_006,partial_123,index_aus200_h4,Index,AUS200,H4,major,bearish,partial_123_candidate,6,9,2026-01-08 04:00:00,2026-01-28 08:00:00,invalidated_after_3,partial_123_provisional_then_invalidated,False,True,True,False,3,10.0,2026-01-16 16:00:00,2026-01-19 04:00:00,8917.9,False,,136.1999999999989,0.7386196769456768,104.70000000000073,0.768722466960364,0.0301027900146872,Post-3 structural pivot breaks wave 2; use only as retrospective diagnostic.,h4_d1,23,charts\partials\023_partial_123_index_aus200_h4_major_partial123_006.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\023_partial_123_index_aus200_h4_major_partial123_006.png,,
partial_123_forex_audjpy_h4_major_partial123_005,forex_audjpy_h4_major_partial123_005,partial_123,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,major,bullish,partial_123_candidate,5,8,2026-01-23 20:00:00,2026-02-02 20:00:00,belongs_to_prior_wave_45,ambiguous_partial,False,False,False,False,3,,,,,True,3.0,2.3569999999999993,0.6368264743317799,3.7860000000000014,1.6062791684344515,0.9694526941026718,A prior same-type pivot is more extreme; this may be the end of a previous 4-5 structure.,h4_d1,24,charts\partials\024_partial_123_forex_audjpy_h4_major_partial123_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\024_partial_123_forex_audjpy_h4_major_partial123_005.png,,
