ema_htf_helpfulness,matches_h1_h4_aux_profile,case_count
explains_correction,near_miss_aux,5
explains_correction,no,12
misleading,no,4
supports_context,near_miss_aux,3
supports_context,no,26
supports_context,yes_aux,4
