window_id,example_id,group,symbol,timeframe,example_type,swing_degree,diagnostic_type,diagnostic_status,direction,start_pivot_id,end_pivot_id,start_time,end_time,count_detected_at,max_structural_detected_at_used,lookahead_safe,hard_reasons,soft_reasons,failure_reasons,possible_diagonal,possible_truncation,wave1_length,wave2_retrace_of_wave1,wave3_length,wave3_extension_of_wave1,wave4_retrace_of_wave3,wave5_length,wave5_extension_of_wave1,wave5_extension_of_wave3
forex_clean_eurusd_h1_major_impulse_003,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,major,full_impulse_12345,hard_invalid_impulse,bullish,3,8,2026-03-05 18:00:00,2026-03-16 22:00:00,2026-03-17 01:00:00,2026-03-17 01:00:00,True,wave 2 breaks wave 1 origin,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 2 retracement is visually too deep | wave 4 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 2 retracement is visually too deep | wave 4 retracement is visually too deep,False,False,0.006219999999999892,1.8344051446945526,0.016040000000000054,2.578778135048285,1.599750623441392,0.011419999999999986,1.8360128617363638,0.7119700748129643
forex_clean_eurusd_h1_minor_impulse_001,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,soft_impulse_near_miss,bullish,1,6,2026-03-03 17:00:00,2026-03-05 03:00:00,2026-03-05 06:00:00,2026-03-05 06:00:00,True,,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme,True,True,0.009539999999999882,0.5345911949685478,0.007989999999999942,0.837526205450738,0.47684605757197984,0.003090000000000037,0.3238993710691903,0.3867334167709712
forex_clean_eurusd_h1_minor_impulse_002,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,hard_invalid_impulse,bearish,2,7,2026-03-03 21:00:00,2026-03-05 18:00:00,2026-03-05 21:00:00,2026-03-05 21:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 3 is shorter than both wave 1 and wave 5,wave 4 overlaps wave 1 territory | wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 3 is shorter than both wave 1 and wave 5 | wave 4 overlaps wave 1 territory | wave 2 retracement is visually too deep,False,False,0.005099999999999882,1.5666666666666913,0.003810000000000091,0.7470588235294469,0.8110236220472344,0.008869999999999933,1.739215686274537,2.328083989501239
forex_clean_eurusd_h1_minor_impulse_003,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,hard_invalid_impulse,bullish,3,8,2026-03-04 03:00:00,2026-03-06 06:00:00,2026-03-06 09:00:00,2026-03-06 09:00:00,True,wave 3 does not exceed wave 1 extreme | wave 3 is shorter than both wave 1 and wave 5,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 4 retracement is visually too deep,wave 3 does not exceed wave 1 extreme | wave 3 is shorter than both wave 1 and wave 5 | wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 4 retracement is visually too deep,False,False,0.007989999999999942,0.47684605757197984,0.003090000000000037,0.3867334167709712,2.8705501618122415,0.006219999999999892,0.7784730913641975,2.012944983818711
forex_clean_eurusd_h1_minor_impulse_004,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,soft_impulse_near_miss,bearish,4,9,2026-03-04 13:00:00,2026-03-06 16:00:00,2026-03-06 19:00:00,2026-03-06 19:00:00,True,,wave 4 overlaps wave 1 territory,wave 4 overlaps wave 1 territory,True,False,0.003810000000000091,0.8110236220472344,0.008869999999999933,2.328083989501239,0.701240135287479,0.00749999999999984,1.968503937007785,0.845546786922198
forex_clean_eurusd_h1_minor_impulse_005,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,hard_invalid_impulse,bullish,5,10,2026-03-04 17:00:00,2026-03-06 20:00:00,2026-03-06 23:00:00,2026-03-06 23:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme,wave 4 overlaps wave 1 territory | wave 2 retracement is visually too deep | wave 4 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 4 overlaps wave 1 territory | wave 2 retracement is visually too deep | wave 4 retracement is visually too deep,False,False,0.003090000000000037,2.8705501618122415,0.006219999999999892,2.012944983818711,1.2057877813504776,0.007549999999999946,2.443365695792833,1.2138263665594977
forex_clean_eurusd_h1_minor_impulse_006,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,hard_invalid_impulse,bearish,6,11,2026-03-05 03:00:00,2026-03-09 04:00:00,2026-03-09 07:00:00,2026-03-09 07:00:00,True,wave 3 is shorter than both wave 1 and wave 5,wave 4 overlaps wave 1 territory | wave 4 retracement is visually too deep,wave 3 is shorter than both wave 1 and wave 5 | wave 4 overlaps wave 1 territory | wave 4 retracement is visually too deep,False,False,0.008869999999999933,0.701240135287479,0.00749999999999984,0.845546786922198,1.0066666666666808,0.011460000000000026,1.291995490417149,1.528000000000036
forex_clean_eurusd_h1_minor_impulse_007,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,hard_invalid_impulse,bullish,7,12,2026-03-05 18:00:00,2026-03-09 08:00:00,2026-03-09 11:00:00,2026-03-09 11:00:00,True,wave 2 breaks wave 1 origin,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 2 retracement is visually too deep | wave 4 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 2 retracement is visually too deep | wave 4 retracement is visually too deep,False,False,0.006219999999999892,1.2057877813504776,0.007549999999999946,1.2138263665594977,1.517880794702001,0.006450000000000067,1.0369774919614434,0.8543046357616044
forex_clean_eurusd_h1_minor_impulse_008,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,hard_invalid_impulse,bearish,8,13,2026-03-06 06:00:00,2026-03-09 17:00:00,2026-03-09 20:00:00,2026-03-09 20:00:00,True,wave 2 breaks wave 1 origin,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 2 retracement is visually too deep,False,False,0.00749999999999984,1.0066666666666808,0.011460000000000026,1.528000000000036,0.5628272251308947,0.0023800000000000487,0.3173333333333466,0.20767888307155702
forex_clean_eurusd_h1_minor_impulse_009,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,hard_invalid_impulse,bullish,9,14,2026-03-06 16:00:00,2026-03-10 01:00:00,2026-03-10 04:00:00,2026-03-10 04:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 3 is shorter than both wave 1 and wave 5,wave 4 overlaps wave 1 territory | wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 3 is shorter than both wave 1 and wave 5 | wave 4 overlaps wave 1 territory | wave 2 retracement is visually too deep,False,False,0.007549999999999946,1.517880794702001,0.006450000000000067,0.8543046357616044,0.36899224806201925,0.009789999999999965,1.296688741721859,1.51782945736432
forex_clean_eurusd_h1_minor_impulse_010,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,hard_invalid_impulse,bearish,10,15,2026-03-06 20:00:00,2026-03-10 07:00:00,2026-03-10 10:00:00,2026-03-10 10:00:00,True,wave 3 does not exceed wave 1 extreme | wave 3 is shorter than both wave 1 and wave 5,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 4 retracement is visually too deep,wave 3 does not exceed wave 1 extreme | wave 3 is shorter than both wave 1 and wave 5 | wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 4 retracement is visually too deep,False,False,0.011460000000000026,0.5628272251308947,0.0023800000000000487,0.20767888307155702,4.1134453781511615,0.0038599999999999746,0.3368237347294909,1.6218487394957544
forex_clean_eurusd_h1_minor_impulse_011,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,strict_candidate_impulse,bullish,11,16,2026-03-09 04:00:00,2026-03-10 20:00:00,2026-03-10 23:00:00,2026-03-10 23:00:00,True,,,,False,False,0.006450000000000067,0.36899224806201925,0.009789999999999965,1.51782945736432,0.3942798774259436,0.006040000000000045,0.9364341085271292,0.6169560776302417
forex_clean_eurusd_h1_minor_impulse_012,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,hard_invalid_impulse,bearish,12,17,2026-03-09 08:00:00,2026-03-11 01:00:00,2026-03-11 04:00:00,2026-03-11 04:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme,wave 4 overlaps wave 1 territory | wave 2 retracement is visually too deep | wave 4 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 4 overlaps wave 1 territory | wave 2 retracement is visually too deep | wave 4 retracement is visually too deep,False,False,0.0023800000000000487,4.1134453781511615,0.0038599999999999746,1.6218487394957544,1.5647668393782603,0.006440000000000001,2.7058823529411216,1.668393782383431
forex_clean_eurusd_h1_minor_impulse_013,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,soft_impulse_near_miss,bullish,13,18,2026-03-09 17:00:00,2026-03-11 10:00:00,2026-03-11 13:00:00,2026-03-11 13:00:00,True,,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 4 retracement is visually too deep,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 4 retracement is visually too deep,True,True,0.009789999999999965,0.3942798774259436,0.006040000000000045,0.6169560776302417,1.066225165562906,0.0042199999999998905,0.43105209397343264,0.6986754966887183
forex_clean_eurusd_h1_minor_impulse_014,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,hard_invalid_impulse,bearish,14,19,2026-03-10 01:00:00,2026-03-12 07:00:00,2026-03-12 10:00:00,2026-03-12 10:00:00,True,wave 2 breaks wave 1 origin,wave 4 overlaps wave 1 territory | wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 4 overlaps wave 1 territory | wave 2 retracement is visually too deep,False,False,0.0038599999999999746,1.5647668393782603,0.006440000000000001,1.668393782383431,0.6552795031055729,0.011309999999999931,2.930051813471504,1.7562111801242126
forex_clean_eurusd_h1_minor_impulse_015,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,hard_invalid_impulse,bullish,15,20,2026-03-10 07:00:00,2026-03-12 14:00:00,2026-03-12 17:00:00,2026-03-12 17:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 2 retracement is visually too deep | wave 4 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 2 retracement is visually too deep | wave 4 retracement is visually too deep,False,False,0.006040000000000045,1.066225165562906,0.0042199999999998905,0.6986754966887183,2.680094786729911,0.0034199999999999786,0.5662251655629061,0.8104265402843761
forex_clean_eurusd_h1_minor_impulse_016,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,strict_candidate_impulse,bearish,16,21,2026-03-10 20:00:00,2026-03-13 00:00:00,2026-03-13 03:00:00,2026-03-13 03:00:00,True,,,,False,False,0.006440000000000001,0.6552795031055729,0.011309999999999931,1.7562111801242126,0.3023872679045092,0.006049999999999889,0.9394409937888024,0.5349248452696663
forex_clean_eurusd_h1_minor_impulse_017,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,hard_invalid_impulse,bullish,17,22,2026-03-11 01:00:00,2026-03-13 04:00:00,2026-03-13 07:00:00,2026-03-13 07:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 2 retracement is visually too deep | wave 4 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 2 retracement is visually too deep | wave 4 retracement is visually too deep,False,False,0.0042199999999998905,2.680094786729911,0.0034199999999999786,0.8104265402843761,1.769005847953195,0.0023999999999999577,0.5687203791469242,0.7017543859649044
forex_clean_eurusd_h1_minor_impulse_018,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,hard_invalid_impulse,bearish,18,23,2026-03-11 10:00:00,2026-03-13 11:00:00,2026-03-13 14:00:00,2026-03-13 14:00:00,True,wave 3 is shorter than both wave 1 and wave 5,,wave 3 is shorter than both wave 1 and wave 5,False,False,0.011309999999999931,0.3023872679045092,0.006049999999999889,0.5349248452696663,0.39669421487603335,0.009680000000000133,0.8558797524314935,1.6000000000000514
forex_clean_eurusd_h1_minor_impulse_019,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,hard_invalid_impulse,bullish,19,24,2026-03-12 07:00:00,2026-03-13 16:00:00,2026-03-13 19:00:00,2026-03-13 19:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 3 is shorter than both wave 1 and wave 5,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 2 retracement is visually too deep | wave 4 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 3 is shorter than both wave 1 and wave 5 | wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 2 retracement is visually too deep | wave 4 retracement is visually too deep,False,False,0.0034199999999999786,1.769005847953195,0.0023999999999999577,0.7017543859649044,4.033333333333459,0.005710000000000104,1.6695906432748946,2.3791666666667517
forex_clean_eurusd_h1_minor_impulse_020,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,strict_candidate_impulse,bearish,20,25,2026-03-12 14:00:00,2026-03-13 23:00:00,2026-03-16 02:00:00,2026-03-16 02:00:00,True,,,,False,False,0.006049999999999889,0.39669421487603335,0.009680000000000133,1.6000000000000514,0.5898760330578539,0.007929999999999993,1.3107438016529154,0.8192148760330459
forex_clean_eurusd_h1_minor_impulse_021,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,hard_invalid_impulse,bullish,21,26,2026-03-13 00:00:00,2026-03-16 04:00:00,2026-03-16 07:00:00,2026-03-16 07:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 2 retracement is visually too deep | wave 4 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 2 retracement is visually too deep | wave 4 retracement is visually too deep,False,False,0.0023999999999999577,4.033333333333459,0.005710000000000104,2.3791666666667517,1.3887915936952449,0.0045800000000000285,1.9083333333333787,0.802101576182127
forex_clean_eurusd_h1_minor_impulse_022,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,soft_impulse_near_miss,bearish,22,27,2026-03-13 04:00:00,2026-03-16 10:00:00,2026-03-16 13:00:00,2026-03-16 13:00:00,True,,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme,True,True,0.009680000000000133,0.5898760330578539,0.007929999999999993,0.8192148760330459,0.5775535939470408,0.004229999999999956,0.43698347107436963,0.5334174022698562
forex_clean_eurusd_h1_minor_impulse_023,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,hard_invalid_impulse,bullish,23,28,2026-03-13 11:00:00,2026-03-16 22:00:00,2026-03-17 01:00:00,2026-03-17 01:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 3 is shorter than both wave 1 and wave 5,wave 4 overlaps wave 1 territory | wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 3 is shorter than both wave 1 and wave 5 | wave 4 overlaps wave 1 territory | wave 2 retracement is visually too deep,False,False,0.005710000000000104,1.3887915936952449,0.0045800000000000285,0.802101576182127,0.9235807860261855,0.011069999999999913,1.9387040280209653,2.4170305676855555
forex_clean_eurusd_h1_minor_impulse_024,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,full_impulse_12345,hard_invalid_impulse,bearish,24,29,2026-03-13 16:00:00,2026-03-17 04:00:00,2026-03-17 07:00:00,2026-03-17 07:00:00,True,wave 3 does not exceed wave 1 extreme,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 4 retracement is visually too deep,wave 3 does not exceed wave 1 extreme | wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 4 retracement is visually too deep,False,False,0.007929999999999993,0.5775535939470408,0.004229999999999956,0.5334174022698562,2.6170212765957515,0.00383,0.48297604035309,0.9054373522458723
index_gap_aus200_m30_intermediate_impulse_001,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,full_impulse_12345,hard_invalid_impulse,bearish,1,6,2026-03-09 22:30:00,2026-03-11 19:00:00,2026-03-11 20:30:00,2026-03-11 20:30:00,True,wave 3 does not exceed wave 1 extreme | wave 3 is shorter than both wave 1 and wave 5,wave 4 overlaps wave 1 territory | wave 4 retracement is visually too deep,wave 3 does not exceed wave 1 extreme | wave 3 is shorter than both wave 1 and wave 5 | wave 4 overlaps wave 1 territory | wave 4 retracement is visually too deep,False,False,146.29999999999927,0.6971975393028059,62.0,0.4237867395762154,1.6774193548387097,162.70000000000073,1.112098427887912,2.6241935483871086
index_gap_aus200_m30_intermediate_impulse_002,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,full_impulse_12345,soft_impulse_near_miss,bullish,2,7,2026-03-10 07:00:00,2026-03-11 22:30:00,2026-03-12 02:30:00,2026-03-12 02:30:00,True,,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 4 retracement is visually too deep,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 4 retracement is visually too deep,True,True,102.0,0.6078431372549019,104.0,1.0196078431372548,1.564423076923084,50.0,0.49019607843137253,0.4807692307692308
index_gap_aus200_m30_intermediate_impulse_003,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,full_impulse_12345,hard_invalid_impulse,bearish,3,8,2026-03-10 12:00:00,2026-03-12 06:30:00,2026-03-12 08:00:00,2026-03-12 08:00:00,True,wave 2 breaks wave 1 origin,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 2 retracement is visually too deep,False,False,62.0,1.6774193548387097,162.70000000000073,2.6241935483871086,0.3073140749846329,89.5,1.4435483870967742,0.5500921942224929
index_gap_aus200_m30_intermediate_impulse_004,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,full_impulse_12345,hard_invalid_impulse,bullish,4,9,2026-03-10 17:00:00,2026-03-12 14:30:00,2026-03-12 16:00:00,2026-03-12 16:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 3 is shorter than both wave 1 and wave 5,wave 4 overlaps wave 1 territory | wave 2 retracement is visually too deep | wave 4 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 3 is shorter than both wave 1 and wave 5 | wave 4 overlaps wave 1 territory | wave 2 retracement is visually too deep | wave 4 retracement is visually too deep,False,False,104.0,1.564423076923084,50.0,0.4807692307692308,1.79,104.0,1.0,2.08
