partial_id,example_id,group,symbol,timeframe,example_type,swing_degree,diagnostic_type,partial_status,direction,start_pivot_id,end_pivot_id,start_time,end_time,partial_detected_at,max_structural_detected_at_used,lookahead_safe,hard_reasons,soft_reasons,failure_reasons,wave1_length,wave2_retrace_of_wave1,wave3_length,wave3_extension_of_wave1
forex_clean_eurusd_h1_major_partial123_004,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,major,partial_impulse_123,partial_123_invalid,bearish,4,7,2026-03-06 06:00:00,2026-03-13 23:00:00,2026-03-16 02:00:00,2026-03-16 02:00:00,True,wave 2 breaks wave 1 origin,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 2 retracement is visually too deep,0.01140999999999992,1.405784399649445,0.025660000000000016,2.2489044697633824
forex_clean_eurusd_h1_major_partial123_005,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,major,partial_impulse_123,partial_123_invalid,bullish,5,8,2026-03-09 04:00:00,2026-03-16 22:00:00,2026-03-17 01:00:00,2026-03-17 01:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 2 retracement is visually too deep,0.016040000000000054,1.599750623441392,0.011419999999999986,0.7119700748129643
forex_clean_eurusd_h1_minor_partial123_001,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_candidate,bullish,1,4,2026-03-03 17:00:00,2026-03-04 13:00:00,2026-03-04 16:00:00,2026-03-04 16:00:00,True,,,,0.009539999999999882,0.5345911949685478,0.007989999999999942,0.837526205450738
forex_clean_eurusd_h1_minor_partial123_002,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_invalid,bearish,2,5,2026-03-03 21:00:00,2026-03-04 17:00:00,2026-03-04 20:00:00,2026-03-04 20:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 2 retracement is visually too deep,0.005099999999999882,1.5666666666666913,0.003810000000000091,0.7470588235294469
forex_clean_eurusd_h1_minor_partial123_003,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_invalid,bullish,3,6,2026-03-04 03:00:00,2026-03-05 03:00:00,2026-03-05 06:00:00,2026-03-05 06:00:00,True,wave 3 does not exceed wave 1 extreme,,wave 3 does not exceed wave 1 extreme,0.007989999999999942,0.47684605757197984,0.003090000000000037,0.3867334167709712
forex_clean_eurusd_h1_minor_partial123_004,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_candidate,bearish,4,7,2026-03-04 13:00:00,2026-03-05 18:00:00,2026-03-05 21:00:00,2026-03-05 21:00:00,True,,,,0.003810000000000091,0.8110236220472344,0.008869999999999933,2.328083989501239
forex_clean_eurusd_h1_minor_partial123_005,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_invalid,bullish,5,8,2026-03-04 17:00:00,2026-03-06 06:00:00,2026-03-06 09:00:00,2026-03-06 09:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 2 retracement is visually too deep,0.003090000000000037,2.8705501618122415,0.006219999999999892,2.012944983818711
forex_clean_eurusd_h1_minor_partial123_006,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_candidate,bearish,6,9,2026-03-05 03:00:00,2026-03-06 16:00:00,2026-03-06 19:00:00,2026-03-06 19:00:00,True,,,,0.008869999999999933,0.701240135287479,0.00749999999999984,0.845546786922198
forex_clean_eurusd_h1_minor_partial123_007,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_invalid,bullish,7,10,2026-03-05 18:00:00,2026-03-06 20:00:00,2026-03-06 23:00:00,2026-03-06 23:00:00,True,wave 2 breaks wave 1 origin,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 2 retracement is visually too deep,0.006219999999999892,1.2057877813504776,0.007549999999999946,1.2138263665594977
forex_clean_eurusd_h1_minor_partial123_008,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_invalid,bearish,8,11,2026-03-06 06:00:00,2026-03-09 04:00:00,2026-03-09 07:00:00,2026-03-09 07:00:00,True,wave 2 breaks wave 1 origin,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 2 retracement is visually too deep,0.00749999999999984,1.0066666666666808,0.011460000000000026,1.528000000000036
