candidate_id,symbol,timeframe,swing_degree,review_category,phase257_policy_bucket,metrics_status,prominence_vs_window,visual_window_prominence,robust_window_prominence_p05_p95,last_n_bars_prominence_primary,atr_normalized_count_size,group_percentile_prominence,symbol_percentile_prominence,metals_prominence_diagnosis,chart_path
hard_invalid_exp257_metals_xageurr_h4_major_impulse_001,XAGEUR.r,H4,major,hard_invalid,exclude_from_guided_search,available,0.040474,0.04047435267700513,0.060151755955733015,0.8673684210526319,10.36877247046741,0.8,0.8,visual_window_too_large_possible,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\invalidations\053_hard_invalid_exp257_metals_xageurr_h4_major_impulse_001.png
impulse_exp252_metals_xagusd_h4_minor_impulse_004,XAGUSD.r,H4,minor,impulse,exclude_from_guided_search,missing_example_or_times,0.039935,,,,,,,alternative_metrics_unavailable,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\002_impulse_exp252_metals_xagusd_h4_minor_impulse_004.png
impulse_exp252_metals_xagusd_h4_intermediate_impulse_002,XAGUSD.r,H4,intermediate,impulse,visual_watchlist_low_prominence,missing_example_or_times,0.053223,,,,,,,alternative_metrics_unavailable,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\matches\006_impulse_exp252_metals_xagusd_h4_intermediate_impulse_002.png
impulse_exp252_metals_xagusd_h4_major_impulse_002,XAGUSD.r,H4,major,impulse,usable_provisional_structure,missing_example_or_times,0.168387,,,,,,,alternative_metrics_unavailable,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\010_impulse_exp252_metals_xagusd_h4_major_impulse_002.png
partial_123_exp252_metals_xagusd_h4_intermediate_partial123_002,XAGUSD.r,H4,intermediate,partial_123,exclude_from_guided_search,missing_example_or_times,0.044849,,,,,,,alternative_metrics_unavailable,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\014_partial_123_exp252_metals_xagusd_h4_intermediate_partial123_002.png
partial_123_exp252_metals_xagusd_h4_minor_partial123_002,XAGUSD.r,H4,minor,partial_123,exclude_from_guided_search,missing_example_or_times,0.025501,,,,,,,alternative_metrics_unavailable,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\018_partial_123_exp252_metals_xagusd_h4_minor_partial123_002.png
partial_123_exp252_metals_xagusd_h4_major_partial123_002,XAGUSD.r,H4,major,partial_123,exclude_from_guided_search,missing_example_or_times,0.053223,,,,,,,alternative_metrics_unavailable,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\022_partial_123_exp252_metals_xagusd_h4_major_partial123_002.png
abc_exp252_metals_xagusd_h4_intermediate_abc_002,XAGUSD.r,H4,intermediate,abc,exclude_from_guided_search,missing_example_or_times,0.044849,,,,,,,alternative_metrics_unavailable,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\026_abc_exp252_metals_xagusd_h4_intermediate_abc_002.png
abc_exp252_metals_xagusd_h4_minor_abc_004,XAGUSD.r,H4,minor,abc,exclude_from_guided_search,missing_example_or_times,0.031561,,,,,,,alternative_metrics_unavailable,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\030_abc_exp252_metals_xagusd_h4_minor_abc_004.png
abc_exp252_metals_xagusd_h4_major_abc_002,XAGUSD.r,H4,major,abc,exclude_from_guided_search,missing_example_or_times,0.053223,,,,,,,alternative_metrics_unavailable,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\034_abc_exp252_metals_xagusd_h4_major_abc_002.png
near_miss_exp252_metals_xagusd_h4_intermediate_impulse_004,XAGUSD.r,H4,intermediate,near_miss,exclude_from_guided_search,missing_example_or_times,0.039935,,,,,,,alternative_metrics_unavailable,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\038_near_miss_exp252_metals_xagusd_h4_intermediate_impulse_004.png
near_miss_exp252_metals_xagusd_h4_minor_impulse_006,XAGUSD.r,H4,minor,near_miss,exclude_from_guided_search,missing_example_or_times,0.032376,,,,,,,alternative_metrics_unavailable,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\041_near_miss_exp252_metals_xagusd_h4_minor_impulse_006.png
near_miss_exp252_metals_xagusd_h4_major_impulse_006,XAGUSD.r,H4,major,near_miss,exclude_from_guided_search,missing_example_or_times,0.164607,,,,,,,alternative_metrics_unavailable,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\044_near_miss_exp252_metals_xagusd_h4_major_impulse_006.png
hard_invalid_exp252_metals_xagusd_h4_intermediate_impulse_001,XAGUSD.r,H4,intermediate,hard_invalid,exclude_from_guided_search,missing_example_or_times,0.046715,,,,,,,alternative_metrics_unavailable,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\047_hard_invalid_exp252_metals_xagusd_h4_intermediate_impulse_001.png
hard_invalid_exp252_metals_xagusd_h4_minor_impulse_001,XAGUSD.r,H4,minor,hard_invalid,exclude_from_guided_search,missing_example_or_times,0.025501,,,,,,,alternative_metrics_unavailable,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\050_hard_invalid_exp252_metals_xagusd_h4_minor_impulse_001.png
hard_invalid_exp252_metals_xagusd_h4_major_impulse_001,XAGUSD.r,H4,major,hard_invalid,exclude_from_guided_search,missing_example_or_times,0.053223,,,,,,,alternative_metrics_unavailable,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\053_hard_invalid_exp252_metals_xagusd_h4_major_impulse_001.png
