candidate_id,selection_reason,resolved_market_group,source_scope,symbol,timeframe,swing_degree,review_category,phase257_policy_bucket,prominence_vs_window,visual_window_prominence,robust_window_prominence_p05_p95,last_n_bars_prominence_primary,atr_normalized_count_size,group_percentile_prominence,symbol_percentile_prominence,chart_path,reviewed_chart_path
abc_exp252_index_aus200_h4_intermediate_abc_001,Index_intermediate_mid_visual_prominence,Index,h4_d1,AUS200,H4,intermediate,abc,exclude_from_guided_search,0.281982,,,,,,,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\027_abc_exp252_index_aus200_h4_intermediate_abc_001.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\index\011_027_abc_exp252_index_aus200_h4_intermediate_abc_001.png
impulse_exp257_index_aus200_h4_intermediate_impulse_035,Index_intermediate_high_visual_prominence,Index,h4_d1,AUS200,H4,intermediate,impulse,exclude_from_guided_search,0.448578,0.4485781710914455,0.758592203562991,0.9445452060920775,9.29673362445415,1.0,1.0,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\007_impulse_exp257_index_aus200_h4_intermediate_impulse_035.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\index\012_007_impulse_exp257_index_aus200_h4_intermediate_impulse_035.png
partial_123_exp252_index_aus200_h4_major_partial123_001,Index_major_low_visual_prominence,Index,h4_d1,AUS200,H4,major,partial_123,exclude_from_guided_search,0.281982,,,,,,,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\023_partial_123_exp252_index_aus200_h4_major_partial123_001.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\index\013_023_partial_123_exp252_index_aus200_h4_major_partial123_001.png
partial_123_exp257_index_aus200_h4_major_partial123_002,Index_major_mid_visual_prominence,Index,h4_d1,AUS200,H4,major,partial_123,exclude_from_guided_search,0.29659,0.29658997050147345,0.5015643956324602,0.9169372195673567,7.300912863070532,0.4,0.4,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\partials\023_partial_123_exp257_index_aus200_h4_major_partial123_002.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\index\014_023_partial_123_exp257_index_aus200_h4_major_partial123_002.png
impulse_exp257_index_aus200_h4_major_impulse_023,Index_major_high_visual_prominence,Index,h4_d1,AUS200,H4,major,impulse,usable_provisional_structure,0.868578,0.8685781710914464,1.4688557563374,1.0,15.246893123446576,1.0,1.0,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\011_impulse_exp257_index_aus200_h4_major_impulse_023.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\index\015_011_impulse_exp257_index_aus200_h4_major_impulse_023.png
partial_123_exp257_index_aus200_h4_minor_partial123_002,Index_minor_low_visual_prominence,Index,h4_d1,AUS200,H4,minor,partial_123,exclude_from_guided_search,0.149947,0.14994690265486718,0.2535757614456291,1.0,3.6415588668740537,0.5,0.5,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\partials\019_partial_123_exp257_index_aus200_h4_minor_partial123_002.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\index\016_019_partial_123_exp257_index_aus200_h4_minor_partial123_002.png
partial_123_exp252_index_aus200_h4_minor_partial123_001,Index_minor_mid_visual_prominence,Index,h4_d1,AUS200,H4,minor,partial_123,exclude_from_guided_search,0.281982,,,,,,,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\019_partial_123_exp252_index_aus200_h4_minor_partial123_001.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\index\017_019_partial_123_exp252_index_aus200_h4_minor_partial123_001.png
impulse_exp257_index_aus200_h4_minor_impulse_049,Index_minor_high_visual_prominence,Index,h4_d1,AUS200,H4,minor,impulse,exclude_from_guided_search,0.448578,0.4485781710914455,0.758592203562991,0.9445452060920775,9.29673362445415,1.0,1.0,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\003_impulse_exp257_index_aus200_h4_minor_impulse_049.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\index\018_003_impulse_exp257_index_aus200_h4_minor_impulse_049.png
impulse_exp257_metals_xageurr_h4_intermediate_impulse_008,Metals_intermediate_low_visual_prominence,Metals,h4_d1,XAGEUR.r,H4,intermediate,impulse,visual_watchlist_low_prominence,0.020125,0.020124903515542834,0.029909021511969974,0.43127819548872326,8.01437125748498,0.2,0.2,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\006_impulse_exp257_metals_xageurr_h4_intermediate_impulse_008.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\019_006_impulse_exp257_metals_xageurr_h4_intermediate_impulse_008.png
abc_exp252_metals_xagusd_h4_intermediate_abc_002,Metals_intermediate_mid_visual_prominence,Metals,h4_d1,XAGUSD.r,H4,intermediate,abc,exclude_from_guided_search,0.044849,,,,,,,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\026_abc_exp252_metals_xagusd_h4_intermediate_abc_002.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\020_026_abc_exp252_metals_xagusd_h4_intermediate_abc_002.png
