aggregation_level,resolved_market_group,candidate_count,metrics_available_count,low_prominence_count,too_small_for_timeframe_count,prominence_vs_window_count,prominence_vs_window_median,prominence_vs_window_p10,prominence_vs_window_p25,prominence_vs_window_p75,prominence_vs_window_p90,prominence_vs_window_min,prominence_vs_window_max,visual_window_prominence_count,visual_window_prominence_median,visual_window_prominence_p10,visual_window_prominence_p25,visual_window_prominence_p75,visual_window_prominence_p90,visual_window_prominence_min,visual_window_prominence_max,robust_window_prominence_p05_p95_count,robust_window_prominence_p05_p95_median,robust_window_prominence_p05_p95_p10,robust_window_prominence_p05_p95_p25,robust_window_prominence_p05_p95_p75,robust_window_prominence_p05_p95_p90,robust_window_prominence_p05_p95_min,robust_window_prominence_p05_p95_max,robust_window_prominence_p10_p90_count,robust_window_prominence_p10_p90_median,robust_window_prominence_p10_p90_p10,robust_window_prominence_p10_p90_p25,robust_window_prominence_p10_p90_p75,robust_window_prominence_p10_p90_p90,robust_window_prominence_p10_p90_min,robust_window_prominence_p10_p90_max,last_n_bars_prominence_primary_count,last_n_bars_prominence_primary_median,last_n_bars_prominence_primary_p10,last_n_bars_prominence_primary_p25,last_n_bars_prominence_primary_p75,last_n_bars_prominence_primary_p90,last_n_bars_prominence_primary_min,last_n_bars_prominence_primary_max,atr_normalized_count_size_count,atr_normalized_count_size_median,atr_normalized_count_size_p10,atr_normalized_count_size_p25,atr_normalized_count_size_p75,atr_normalized_count_size_p90,atr_normalized_count_size_min,atr_normalized_count_size_max,mixing_risk,source_scope,timeframe,swing_degree,symbol,phase257_policy_bucket
group_only,Forex Majors,72,48,6,6,72,0.171621,0.089738,0.13336175,0.244134,0.37990179999999996,0.071125,0.499105,48,0.1731175736942476,0.09181340041161633,0.14372572429541625,0.28615938714841027,0.38285439361169327,0.08769723302080895,0.49910454443698204,48,0.21023975418121138,0.12022757897888861,0.17644067095030302,0.37430753106752496,0.4737267691810087,0.11483755053151605,0.6009352973679606,48,0.2291556495681305,0.1451888870840778,0.20284228417796968,0.4522922169555306,0.5364129070858774,0.13876325216195606,0.6849513333574558,48,0.8722401479951754,0.6603275224511356,0.7002120332278505,1.0,1.0,0.505028735632185,1.0,48,7.249176944724324,5.8190620233093435,6.488217522658515,10.008578781812941,14.086979794546393,4.748453608247407,18.520254169976184,high_mixes_scope_timeframe_or_degree,,,,,
group_only,Index,45,30,4,4,45,0.281982,0.149947,0.240335,0.323457,0.448578,0.119974,0.868578,30,0.24033505154639176,0.14994690265486718,0.15363126843657804,0.3117268041237109,0.4485781710914455,0.11997422680412417,0.8685781710914464,30,0.33392120175823425,0.2535757614456291,0.2535757614456291,0.4892857467033069,0.758592203562991,0.16669203154794493,1.4688557563374,30,0.46456594843691534,0.2996237020550207,0.3069857968745579,0.6025656993398909,0.8963483066592486,0.2319093286835227,1.7355917497382924,30,1.0,0.7983517652548446,0.9238392161985369,1.0,1.0,0.4676042189854354,1.0,30,9.29673362445415,3.6415588668740537,5.044915667124787,11.791137567633227,15.270717757146722,3.6415588668740537,15.485139460448028,high_mixes_scope_timeframe_or_degree,,,,,
group_only,Metals,45,30,4,4,45,0.046715,0.031887,0.038776,0.164607,0.265326,0.019648,0.553603,30,0.10929873017527392,0.03877622622973829,0.039200757841554995,0.18017266836903084,0.33632984174961333,0.019647744017963632,0.5536032559118659,30,0.1726820887616673,0.0576280519090466,0.058258977920718207,0.2846564883401168,0.5313706709407221,0.029199881531909198,0.8227483762780167,30,0.2649107000008415,0.0651950779249891,0.06590884958884394,0.4366900477445534,0.8151730003284003,0.03303406047592638,0.9307818454241924,30,0.8309774436090233,0.3893243450988001,0.4447765813991511,0.9853082082401791,1.0,0.09343894939809248,1.0,30,10.36877247046741,6.31681657900108,7.760057682560353,12.510690195197068,17.055032700590193,4.711925916656239,30.363219827137414,high_mixes_scope_timeframe_or_degree,,,,,
group_source_scope,Forex Majors,24,24,0,0,24,0.171621,0.087697,0.108535,0.285845,0.3356846,0.087697,0.432884,24,0.1716213126000461,0.08769723302080895,0.1085353304367713,0.28584495769494594,0.3356848845186375,0.08769723302080895,0.43288360393322634,24,0.2247342416529427,0.11483755053151605,0.14212456954633967,0.37430753106752496,0.4395717921844596,0.11483755053151605,0.56685132504866,24,0.27155624706010145,0.13876325216195606,0.1717353547780155,0.4522922169555306,0.5311538879038981,0.13876325216195606,0.6849513333574558,24,0.8007230824491292,0.6176175382989945,0.6644757958508384,1.0,1.0,0.505028735632185,1.0,24,7.830749843629964,5.723110465116289,6.488217522658515,9.825797111810134,10.719147822309093,4.976538291279309,18.520254169976184,high_mixes_scope_timeframe_or_degree,h1_h4,,,,
group_source_scope,Forex Majors,48,24,6,6,48,0.164652,0.0912766,0.147364,0.205604,0.3934516000000001,0.071125,0.499105,24,0.1746138347884491,0.14875755540631308,0.16286098052384204,0.3229236624132529,0.4013767629281395,0.11047683008730608,0.49910454443698204,24,0.21023975418121138,0.1791080982736086,0.19608900149593766,0.3888087761620471,0.48326841956307914,0.13301707524157275,0.6009352973679606,24,0.2291556495681305,0.19522298607438773,0.21373171161642954,0.4237910570538814,0.5267495152476644,0.14498501674598877,0.6550032316822375,24,0.9209197014357686,0.7302257812598405,0.8368770275074426,1.0,1.0,0.6326923076923011,1.0,24,7.161662817551975,5.901455986578203,6.7407407407407,11.282902497475586,14.541898168029347,4.748453608247407,15.333122429610915,high_mixes_scope_timeframe_or_degree,h4_d1,,,,
group_source_scope,Index,15,15,0,0,15,0.240335,0.19904660000000002,0.240335,0.311727,0.3200772,0.119974,0.618943,15,0.24033505154639176,0.19904639175257668,0.24033505154639176,0.3117268041237109,0.32007731958762786,0.11997422680412417,0.6189432989690712,15,0.33392120175823425,0.27655479261971416,0.33392120175823425,0.43311280807140345,0.44471500317806945,0.16669203154794493,0.8599589984154405,15,0.46456594843691534,0.38475526217461503,0.46456594843691534,0.6025656993398909,0.6187071864491188,0.2319093286835227,1.1964130028646118,15,1.0,0.6360564283608927,0.839436148332054,1.0,1.0,0.4676042189854354,1.0,15,11.234939759036163,9.606361889891515,11.234939759036163,13.290786033743352,15.485139460448028,5.069622714896941,15.485139460448028,high_mixes_scope_timeframe_or_degree,h1_h4,,,,
group_source_scope,Index,30,15,4,4,30,0.281982,0.149947,0.1940085,0.398761,0.448578,0.149947,0.868578,15,0.16468436578171058,0.14994690265486718,0.14994690265486718,0.3100235988200578,0.4485781710914455,0.14994690265486718,0.8685781710914464,15,0.2784983398250425,0.2535757614456291,0.2535757614456291,0.5242820541472426,0.758592203562991,0.2535757614456291,1.4688557563374,15,0.3290720813331695,0.2996237020550207,0.2996237020550207,0.6194887440702405,0.8963483066592486,0.2996237020550207,1.7355917497382924,15,1.0,0.9169372195673567,0.9445452060920775,1.0,1.0,0.9169372195673567,1.0,15,5.03667998453407,3.6415588668740537,3.867438737688806,7.797811169050775,9.29673362445415,3.6415588668740537,15.246893123446576,high_mixes_scope_timeframe_or_degree,h4_d1,,,,
group_source_scope,Metals,15,15,0,0,15,0.180173,0.1292862,0.1440235,0.265326,0.3409764,0.093439,0.361787,15,0.18017266836903084,0.1292858755884448,0.14402348567755835,0.26532562058123577,0.340976601177758,0.09343894939809248,0.36178713499053267,15,0.2846564883401168,0.20425996723102138,0.22754405561395194,0.4191904360689302,0.5387121297366132,0.14762507238541125,0.5715908872598932,15,0.4366900477445534,0.31335416017582085,0.3490741598389987,0.6430778817248659,0.8264354943287542,0.22647086066505484,0.8768746263378147,15,0.5227032202791916,0.34361049596354204,0.393035327319458,1.0,1.0,0.09343894939809248,1.0,15,7.971813022128686,5.652326965884974,7.0329479321600115,15.98945139068006,21.93449910334453,4.711925916656239,30.363219827137414,high_mixes_scope_timeframe_or_degree,h1_h4,,,,
group_source_scope,Metals,30,15,4,4,30,0.040474,0.025501,0.038776,0.0462485,0.06436140000000015,0.019648,0.553603,15,0.03877622622973829,0.027585432601221017,0.03877622622973829,0.043295207353869866,0.043295207353869866,0.019647744017963632,0.5536032559118659,15,0.0576280519090466,0.04099663367080063,0.0576280519090466,0.06434402466138563,0.06434402466138563,0.029199881531909198,0.8227483762780167,15,0.0651950779249891,0.04637982090820077,0.0651950779249891,0.07279291183445206,0.07279291183445206,0.03303406047592638,0.9307818454241924,15,0.8309774436090233,0.569973575807691,0.8309774436090233,0.9263383146464055,0.9853082082401791,0.421052631578947,0.9853082082401791,15,10.36877247046741,8.142859694705017,9.439173033251777,11.862005519779258,11.94257486878668,6.765619606489502,12.717903415783233,high_mixes_scope_timeframe_or_degree,h4_d1,,,,
group_timeframe,Forex Majors,24,24,0,0,24,0.171621,0.087697,0.108535,0.285845,0.3356846,0.087697,0.432884,24,0.1716213126000461,0.08769723302080895,0.1085353304367713,0.28584495769494594,0.3356848845186375,0.08769723302080895,0.43288360393322634,24,0.2247342416529427,0.11483755053151605,0.14212456954633967,0.37430753106752496,0.4395717921844596,0.11483755053151605,0.56685132504866,24,0.27155624706010145,0.13876325216195606,0.1717353547780155,0.4522922169555306,0.5311538879038981,0.13876325216195606,0.6849513333574558,24,0.8007230824491292,0.6176175382989945,0.6644757958508384,1.0,1.0,0.505028735632185,1.0,24,7.830749843629964,5.723110465116289,6.488217522658515,9.825797111810134,10.719147822309093,4.976538291279309,18.520254169976184,high_mixes_scope_timeframe_or_degree,,H1,,,
