candidate_id,resolved_market_group,source_scope,symbol,timeframe,swing_degree,phase257_policy_bucket,prominence_visual_verdict,normalization_need,should_change_policy_now,visual_window_prominence,robust_window_prominence_p05_p95,last_n_bars_prominence_primary,reviewed_chart_path,notes
partial_123_exp252_index_aus200_h4_major_partial123_001,Index,h4_d1,AUS200,H4,major,exclude_from_guided_search,acceptable_after_group_normalization,none,no_document_only,,,,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\index\013_023_partial_123_exp252_index_aus200_h4_major_partial123_001.png,Revisión visual asistida; la fase no cambia política 2.5.6.
partial_123_exp257_index_aus200_h4_major_partial123_002,Index,h4_d1,AUS200,H4,major,exclude_from_guided_search,acceptable_after_group_normalization,none,no_document_only,0.29658997050147345,0.5015643956324602,0.9169372195673567,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\index\014_023_partial_123_exp257_index_aus200_h4_major_partial123_002.png,Revisión visual asistida; la fase no cambia política 2.5.6.
impulse_exp257_index_aus200_h4_major_impulse_023,Index,h4_d1,AUS200,H4,major,usable_provisional_structure,acceptable_after_group_normalization,none,no_document_only,0.8685781710914464,1.4688557563374,1.0,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\index\015_011_impulse_exp257_index_aus200_h4_major_impulse_023.png,Revisión visual asistida; la fase no cambia política 2.5.6.
partial_123_exp257_index_aus200_h4_minor_partial123_002,Index,h4_d1,AUS200,H4,minor,exclude_from_guided_search,acceptable_after_group_normalization,group_percentile,no_document_only,0.14994690265486718,0.2535757614456291,1.0,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\index\016_019_partial_123_exp257_index_aus200_h4_minor_partial123_002.png,Revisión visual asistida; la fase no cambia política 2.5.6.
partial_123_exp252_index_aus200_h4_minor_partial123_001,Index,h4_d1,AUS200,H4,minor,exclude_from_guided_search,acceptable_after_group_normalization,none,no_document_only,,,,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\index\017_019_partial_123_exp252_index_aus200_h4_minor_partial123_001.png,Revisión visual asistida; la fase no cambia política 2.5.6.
impulse_exp257_index_aus200_h4_minor_impulse_049,Index,h4_d1,AUS200,H4,minor,exclude_from_guided_search,acceptable_after_group_normalization,none,no_document_only,0.4485781710914455,0.758592203562991,0.9445452060920775,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\index\018_003_impulse_exp257_index_aus200_h4_minor_impulse_049.png,Revisión visual asistida; la fase no cambia política 2.5.6.
impulse_exp257_metals_xageurr_h4_intermediate_impulse_008,Metals,h4_d1,XAGEUR.r,H4,intermediate,visual_watchlist_low_prominence,window_too_large,causal_window_redesign,no_document_only,0.020124903515542834,0.029909021511969974,0.43127819548872326,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\019_006_impulse_exp257_metals_xageurr_h4_intermediate_impulse_008.png,Revisión visual asistida; la fase no cambia política 2.5.6.
abc_exp252_metals_xagusd_h4_intermediate_abc_002,Metals,h4_d1,XAGUSD.r,H4,intermediate,exclude_from_guided_search,true_low_prominence,symbol_timeframe_percentile,no_document_only,,,,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\020_026_abc_exp252_metals_xagusd_h4_intermediate_abc_002.png,Revisión visual asistida; la fase no cambia política 2.5.6.
impulse_exp252_metals_xagusd_h4_intermediate_impulse_002,Metals,h4_d1,XAGUSD.r,H4,intermediate,visual_watchlist_low_prominence,true_low_prominence,symbol_timeframe_percentile,no_document_only,,,,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\021_006_impulse_exp252_metals_xagusd_h4_intermediate_impulse_002.png,Revisión visual asistida; la fase no cambia política 2.5.6.
partial_123_exp257_metals_xageurr_h4_major_partial123_002,Metals,h4_d1,XAGEUR.r,H4,major,exclude_from_guided_search,window_too_large,causal_window_redesign,no_document_only,0.03877622622973829,0.0576280519090466,0.8309774436090233,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\022_022_partial_123_exp257_metals_xageurr_h4_major_partial123_002.png,Revisión visual asistida; la fase no cambia política 2.5.6.
partial_123_exp252_metals_xagusd_h4_major_partial123_002,Metals,h4_d1,XAGUSD.r,H4,major,exclude_from_guided_search,true_low_prominence,symbol_timeframe_percentile,no_document_only,,,,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\023_022_partial_123_exp252_metals_xagusd_h4_major_partial123_002.png,Revisión visual asistida; la fase no cambia política 2.5.6.
impulse_exp257_metals_xageurr_h4_major_impulse_030,Metals,h4_d1,XAGEUR.r,H4,major,usable_provisional_structure,acceptable_after_group_normalization,none,no_document_only,0.5536032559118659,0.8227483762780167,0.7780166462861425,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\024_010_impulse_exp257_metals_xageurr_h4_major_impulse_030.png,Revisión visual asistida; la fase no cambia política 2.5.6.
impulse_exp257_metals_xageurr_h4_minor_impulse_012,Metals,h4_d1,XAGEUR.r,H4,minor,exclude_from_guided_search,window_too_large,causal_window_redesign,no_document_only,0.019647744017963632,0.029199881531909198,0.421052631578947,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\025_002_impulse_exp257_metals_xageurr_h4_minor_impulse_012.png,Revisión visual asistida; la fase no cambia política 2.5.6.
impulse_exp252_metals_xagusd_h4_minor_impulse_004,Metals,h4_d1,XAGUSD.r,H4,minor,exclude_from_guided_search,true_low_prominence,symbol_timeframe_percentile,no_document_only,,,,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\026_002_impulse_exp252_metals_xagusd_h4_minor_impulse_004.png,Revisión visual asistida; la fase no cambia política 2.5.6.
partial_123_exp257_metals_xageurr_h4_minor_partial123_002,Metals,h4_d1,XAGEUR.r,H4,minor,exclude_from_guided_search,window_too_large,causal_window_redesign,no_document_only,0.043295207353869866,0.06434402466138563,0.9853082082401791,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\027_018_partial_123_exp257_metals_xageurr_h4_minor_partial123_002.png,Revisión visual asistida; la fase no cambia política 2.5.6.
impulse_aux252b_metals_xagusd_h1_minor_impulse_005,Metals,h1_h4,XAGUSD.r,H1,minor,auxiliary_low_prominence_substructure,better_as_h1_h4_auxiliary,none,no_document_only,0.18017266836903084,0.2846564883401168,0.5227032202791916,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\028_002_impulse_aux252b_metals_xagusd_h1_minor_impulse_005.png,Revisión visual asistida; la fase no cambia política 2.5.6.
hard_invalid_aux252b_metals_xagusd_h1_major_impulse_001,Metals,h1_h4,XAGUSD.r,H1,major,exclude_from_guided_search,better_as_h1_h4_auxiliary,none,no_document_only,0.36178713499053267,0.5715908872598932,1.0,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\029_053_hard_invalid_aux252b_metals_xagusd_h1_major_impulse_001.png,Revisión visual asistida; la fase no cambia política 2.5.6.
hard_invalid_aux252b_metals_xagusd_h1_intermediate_impulse_001,Metals,h1_h4,XAGUSD.r,H1,intermediate,exclude_from_guided_search,better_as_h1_h4_auxiliary,none,no_document_only,0.3446940087202738,0.5445852967733261,1.0,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\030_047_hard_invalid_aux252b_metals_xagusd_h1_intermediate_impulse_001.png,Revisión visual asistida; la fase no cambia política 2.5.6.
