candidate_id,review_category,source_table,source_id,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,start_pivot_id,end_pivot_id,start_time,end_time,failure_reasons,suggested_initial_label,review_options,chart_path,candidate_order,trend_context_label,context_score,context_reason,ltf_direction_match,htf_direction_match,ltf_direction_conflict,htf_direction_conflict,transition_matches_direction,price_band_matches_direction,momentum_matches_direction,context_at_start,context_at_end,htf_context_at_end,end_ltf_trend_state,end_ltf_ema_alignment,end_ltf_price_vs_ema_band,end_ltf_transition_state,end_ltf_ewo_5_35,end_ltf_ewo_5_35_slope,end_ltf_ewo_5_35_direction,htf_timeframe,htf_context_source_time,htf_trend_state,htf_ema_alignment,htf_price_vs_ema_band,htf_transition_state,htf_lookahead_safe,context_chart_path
impulse_index_aus200_h1_major_impulse_010,impulse,impulse_diagnostics,index_aus200_h1_major_impulse_010,index_aus200_h1,Index,AUS200,H1,major,bearish,strict_candidate_impulse,full_impulse_12345,10.0,15.0,2026-03-09 22:00:00,2026-03-13 22:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\011_impulse_index_aus200_h1_major_impulse_010.png,11,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=mixed_or_unclear|band=inside_band|transition=no_transition|ewo=positive,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-46.38428571428631,-28.33142857142775,negative,H4,2026-03-13 16:00:00,bearish_alignment,bearish_alignment,below_band,no_transition,True,charts\impulses\011_impulse_index_aus200_h1_major_impulse_010.png
impulse_index_hk50_m30_major_impulse_003,impulse,impulse_diagnostics,index_hk50_m30_major_impulse_003,index_hk50_m30,Index,HK50,M30,major,bearish,strict_candidate_impulse,full_impulse_12345,3.0,8.0,2026-03-10 20:00:00,2026-03-13 03:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\012_impulse_index_hk50_m30_major_impulse_003.png,12,impulse_with_htf,65,HTF aligned with candidate direction; LTF EMA alignment matches candidate,True,True,False,False,False,True,False,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-101.16457142856962,11.439000000002125,negative,H1,2026-03-13 02:00:00,bearish_alignment,bearish_alignment,below_band,no_transition,True,charts\impulses\012_impulse_index_hk50_m30_major_impulse_003.png
partial_123_forex_audjpy_h1_intermediate_partial123_009,partial_123,partial_impulses,forex_audjpy_h1_intermediate_partial123_009,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,bullish,partial_123_candidate,partial_impulse_123,9.0,12.0,2026-03-06 16:00:00,2026-03-09 22:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\013_partial_123_forex_audjpy_h1_intermediate_partial123_009.png,13,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.5778714285714273,0.10904285714285322,positive,H4,2026-03-09 16:00:00,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\partials\013_partial_123_forex_audjpy_h1_intermediate_partial123_009.png
partial_123_metals_xagusd_h1_intermediate_partial123_003,partial_123,partial_impulses,metals_xagusd_h1_intermediate_partial123_003,metals_xagusd_h1,Metals,XAGUSD.r,H1,intermediate,bearish,partial_123_candidate,partial_impulse_123,3.0,6.0,2026-03-02 01:00:00,2026-03-03 13:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\014_partial_123_metals_xagusd_h1_intermediate_partial123_003.png,14,correction_against_htf,60,HTF conflicts with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,False,False,True,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-6.545942857142862,-2.105400000000003,negative,H4,2026-03-03 08:00:00,mixed_or_unclear,bullish_alignment,below_band,no_transition,True,charts\partials\014_partial_123_metals_xagusd_h1_intermediate_partial123_003.png
partial_123_index_aus200_h1_intermediate_partial123_001,partial_123,partial_impulses,index_aus200_h1_intermediate_partial123_001,index_aus200_h1,Index,AUS200,H1,intermediate,bullish,partial_123_candidate,partial_impulse_123,1.0,4.0,2026-02-25 02:00:00,2026-02-27 11:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\015_partial_123_index_aus200_h1_intermediate_partial123_001.png,15,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=flat_or_unknown,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,27.13571428571595,18.934285714287398,positive,H4,2026-02-27 04:00:00,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\partials\015_partial_123_index_aus200_h1_intermediate_partial123_001.png
partial_123_forex_audjpy_h1_intermediate_partial123_011,partial_123,partial_impulses,forex_audjpy_h1_intermediate_partial123_011,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,bullish,partial_123_candidate,partial_impulse_123,11.0,14.0,2026-03-09 02:00:00,2026-03-11 18:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\016_partial_123_forex_audjpy_h1_intermediate_partial123_011.png,16,impulse_with_htf,65,HTF aligned with candidate direction; LTF EMA alignment matches candidate,True,True,False,False,False,True,False,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.7761857142856883,-0.01338571428573232,positive,H4,2026-03-11 12:00:00,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\partials\016_partial_123_forex_audjpy_h1_intermediate_partial123_011.png
partial_123_forex_audjpy_h1_minor_partial123_007,partial_123,partial_impulses,forex_audjpy_h1_minor_partial123_007,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bullish,partial_123_candidate,partial_impulse_123,7.0,10.0,2026-03-03 17:00:00,2026-03-04 22:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\017_partial_123_forex_audjpy_h1_minor_partial123_007.png,17,conflict_with_htf,60,HTF aligned with candidate direction; EWO 5-35 confirms direction,False,True,True,False,False,True,True,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,trend=mixed_or_unclear|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=negative,mixed_or_unclear,bearish_alignment,above_band,no_transition,0.32388571428572277,0.14864285714287462,positive,H4,2026-03-04 16:00:00,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\partials\017_partial_123_forex_audjpy_h1_minor_partial123_007.png
partial_123_metals_xagusd_h1_minor_partial123_002,partial_123,partial_impulses,metals_xagusd_h1_minor_partial123_002,metals_xagusd_h1,Metals,XAGUSD.r,H1,minor,bullish,partial_123_candidate,partial_impulse_123,2.0,5.0,2026-02-26 01:00:00,2026-03-02 01:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\018_partial_123_metals_xagusd_h1_minor_partial123_002.png,18,impulse_with_htf,65,HTF aligned with candidate direction; LTF EMA alignment matches candidate,True,True,False,False,False,True,False,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=flat_or_unknown,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,3.9260285714285743,-0.02428571428571047,positive,H4,2026-02-27 20:00:00,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\partials\018_partial_123_metals_xagusd_h1_minor_partial123_002.png
partial_123_index_aus200_h1_minor_partial123_001,partial_123,partial_impulses,index_aus200_h1_minor_partial123_001,index_aus200_h1,Index,AUS200,H1,minor,bullish,partial_123_candidate,partial_impulse_123,1.0,4.0,2026-02-25 02:00:00,2026-02-27 11:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\019_partial_123_index_aus200_h1_minor_partial123_001.png,19,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=flat_or_unknown,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,27.13571428571595,18.934285714287398,positive,H4,2026-02-27 04:00:00,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\partials\019_partial_123_index_aus200_h1_minor_partial123_001.png
partial_123_forex_audjpy_h1_minor_partial123_013,partial_123,partial_impulses,forex_audjpy_h1_minor_partial123_013,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bullish,partial_123_candidate,partial_impulse_123,13.0,16.0,2026-03-06 16:00:00,2026-03-09 22:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\020_partial_123_forex_audjpy_h1_minor_partial123_013.png,20,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.5778714285714273,0.10904285714285322,positive,H4,2026-03-09 16:00:00,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\partials\020_partial_123_forex_audjpy_h1_minor_partial123_013.png
