resolved_market_group,total_candidates,unchanged,upgrades,downgrades,changed_total,changed_pct,exclude_to_watchlist,candidate_watchlist,candidate_high_quality
Forex Majors,72,72,0,0,0,0.0,0,1,1
Index,45,45,0,0,0,0.0,0,0,0
Metals,45,45,0,0,0,0.0,0,2,0
