candidate_id,source_scope,resolved_market_group,symbol,timeframe,swing_degree,review_category,phase257_policy_bucket,phase257_score,prominence_vs_window,duration_vs_window,relative_structure_size,scale_fit_label,prominence_policy_label,chart_path,example_id,metrics_available,metrics_unavailable_reason,visual_window_prominence,last_n_bars_prominence_120,last_n_bars_prominence_240,last_n_bars_prominence_480,last_n_bars_prominence_960,last_n_bars_prominence_primary,major_context_prominence,major_context_status,robust_window_prominence_p05_p95,robust_window_prominence_p10_p90,atr_normalized_count_size,robust_improvement_ratio_p05_p95,last_n_improvement_ratio,atr_14_at_end,count_window_range_recomputed,visible_window_range_recomputed,robust_window_range_p05_p95,robust_window_range_p10_p90,count_bars_recomputed,visible_window_bars_recomputed,last_n_primary,offline_metric_note,group_percentile_prominence,symbol_percentile_prominence,group_percentile_robust_prominence,symbol_percentile_robust_prominence,direction,phase256_policy_bucket,phase256_score,phase256_prominence_action,phase256_ready_for_expansion,phase256_adjustment_reason,context_must_not_rescue_bad_count,ema_htf_policy_label,ewo_policy_label,phase257_policy_warnings,phase257_policy_reasons,diagnostic_only,expansion_origin,phase256_policy_bucket_exact,phase256_score_exact,phase256_prominence_action_exact,phase256_ready_for_expansion_exact,phase256_policy_source,symbol_timeframe_degree_family_size,group_timeframe_degree_family_size,percentile_scope_used,robust_prominence_percentile,percentile_family_size,percentile_confidence
impulse_exp257_index_aus200_h4_major_impulse_023,h4_d1,Index,AUS200,H4,major,impulse,usable_provisional_structure,75.0,0.868578,0.125455,large,acceptable_for_timeframe,acceptable_for_timeframe,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\011_impulse_exp257_index_aus200_h4_major_impulse_023.png,exp257_index_aus200_h4,True,,0.8685781710914464,1.0389104509208944,1.0,1.0,,1.0,,not_available,1.4688557563374,1.7355917497382924,15.246893123446576,1.6911036970819229,1.151306852143671,48.28000000000001,736.1200000000008,847.5,501.152,424.1319999999996,138,1100,240.0,offline_diagnostic_not_live_rule,1.0,1.0,1.0,1.0,bearish,usable_provisional_structure,75.0,no_change,yes,No 2.5.6 prominence adjustment required.,False,ema_htf_correction_context,relative_wave_role_support,major is higher-degree context; H4/D1 near_miss stays provisional; htf_conflict_warning,No 2.5.6 prominence adjustment required.,True,new_controlled_h4_d1_by_market_group,,,,,phase257_phase256_compatible_expansion,5,5,symbol_timeframe_degree,1.0,5,good
impulse_exp257_forex_majors_audcadr_h4_major_impulse_036,h4_d1,Forex Majors,AUDCAD.r,H4,major,impulse,usable_provisional_structure,85.0,0.499105,0.148182,balanced,acceptable_for_timeframe,acceptable_for_timeframe,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\012_impulse_exp257_forex_majors_audcadr_h4_major_impulse_036.png,exp257_forex_majors_audcadr_h4,True,,0.499104544436982,1.6775771256583871,0.7784567039106148,0.6849462365591396,,0.7784567039106148,,not_available,0.6009352973679606,0.6550032316822375,14.19417917235121,1.2040268999070112,1.559706703910616,0.0031414285714285,0.04459,0.08934,0.0742009999999999,0.068076,163,1100,240.0,offline_diagnostic_not_live_rule,1.0,1.0,1.0,1.0,bullish,usable_provisional_structure,85.0,no_change,yes,No 2.5.6 prominence adjustment required.,False,ema_htf_context_support,relative_wave_role_support,major is higher-degree context; H4/D1 near_miss stays provisional,No 2.5.6 prominence adjustment required.,True,new_controlled_h4_d1_by_market_group,,,,,phase257_phase256_compatible_expansion,8,8,symbol_timeframe_degree,1.0,8,good
partial_123_exp257_forex_majors_audcadr_h4_intermediate_partial123_004,h4_d1,Forex Majors,AUDCAD.r,H4,intermediate,partial_123,exclude_from_guided_search,0.0,0.148758,0.029091,small,not_applicable,prominence_not_applicable,,exp257_forex_majors_audcadr_h4,True,,0.148757555406313,0.8519230769230752,0.8519230769230752,0.8519230769230752,,0.8519230769230752,,not_available,0.1791080982736086,0.1952229860743877,7.161662817551975,1.2040268999070112,5.726923076923061,0.0018557142857142,0.01329,0.08934,0.0742009999999999,0.068076,32,1100,240.0,offline_diagnostic_not_live_rule,0.4375,0.4375,0.4375,0.4375,bullish,exclude_from_guided_search,0.0,keep,no,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,True,ema_htf_correction_context,ewo_unclear_or_unavailable,partial_123_is_provisional_context_only; H4/D1 profile match=no; visual_status=not_usable; EWO context is unclear or unavailable; htf_conflict_warning; context_must_not_rescue_bad_count,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,True,new_controlled_h4_d1_by_market_group,,,,,phase257_phase256_compatible_expansion,8,8,symbol_timeframe_degree,0.4375,8,good
partial_123_exp257_metals_xageurr_h4_intermediate_partial123_002,h4_d1,Metals,XAGEUR.r,H4,intermediate,partial_123,exclude_from_guided_search,0.0,0.038776,0.055455,small,not_applicable,prominence_not_applicable,,exp257_metals_xageurr_h4,True,,0.0387762262297382,0.8309774436090233,0.8309774436090233,0.8309774436090233,,0.8309774436090233,,not_available,0.0576280519090466,0.0651950779249891,11.862005519779258,1.4861696846829942,21.43007518796993,0.2329285714285706,2.7630000000000017,71.255,47.94539999999998,42.38050000000002,61,1100,240.0,offline_diagnostic_not_live_rule,0.6,0.6,0.6,0.6,bullish,exclude_from_guided_search,0.0,keep,no,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,True,ema_htf_context_support,ewo_unclear_or_unavailable,partial_123_is_provisional_context_only; H4/D1 profile match=no; visual_status=not_usable; EWO context is unclear or unavailable; context_must_not_rescue_bad_count,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,True,new_controlled_h4_d1_by_market_group,,,,,phase257_phase256_compatible_expansion,5,5,symbol_timeframe_degree,0.6,5,good
partial_123_exp257_index_aus200_h4_intermediate_partial123_002,h4_d1,Index,AUS200,H4,intermediate,partial_123,exclude_from_guided_search,0.0,0.149947,0.021818,small,not_applicable,prominence_not_applicable,,exp257_index_aus200_h4,True,,0.1499469026548671,1.0,1.0,1.0,,1.0,,not_available,0.2535757614456291,0.2996237020550207,3.6415588668740537,1.6911036970819229,6.669027384324838,34.89714285714308,127.07999999999991,847.5,501.152,424.1319999999996,24,1100,240.0,offline_diagnostic_not_live_rule,0.4,0.4,0.4,0.4,bullish,exclude_from_guided_search,0.0,keep,no,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,True,ema_htf_context_support,ewo_unclear_or_unavailable,partial_123_is_provisional_context_only; H4/D1 profile match=no; visual_status=not_usable; EWO context is unclear or unavailable; context_must_not_rescue_bad_count,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,True,new_controlled_h4_d1_by_market_group,,,,,phase257_phase256_compatible_expansion,5,5,symbol_timeframe_degree,0.4,5,good
partial_123_exp257_forex_majors_audcadr_h4_intermediate_partial123_006,h4_d1,Forex Majors,AUDCAD.r,H4,intermediate,partial_123,exclude_from_guided_search,0.0,0.128274,0.018182,small,not_applicable,prominence_not_applicable,,exp257_forex_majors_audcadr_h4,True,,0.1282740094022836,0.7346153846153836,0.7346153846153836,0.7346153846153836,,0.7346153846153836,,not_available,0.1544453578792743,0.1683412656442802,5.997757009345821,1.204026899907011,5.726923076923061,0.0019107142857142,0.01146,0.08934,0.0742009999999999,0.068076,20,1100,240.0,offline_diagnostic_not_live_rule,0.25,0.25,0.25,0.25,bullish,exclude_from_guided_search,0.0,keep,no,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,True,ema_htf_correction_context,ewo_unclear_or_unavailable,partial_123_is_provisional_context_only; H4/D1 profile match=no; visual_status=not_usable; EWO context is unclear or unavailable; htf_conflict_warning; context_must_not_rescue_bad_count,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,True,new_controlled_h4_d1_by_market_group,,,,,phase257_phase256_compatible_expansion,8,8,symbol_timeframe_degree,0.25,8,good
partial_123_exp257_forex_majors_audcadr_h4_minor_partial123_002,h4_d1,Forex Majors,AUDCAD.r,H4,minor,partial_123,exclude_from_guided_search,0.0,0.174614,0.031818,small,not_applicable,prominence_not_applicable,,exp257_forex_majors_audcadr_h4,True,,0.1746138347884491,1.0,1.0,1.0,,1.0,,not_available,0.2102397541812113,0.2291556495681305,6.7407407407407,1.2040268999070112,5.726923076923061,0.0023142857142857,0.0156,0.08934,0.0742009999999999,0.068076,35,1100,240.0,offline_diagnostic_not_live_rule,0.5625,0.5625,0.5625,0.5625,bullish,exclude_from_guided_search,0.0,keep,no,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,True,ema_htf_transition_support,ewo_unclear_or_unavailable,partial_123_is_provisional_context_only; minor is substructure; H4/D1 profile match=no; visual_status=not_usable; EWO context is unclear or unavailable; htf_conflict_warning; context_must_not_rescue_bad_count,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,True,new_controlled_h4_d1_by_market_group,,,,,phase257_phase256_compatible_expansion,8,8,symbol_timeframe_degree,0.5625,8,good
partial_123_exp257_metals_xageurr_h4_minor_partial123_002,h4_d1,Metals,XAGEUR.r,H4,minor,partial_123,exclude_from_guided_search,0.0,0.043295,0.044545,small,not_applicable,prominence_not_applicable,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\partials\018_partial_123_exp257_metals_xageurr_h4_minor_partial123_002.png,exp257_metals_xageurr_h4,True,,0.0432952073538698,0.9853082082401792,0.9853082082401792,0.9853082082401792,,0.9853082082401792,,not_available,0.0643440246613856,0.072792911834452,9.818140486474196,1.4861696846829942,22.757904822740365,0.3142142857142855,3.0849999999999973,71.255,47.94539999999998,42.38050000000002,49,1100,240.0,offline_diagnostic_not_live_rule,0.7,0.7,0.7,0.7,bullish,exclude_from_guided_search,0.0,keep,no,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,True,ema_htf_context_support,ewo_unclear_or_unavailable,partial_123_is_provisional_context_only; minor is substructure; H4/D1 profile match=no; visual_status=not_usable; EWO context is unclear or unavailable; context_must_not_rescue_bad_count,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,True,new_controlled_h4_d1_by_market_group,,,,,phase257_phase256_compatible_expansion,5,5,symbol_timeframe_degree,0.7,5,good
partial_123_exp257_index_aus200_h4_minor_partial123_002,h4_d1,Index,AUS200,H4,minor,partial_123,exclude_from_guided_search,0.0,0.149947,0.021818,small,not_applicable,prominence_not_applicable,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\partials\019_partial_123_exp257_index_aus200_h4_minor_partial123_002.png,exp257_index_aus200_h4,True,,0.1499469026548671,1.0,1.0,1.0,,1.0,,not_available,0.2535757614456291,0.2996237020550207,3.6415588668740537,1.6911036970819229,6.669027384324838,34.89714285714308,127.07999999999991,847.5,501.152,424.1319999999996,24,1100,240.0,offline_diagnostic_not_live_rule,0.5,0.5,0.5,0.5,bullish,exclude_from_guided_search,0.0,keep,no,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,True,ema_htf_context_support,ewo_unclear_or_unavailable,partial_123_is_provisional_context_only; minor is substructure; H4/D1 profile match=no; visual_status=not_usable; EWO context is unclear or unavailable; context_must_not_rescue_bad_count,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,True,new_controlled_h4_d1_by_market_group,,,,,phase257_phase256_compatible_expansion,5,5,symbol_timeframe_degree,0.5,5,good
partial_123_exp257_forex_majors_audcadr_h4_minor_partial123_005,h4_d1,Forex Majors,AUDCAD.r,H4,minor,partial_123,exclude_from_guided_search,0.0,0.162861,0.023636,small,not_applicable,prominence_not_applicable,,exp257_forex_majors_audcadr_h4,True,,0.162860980523842,0.9326923076923084,0.9326923076923084,0.9326923076923084,,0.9326923076923084,,not_available,0.1960890014959376,0.2137317116164295,5.860184119677795,1.2040268999070112,5.726923076923062,0.0024828571428571,0.01455,0.08934,0.0742009999999999,0.068076,26,1100,240.0,offline_diagnostic_not_live_rule,0.1875,0.1875,0.1875,0.1875,bearish,exclude_from_guided_search,0.0,keep,no,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,False,ema_htf_misleading_warning,ewo_unclear_or_unavailable,partial_123_is_provisional_context_only; minor is substructure; H4/D1 profile match=no; visual_status=not_usable; EWO context is unclear or unavailable; htf_conflict_warning,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,True,new_controlled_h4_d1_by_market_group,,,,,phase257_phase256_compatible_expansion,8,8,symbol_timeframe_degree,0.1875,8,good
