percentile_scope,symbol,source_scope,timeframe,swing_degree,family_size,robust_prominence_median,robust_prominence_min,robust_prominence_max,resolved_market_group
symbol_timeframe_degree,AUDCAD.r,h4_d1,H4,intermediate,8,0.18274686324982176,0.1330170752415727,0.2704815298985195,
symbol_timeframe_degree,AUDCAD.r,h4_d1,H4,major,8,0.4470290157814591,0.1982453066670261,0.6009352973679606,
symbol_timeframe_degree,AUDCAD.r,h4_d1,H4,minor,8,0.2102397541812113,0.1960890014959376,0.4904246573496321,
symbol_timeframe_degree,AUDJPY.r,h1_h4,H1,intermediate,8,0.2247342416529427,0.114837550531516,0.4987273543943707,
symbol_timeframe_degree,AUDJPY.r,h1_h4,H1,major,8,0.37513100763587315,0.2247342416529427,0.56685132504866,
symbol_timeframe_degree,AUDJPY.r,h1_h4,H1,minor,8,0.1348255726905226,0.114837550531516,0.3156161101961376,
symbol_timeframe_degree,AUS200,h1_h4,H1,intermediate,5,0.3339212017582342,0.2433238140425947,0.3339212017582342,
symbol_timeframe_degree,AUS200,h1_h4,H1,major,5,0.4331128080714034,0.4331128080714034,0.8599589984154405,
symbol_timeframe_degree,AUS200,h1_h4,H1,minor,5,0.3339212017582342,0.1666920315479449,0.3339212017582342,
symbol_timeframe_degree,AUS200,h4_d1,H4,intermediate,5,0.2535757614456291,0.2535757614456291,0.758592203562991,
symbol_timeframe_degree,AUS200,h4_d1,H4,major,5,0.5015643956324602,0.5015643956324602,1.4688557563374,
symbol_timeframe_degree,AUS200,h4_d1,H4,minor,5,0.2535757614456291,0.2535757614456291,0.758592203562991,
symbol_timeframe_degree,XAGEUR.r,h4_d1,H4,intermediate,5,0.0576280519090466,0.0299090215119699,0.060151755955733,
symbol_timeframe_degree,XAGEUR.r,h4_d1,H4,major,5,0.0576280519090466,0.0576280519090466,0.8227483762780167,
symbol_timeframe_degree,XAGEUR.r,h4_d1,H4,minor,5,0.0643440246613856,0.0291998815319091,0.0643440246613856,
symbol_timeframe_degree,XAGUSD.r,h1_h4,H1,intermediate,5,0.2846564883401168,0.1476250723854112,0.5445852967733261,
symbol_timeframe_degree,XAGUSD.r,h1_h4,H1,major,5,0.2410468508572354,0.2140412603706684,0.5715908872598932,
symbol_timeframe_degree,XAGUSD.r,h1_h4,H1,minor,5,0.2846564883401168,0.1977391051379233,0.4191904360689302,
group_timeframe_degree,,h1_h4,H1,intermediate,8,0.2247342416529427,0.114837550531516,0.4987273543943707,Forex Majors
group_timeframe_degree,,h1_h4,H1,major,8,0.37513100763587315,0.2247342416529427,0.56685132504866,Forex Majors
group_timeframe_degree,,h1_h4,H1,minor,8,0.1348255726905226,0.114837550531516,0.3156161101961376,Forex Majors
group_timeframe_degree,,h4_d1,H4,intermediate,8,0.18274686324982176,0.1330170752415727,0.2704815298985195,Forex Majors
group_timeframe_degree,,h4_d1,H4,major,8,0.4470290157814591,0.1982453066670261,0.6009352973679606,Forex Majors
group_timeframe_degree,,h4_d1,H4,minor,8,0.2102397541812113,0.1960890014959376,0.4904246573496321,Forex Majors
group_timeframe_degree,,h1_h4,H1,intermediate,5,0.3339212017582342,0.2433238140425947,0.3339212017582342,Index
group_timeframe_degree,,h1_h4,H1,major,5,0.4331128080714034,0.4331128080714034,0.8599589984154405,Index
group_timeframe_degree,,h1_h4,H1,minor,5,0.3339212017582342,0.1666920315479449,0.3339212017582342,Index
group_timeframe_degree,,h4_d1,H4,intermediate,5,0.2535757614456291,0.2535757614456291,0.758592203562991,Index
group_timeframe_degree,,h4_d1,H4,major,5,0.5015643956324602,0.5015643956324602,1.4688557563374,Index
group_timeframe_degree,,h4_d1,H4,minor,5,0.2535757614456291,0.2535757614456291,0.758592203562991,Index
group_timeframe_degree,,h1_h4,H1,intermediate,5,0.2846564883401168,0.1476250723854112,0.5445852967733261,Metals
group_timeframe_degree,,h1_h4,H1,major,5,0.2410468508572354,0.2140412603706684,0.5715908872598932,Metals
group_timeframe_degree,,h1_h4,H1,minor,5,0.2846564883401168,0.1977391051379233,0.4191904360689302,Metals
group_timeframe_degree,,h4_d1,H4,intermediate,5,0.0576280519090466,0.0299090215119699,0.060151755955733,Metals
group_timeframe_degree,,h4_d1,H4,major,5,0.0576280519090466,0.0576280519090466,0.8227483762780167,Metals
group_timeframe_degree,,h4_d1,H4,minor,5,0.0643440246613856,0.0291998815319091,0.0643440246613856,Metals
