candidate_id,selection_reason,resolved_market_group,source_scope,symbol,timeframe,swing_degree,review_category,phase256_policy_bucket,phase259_candidate_bucket,phase259_bucket_change_vs_256,phase259_prominence_diagnostic,visual_window_prominence,robust_window_prominence_p05_p95,robust_prominence_percentile,percentile_scope_used,chart_path,reviewed_chart_path
impulse_aux252b_index_aus200_h1_intermediate_impulse_007,window_distorted_low_prominence,Index,h1_h4,AUS200,H1,intermediate,impulse,auxiliary_low_prominence_substructure,candidate_auxiliary_low_prominence_substructure,unchanged,window_distorted_low_prominence,0.175128865979381,0.2433238140425947,0.2,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_matches\007_impulse_aux252b_index_aus200_h1_intermediate_impulse_007.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\011_007_impulse_aux252b_index_aus200_h1_intermediate_impulse_007.png
near_miss_aux252b_forex_audjpy_h1_minor_impulse_009,window_distorted_low_prominence,Forex Majors,h1_h4,AUDJPY.r,H1,minor,near_miss,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,window_distorted_low_prominence,0.1141093071118229,0.1494235664021566,0.625,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\040_near_miss_aux252b_forex_audjpy_h1_minor_impulse_009.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\012_040_near_miss_aux252b_forex_audjpy_h1_minor_impulse_009.png
near_miss_aux252b_metals_xagusd_h1_minor_impulse_012,window_distorted_low_prominence,Metals,h1_h4,XAGUSD.r,H1,minor,near_miss,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,window_distorted_low_prominence,0.1251585109524553,0.1977391051379233,0.2,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\041_near_miss_aux252b_metals_xagusd_h1_minor_impulse_012.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\013_041_near_miss_aux252b_metals_xagusd_h1_minor_impulse_012.png
near_miss_aux252b_metals_xagusd_h1_major_impulse_002,window_distorted_low_prominence,Metals,h1_h4,XAGUSD.r,H1,major,near_miss,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,window_distorted_low_prominence,0.1525700488126878,0.2410468508572354,0.6,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\044_near_miss_aux252b_metals_xagusd_h1_major_impulse_002.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\014_044_near_miss_aux252b_metals_xagusd_h1_major_impulse_002.png
impulse_exp257_forex_majors_audcadr_h4_minor_impulse_028,robust_prominence_confirmed,Forex Majors,h4_d1,AUDCAD.r,H4,minor,impulse,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,robust_prominence_confirmed,0.3068054622789346,0.3694020296222431,0.875,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\001_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_028.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\015_001_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_028.png
impulse_exp257_index_aus200_h4_minor_impulse_049,robust_prominence_confirmed,Index,h4_d1,AUS200,H4,minor,impulse,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,robust_prominence_confirmed,0.4485781710914455,0.758592203562991,1.0,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\003_impulse_exp257_index_aus200_h4_minor_impulse_049.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\016_003_impulse_exp257_index_aus200_h4_minor_impulse_049.png
impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080,robust_prominence_confirmed,Forex Majors,h4_d1,AUDCAD.r,H4,minor,impulse,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,robust_prominence_confirmed,0.4073203492276696,0.4904246573496321,1.0,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\004_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\017_004_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080.png
impulse_exp257_index_aus200_h4_intermediate_impulse_035,robust_prominence_confirmed,Index,h4_d1,AUS200,H4,intermediate,impulse,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,robust_prominence_confirmed,0.4485781710914455,0.758592203562991,1.0,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\007_impulse_exp257_index_aus200_h4_intermediate_impulse_035.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\018_007_impulse_exp257_index_aus200_h4_intermediate_impulse_035.png
partial_123_exp257_metals_xageurr_h4_minor_partial123_002,not_applicable,Metals,h4_d1,XAGEUR.r,H4,minor,partial_123,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,0.0432952073538698,0.0643440246613856,0.7,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\partials\018_partial_123_exp257_metals_xageurr_h4_minor_partial123_002.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\019_018_partial_123_exp257_metals_xageurr_h4_minor_partial123_002.png
partial_123_exp257_index_aus200_h4_minor_partial123_002,not_applicable,Index,h4_d1,AUS200,H4,minor,partial_123,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,0.1499469026548671,0.2535757614456291,0.5,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\partials\019_partial_123_exp257_index_aus200_h4_minor_partial123_002.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\020_019_partial_123_exp257_index_aus200_h4_minor_partial123_002.png
